timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,29.55,29.88,29.5,29.88,29.88,555200,0.0000,1.0
2023-06-20,29.31,29.59,29.26,29.45,29.45,565000,0.0000,1.0
2023-06-19,29.41,29.47,29.26,29.35,29.35,325500,0.0000,1.0
2023-06-16,29.15,29.45,28.95,29.41,29.41,1279000,0.0000,1.0
2023-06-15,29.19,29.26,28.95,29.03,29.03,541100,0.0000,1.0
2023-06-14,29.0,29.3,28.79,29.19,29.19,1016500,0.0000,1.0
2023-06-13,29.65,29.71,28.64,29.0,29.0,1045800,0.0000,1.0
2023-06-12,30.05,30.1,29.57,29.57,29.57,617900,0.0000,1.0
2023-06-09,29.49,30.05,29.4,29.96,29.96,700500,0.0000,1.0
2023-06-07,29.72,29.81,29.2,29.5,29.5,613000,0.0000,1.0
2023-06-06,29.18,29.66,29.07,29.66,29.66,694700,0.0000,1.0
2023-06-05,29.49,29.49,29.02,29.18,29.18,815000,0.0000,1.0
2023-06-02,29.45,29.67,29.14,29.48,29.48,1906600,0.0000,1.0
2023-06-01,29.0,29.43,28.73,29.28,29.28,1653000,0.0000,1.0
2023-05-31,28.99,29.17,28.64,28.97,28.97,1005400,0.0000,1.0
2023-05-30,29.3,29.3,28.82,28.96,28.96,492800,0.0000,1.0
2023-05-29,29.29,29.31,28.87,29.05,29.05,726800,0.0000,1.0
2023-05-26,29.44,29.51,28.96,29.26,29.26,784600,0.0000,1.0
2023-05-25,28.75,29.64,28.71,29.29,29.29,1067500,0.0000,1.0
2023-05-24,28.75,28.95,28.68,28.73,28.73,399200,0.0000,1.0
2023-05-23,28.65,28.85,28.4,28.75,28.75,705000,0.0000,1.0
2023-05-22,28.64,28.79,28.33,28.54,28.54,677800,0.0000,1.0
2023-05-19,28.61,29.05,28.5,28.6,28.6,654400,0.0000,1.0
2023-05-18,27.92,28.56,27.92,28.56,28.56,891300,0.0000,1.0
2023-05-17,28.21,28.64,27.91,28.1,28.1,1155400,0.0000,1.0
2023-05-16,28.74,29.03,28.0,28.17,28.17,802900,0.0000,1.0
2023-05-15,28.59,29.11,28.54,28.83,28.71,960900,0.1200,1.0
2023-05-12,28.05,28.81,27.81,28.64,28.52,909000,0.0000,1.0
2023-05-11,27.85,28.09,27.55,28.09,27.9723,1174500,0.0000,1.0
2023-05-10,27.8,27.96,27.62,27.96,27.8428,681500,0.0000,1.0
2023-05-09,27.98,28.08,27.7,27.8,27.6835,592100,0.0000,1.0
2023-05-08,27.86,28.19,27.76,28.04,27.9225,1265000,0.0000,1.0
2023-05-06,27.64,28.08,27.49,27.95,27.8329,1582100,0.0000,1.0
2023-05-05,27.64,28.08,27.49,27.95,27.8329,1581200,0.0000,1.0
2023-05-04,27.8,27.92,27.41,27.53,27.4147,690700,0.0000,1.0
2023-05-03,27.42,27.85,27.03,27.54,27.4246,858200,0.0000,1.0
2023-05-02,27.5,27.5,26.8,27.22,27.1059,1548400,0.0000,1.0
2023-04-29,26.55,27.32,26.22,27.04,26.9267,2892900,0.0000,1.0
2023-04-28,26.55,27.32,26.22,27.04,26.9267,2892400,0.0000,1.0
2023-04-27,26.2,26.54,26.16,26.33,26.2197,712000,0.0000,1.0
2023-04-26,26.28,26.61,26.17,26.4,26.2894,1017900,0.0000,1.0
2023-04-25,26.24,26.27,25.84,26.27,26.1599,562400,0.0000,1.0
2023-04-24,26.25,26.29,25.86,26.23,26.1201,1223600,0.0000,1.0
2023-04-20,26.46,26.46,25.97,26.25,26.14,2171800,0.0000,1.0
2023-04-19,26.84,27.0,26.22,26.32,26.2097,1349700,0.0000,1.0
2023-04-18,27.0,27.0,26.28,26.84,26.7275,1521100,0.0000,1.04
2023-04-17,29.1,29.23,28.75,29.11,27.8731,1018800,1.4400,1.0
2023-04-14,28.96,29.0,28.49,28.86,26.1998,586400,0.0000,1.0
2023-04-13,28.55,29.05,28.44,28.8,26.1453,1349300,0.0000,1.0
2023-04-12,28.05,28.77,28.02,28.31,25.7005,1180700,0.0000,1.0
2023-04-11,27.76,28.29,27.76,27.98,25.4008,1297300,0.0000,1.0
2023-04-10,27.91,28.08,27.42,27.63,25.0831,918500,0.0000,1.0
2023-04-06,27.4,27.97,27.37,27.91,25.3373,1308700,0.0000,1.0
2023-04-05,27.2,27.57,27.2,27.37,24.8471,768300,0.0000,1.0
2023-04-04,26.61,27.41,26.56,27.34,24.8199,1320500,0.0000,1.0
2023-04-03,26.9,27.0,26.46,26.46,24.021,1583200,0.0000,1.0
2023-03-31,27.48,27.59,26.84,26.88,24.4023,772000,0.0000,1.0
2023-03-30,27.3,27.76,27.14,27.37,24.8471,758600,0.0000,1.0
2023-03-29,27.35,27.36,26.75,27.0,24.5112,674500,0.0000,1.0
