timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,14.61,14.86,14.52,14.62,14.62,68342600,0.0000,1.0
2023-06-15,15.14,15.34,14.67,14.71,14.71,53533200,0.0000,1.0
2023-06-14,14.7,15.26,14.61,15.22,15.22,62913200,0.0000,1.0
2023-06-13,14.91,14.93,14.48,14.61,14.61,39692100,0.0000,1.0
2023-06-12,14.71,15.03,14.71,14.9,14.9,24345700,0.0000,1.0
2023-06-09,14.95,15.23,14.69,14.7,14.7,34786500,0.0000,1.0
2023-06-07,14.6,14.94,14.46,14.74,14.74,52360700,0.0000,1.0
2023-06-06,14.51,14.7,14.26,14.41,14.41,57545900,0.0000,1.0
2023-06-05,14.46,14.56,14.16,14.46,14.46,38760200,0.0000,1.0
2023-06-02,14.5,14.69,14.26,14.42,14.42,44298200,0.0000,1.0
2023-06-01,13.45,14.42,13.38,14.3,14.3,62415600,0.0000,1.0
2023-05-31,13.37,13.58,13.13,13.32,13.32,70207400,0.0000,1.0
2023-05-30,13.7,13.79,13.29,13.35,13.35,32065000,0.0000,1.0
2023-05-29,13.65,13.71,13.45,13.53,13.53,13634900,0.0000,1.0
2023-05-26,13.5,13.78,13.35,13.66,13.66,39033400,0.0000,1.0
2023-05-25,13.13,13.54,12.97,13.18,13.18,61049000,0.0000,1.0
2023-05-24,13.04,13.09,12.72,12.86,12.86,41907700,0.0000,1.0
2023-05-23,13.47,13.52,13.04,13.21,13.21,59858100,0.0000,1.0
2023-05-22,13.52,13.83,13.31,13.39,13.39,23668700,0.0000,1.0
2023-05-19,13.6,13.83,13.35,13.56,13.56,58067000,0.0000,1.0
2023-05-18,13.27,13.59,13.2,13.49,13.49,34511600,0.0000,1.0
2023-05-17,12.95,13.42,12.92,13.32,13.32,75038500,0.0000,1.0
2023-05-16,13.0,13.26,12.75,12.81,12.81,52790600,0.0000,1.0
2023-05-15,12.91,13.09,12.77,13.0,13.0,26238500,0.0000,1.0
2023-05-12,13.1,13.32,12.75,12.83,12.83,45257700,0.0000,1.0
2023-05-11,12.44,12.84,12.36,12.78,12.78,41535400,0.0000,1.0
2023-05-10,12.49,12.73,12.48,12.55,12.55,29982900,0.0000,1.0
2023-05-09,12.37,12.72,12.3,12.56,12.56,29485100,0.0000,1.0
2023-05-08,12.61,12.78,12.35,12.44,12.44,39099200,0.0000,1.0
2023-05-05,11.96,12.69,11.96,12.49,12.49,55158000,0.0000,1.0
2023-05-04,11.61,12.04,11.49,11.83,11.83,34923200,0.0000,1.0
2023-05-03,11.3,11.64,11.28,11.51,11.51,24304700,0.0000,1.0
2023-05-02,11.64,11.64,11.25,11.33,11.33,29412600,0.0000,1.0
2023-04-28,11.5,11.77,11.35,11.68,11.68,34079100,0.0000,1.0
2023-04-27,11.27,11.52,11.15,11.48,11.48,31864200,0.0000,1.0
2023-04-26,11.8,11.82,11.21,11.25,11.25,43132700,0.0000,1.0
2023-04-25,11.6,11.88,11.5,11.8,11.8,23753500,0.0000,1.0
2023-04-24,11.73,11.98,11.53,11.76,11.76,36709200,0.0000,1.0
2023-04-20,11.65,11.75,11.46,11.66,11.66,43532000,0.0000,1.0
2023-04-19,11.73,11.83,11.52,11.59,11.59,39349300,0.0000,1.0
2023-04-18,12.08,12.1,11.74,11.89,11.89,27824800,0.0000,1.0
2023-04-17,12.0,12.08,11.88,12.02,12.02,28178600,0.0000,1.0
2023-04-14,11.56,12.01,11.5,11.97,11.97,28644400,0.0000,1.0
2023-04-13,11.8,11.83,11.33,11.74,11.74,43949700,0.0000,1.0
2023-04-12,11.74,12.3,11.72,11.86,11.86,91951300,0.0000,1.0
2023-04-11,11.06,11.66,11.01,11.63,11.63,69830300,0.0000,1.0
2023-04-10,10.8,10.93,10.76,10.91,10.91,34926800,0.0000,1.0
2023-04-06,10.85,10.95,10.63,10.7,10.7,29384200,0.0000,1.0
2023-04-05,10.86,10.91,10.62,10.79,10.79,37293000,0.0000,1.0
2023-04-04,10.71,10.96,10.67,10.83,10.83,36717700,0.0000,1.0
2023-04-03,10.35,10.68,10.19,10.58,10.58,50036600,0.0000,1.0
2023-03-31,10.81,10.85,10.13,10.35,10.35,107873700,0.0000,1.0
2023-03-30,10.75,11.07,10.65,10.8,10.8,72194000,0.0000,1.0
2023-03-29,10.7,10.72,10.22,10.53,10.53,65619500,0.0000,1.0
2023-03-28,10.62,10.82,10.38,10.68,10.6198,97342300,0.0602,1.0
2023-03-27,10.56,10.84,10.5,10.59,10.5303,69951100,0.0000,1.0
2023-03-24,10.54,10.75,10.34,10.56,10.5,44312500,0.0000,1.0
2023-03-23,11.06,11.14,10.27,10.42,10.3608,83045000,0.0000,1.0
2023-03-22,11.25,11.43,11.04,11.04,10.9773,64488398,0.0000,1.0
2023-03-21,11.14,11.44,11.14,11.17,11.1065,42238602,0.0000,1.0
