timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-13,49.18,49.49,48.39,48.62,48.62,13244100,0.0000,1.0
2023-06-12,48.07,49.74,47.97,49.47,49.47,38478900,0.3386,1.0
2023-06-09,45.74,47.74,45.74,47.74,47.4014,18394400,0.0000,1.0
2023-06-07,45.73,45.89,45.52,45.52,45.1971,11085800,0.0000,1.0
2023-06-06,45.03,46.16,44.96,45.54,45.217,11435200,0.0000,1.0
2023-06-05,44.6,45.29,44.15,45.02,44.7007,13587400,0.0000,1.0
2023-06-02,44.71,44.95,44.18,44.87,44.5517,10458200,0.0000,1.0
2023-06-01,44.79,45.03,44.26,44.74,44.4226,10120000,0.7774,1.0
2023-05-31,44.74,45.14,44.52,44.62,43.5316,17377300,0.0000,1.0
2023-05-30,44.8,44.86,44.21,44.7,43.6096,18403400,0.0000,1.0
2023-05-29,44.56,44.56,44.01,44.32,43.2389,3305100,0.0000,1.0
2023-05-26,45.25,45.32,44.15,44.4,43.317,9577000,0.0000,1.0
2023-05-25,45.0,45.4,44.66,44.66,43.5706,11652600,0.0000,1.0
2023-05-24,44.48,44.98,44.16,44.64,43.5511,10881800,0.0000,1.0
2023-05-23,43.48,44.63,43.34,44.48,43.395,12855100,0.0000,1.0
2023-05-22,44.05,44.61,43.44,43.46,42.3999,8053100,0.0000,1.0
2023-05-19,43.34,44.12,42.99,44.04,42.9657,33867500,0.0000,1.0
2023-05-18,43.1,43.32,42.8,43.2,42.1462,11686400,0.0000,1.0
2023-05-17,43.25,43.85,42.93,43.23,42.1755,17464800,0.0000,1.0
2023-05-16,44.44,44.74,42.93,43.16,42.1072,21408300,0.0000,1.0
2023-05-15,44.49,44.85,44.03,44.44,43.356,8601300,0.0000,1.0
2023-05-12,44.05,44.69,43.9,44.23,43.1511,12195400,0.0000,1.0
2023-05-11,43.42,44.62,43.07,44.4,43.317,13524800,0.0000,1.0
2023-05-10,43.0,43.6,42.6,43.51,42.4487,10508100,0.0000,1.0
2023-05-09,42.99,43.41,42.67,42.95,41.9023,9674100,0.0000,1.0
2023-05-08,43.44,43.78,42.96,43.08,42.0292,8060500,0.0000,1.0
2023-05-06,42.19,43.36,42.19,43.25,42.195,7191100,0.0000,1.0
2023-05-05,42.19,43.31,42.19,43.25,42.195,7137400,0.0000,1.0
2023-05-04,42.0,42.45,41.54,42.18,41.1511,7358200,0.0000,1.0
2023-05-03,42.06,42.12,41.56,41.71,40.6926,5610900,0.0000,1.0
2023-05-02,42.76,42.76,41.72,41.84,40.8194,12596500,0.0000,1.0
2023-04-29,43.01,43.3,42.35,42.86,41.8145,10398000,0.0000,1.0
2023-04-28,43.01,43.3,42.35,42.86,41.8145,10335300,0.0000,1.0
2023-04-27,42.67,43.2,42.52,42.72,41.6779,6152200,0.0000,1.0
2023-04-26,43.26,43.26,42.52,42.67,41.6292,11769800,0.0000,1.0
2023-04-25,43.0,43.33,42.73,43.02,41.9706,11802300,0.0000,1.0
2023-04-24,43.42,44.04,43.05,43.42,42.3609,10219800,0.0000,1.0
