timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,14.52,14.65,14.39,14.54,14.54,11041300,0.0000,1.0
2023-06-15,14.44,14.61,14.38,14.54,14.54,6296200,0.0000,1.0
2023-06-14,14.5,14.54,14.21,14.47,14.47,12716800,0.0000,1.0
2023-06-13,14.46,14.49,14.32,14.43,14.43,5731800,0.0000,1.0
2023-06-12,14.54,14.68,14.35,14.4,14.4,7545500,0.0000,1.0
2023-06-09,14.34,14.69,14.27,14.54,14.54,9309500,0.0000,1.0
2023-06-07,14.2,14.3,14.08,14.22,14.22,6722900,0.0000,1.0
2023-06-06,13.9,14.2,13.9,14.18,14.18,6161000,0.0000,1.0
2023-06-05,13.76,13.97,13.61,13.89,13.89,4057300,0.0000,1.0
2023-06-02,13.38,13.38,13.38,13.38,13.38,8314600,0.0000,1.0
2023-06-01,13.28,13.59,13.19,13.38,13.3628,7005400,0.0173,1.0
2023-05-31,13.35,13.38,13.18,13.27,13.2529,21929900,0.0000,1.0
2023-05-30,13.66,13.75,13.32,13.41,13.3927,7165900,0.0000,1.0
2023-05-29,13.65,13.72,13.52,13.66,13.6424,4266700,0.0000,1.0
2023-05-26,13.82,13.9,13.51,13.67,13.6522,5446200,0.0000,1.0
2023-05-25,13.65,13.78,13.55,13.69,13.6722,11356000,0.0000,1.0
2023-05-24,13.68,13.69,13.32,13.46,13.4425,6866700,0.0000,1.0
2023-05-23,13.69,14.02,13.64,13.75,13.7321,8083700,0.0000,1.0
2023-05-22,13.77,13.94,13.61,13.66,13.6422,6550800,0.0000,1.0
2023-05-19,13.58,13.79,13.46,13.72,13.7022,9998200,0.0000,1.0
2023-05-18,13.42,13.6,13.37,13.56,13.5424,5223000,0.0000,1.0
2023-05-17,13.5,13.59,13.38,13.53,13.5124,5073700,0.0000,1.0
2023-05-16,13.57,13.67,13.37,13.4,13.3826,4430300,0.0000,1.0
2023-05-15,13.39,13.55,13.32,13.53,13.5124,4940300,0.0000,1.0
2023-05-12,13.31,13.4,13.21,13.36,13.3426,4287300,0.0000,1.0
2023-05-11,13.26,13.43,13.13,13.39,13.3726,5149600,0.0000,1.0
2023-05-10,13.24,13.33,13.12,13.3,13.2827,5732200,0.0000,1.0
2023-05-09,13.1,13.36,13.05,13.26,13.2428,9189800,0.0000,1.0
2023-05-08,12.9,13.29,12.9,13.13,13.1129,10829200,0.0000,1.0
2023-05-05,12.49,12.98,12.37,12.86,12.8433,9197900,0.0000,1.0
2023-05-04,12.25,12.57,12.22,12.41,12.3939,6919600,0.0000,1.0
2023-05-03,12.05,12.23,11.96,12.13,12.1142,4388800,0.0000,1.0
2023-05-02,12.4,12.4,12.01,12.1,12.0843,6892200,0.0173,1.0
2023-04-28,12.33,12.44,12.13,12.42,12.3862,5708900,0.0000,1.0
2023-04-27,12.11,12.31,12.1,12.26,12.2266,4050100,0.0000,1.0
