timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,30.6,30.8,30.33,30.45,30.45,10290200,0.0000,1.0
2023-06-15,30.53,30.94,30.41,30.58,30.58,6792100,0.0000,1.0
2023-06-14,30.68,30.69,30.3,30.53,30.53,10726700,0.0000,1.0
2023-06-13,30.92,30.96,30.46,30.61,30.61,6751800,0.0000,1.0
2023-06-12,31.2,31.28,30.83,30.83,30.83,5648200,0.0000,1.0
2023-06-09,31.18,31.41,31.07,31.07,31.07,8207600,0.0000,1.0
2023-06-07,31.02,31.26,30.84,30.99,30.99,8230500,0.0000,1.0
2023-06-06,31.05,31.28,30.79,30.99,30.99,5119100,0.0000,1.0
2023-06-05,30.99,31.43,30.93,31.04,31.04,4121900,0.0000,1.0
2023-06-02,30.65,31.19,30.36,30.99,30.99,8483500,0.0000,1.0
2023-06-01,31.01,31.05,30.47,30.52,30.52,7900500,0.0000,1.0
2023-05-31,31.6,31.6,30.91,30.93,30.93,9085800,0.0000,1.0
2023-05-30,32.25,32.28,31.6,31.69,31.69,4771100,0.0000,1.0
2023-05-29,31.99,32.32,31.84,32.09,32.09,2422900,0.0000,1.0
2023-05-26,32.0,32.14,31.68,31.9,31.9,5442300,0.0000,1.0
2023-05-25,31.5,31.95,31.32,31.81,31.81,8948000,0.0000,1.0
2023-05-24,30.8,31.45,30.55,31.37,31.37,8996100,0.0000,1.0
2023-05-23,31.02,31.07,30.41,30.77,30.77,10944500,0.0000,1.0
2023-05-22,30.91,31.2,30.65,30.93,30.93,5056200,0.0000,1.0
2023-05-19,31.18,31.18,30.29,30.9,30.9,12463100,0.0000,1.0
2023-05-18,31.97,32.04,31.21,31.32,31.32,6986300,0.0000,1.0
2023-05-17,32.31,32.45,31.68,31.97,31.97,5352700,0.0000,1.0
2023-05-16,32.23,32.77,32.14,32.15,32.15,4927400,0.0000,1.0
2023-05-15,33.93,33.94,32.05,32.14,32.14,18878700,0.0000,1.0
2023-05-12,33.8,34.3,33.65,34.16,34.16,2543800,0.0000,1.0
2023-05-11,33.7,34.21,33.58,33.97,33.97,4019300,0.0000,1.0
2023-05-10,33.54,33.92,33.43,33.8,33.8,2779500,0.0000,1.0
2023-05-09,33.39,33.71,33.31,33.71,33.71,3529300,0.0000,1.0
2023-05-08,33.37,33.92,33.15,33.43,33.43,5183800,0.0000,1.0
2023-05-06,33.1,33.55,32.82,33.48,33.48,4741600,0.0000,1.0
2023-05-05,33.1,33.55,32.82,33.48,33.48,4741600,0.0000,1.0
2023-05-04,33.53,33.66,32.35,33.12,33.12,7005300,0.0000,1.0
2023-05-03,34.12,34.21,33.45,33.52,33.52,3648600,0.0000,1.0
2023-05-02,34.18,34.55,33.97,34.22,34.22,4428000,0.0000,1.0
2023-04-29,34.34,34.73,33.94,34.31,34.31,5494500,0.0000,1.0
2023-04-28,34.34,34.73,33.94,34.31,34.31,5494500,0.0000,1.0
2023-04-27,34.8,34.88,34.24,34.36,34.36,2974900,0.0000,1.0
2023-04-26,34.59,34.79,34.32,34.77,34.77,2534100,0.0000,1.0
2023-04-25,34.54,34.8,34.43,34.75,34.75,5705500,0.0000,1.0
2023-04-24,34.77,35.15,34.36,34.55,34.55,5059600,0.0000,1.0
2023-04-20,34.7,34.95,34.47,34.76,34.76,3870500,0.0000,1.0
2023-04-19,34.64,35.05,34.34,34.58,34.58,7548300,0.0000,1.0
2023-04-18,34.6,34.63,34.13,34.61,34.61,4486800,0.0000,1.0
2023-04-17,34.87,35.06,34.36,34.6,34.6,3964900,0.0000,1.0
2023-04-14,34.78,34.97,34.56,34.9,34.9,3349600,0.0000,1.0
2023-04-13,35.5,35.54,34.61,34.93,34.93,6117200,0.0000,1.0
2023-04-12,35.14,35.81,34.6,35.37,35.37,7295000,0.0000,1.0
2023-04-11,34.69,35.54,34.69,34.97,34.97,6279900,0.0000,1.0
2023-04-10,34.05,34.85,34.05,34.61,34.61,4181400,0.0000,1.0
2023-04-06,32.47,34.22,32.47,34.05,34.05,8315300,0.0000,1.0
2023-04-05,33.2,33.37,32.4,32.65,32.65,3903900,0.0000,1.0
2023-04-04,32.31,33.35,32.2,33.14,33.14,6186400,0.0000,1.0
2023-04-03,32.51,32.69,31.9,32.21,32.21,3748500,0.0000,1.0
2023-03-31,32.79,32.85,32.11,32.51,32.51,6921100,0.0000,1.0
2023-03-30,33.02,33.14,32.31,32.57,32.57,3790600,0.0000,1.0
2023-03-29,33.5,33.58,32.37,32.82,32.82,4994000,0.0000,1.0
2023-03-28,32.88,33.84,32.87,33.36,33.36,5650900,0.0000,1.0
2023-03-27,33.32,33.38,32.66,32.79,32.79,2686800,0.0000,1.0
2023-03-24,32.7,33.3,32.5,33.07,33.07,4379700,0.0000,1.0
2023-03-23,32.64,33.69,32.43,32.65,32.65,5288500,0.0000,1.0
2023-03-22,32.39,32.69,32.33,32.4,32.4,3938800,0.0000,1.0
2023-03-21,32.25,32.46,32.08,32.31,32.31,3982400,0.0000,1.0
2023-03-20,32.42,32.5,31.97,32.25,32.25,4805800,0.0000,1.0
2023-03-17,32.71,32.89,32.28,32.42,32.42,7599900,0.0000,1.0
2023-03-16,32.85,33.13,32.68,33.0,33.0,4193500,0.0000,1.0
2023-03-15,33.02,33.08,32.68,32.85,32.85,4898700,0.0000,1.0
2023-03-14,33.29,33.43,32.98,33.25,33.25,4546900,0.0000,1.0
2023-03-13,33.65,33.77,33.1,33.24,33.24,6132000,0.0000,1.0
2023-03-10,34.54,34.62,33.64,34.01,34.01,4270600,0.0000,1.0
2023-03-09,34.83,35.13,34.45,34.58,34.58,4743500,0.0000,1.0
2023-03-08,34.86,35.14,34.31,34.86,34.86,8157900,0.0000,1.0
2023-03-07,34.88,35.0,34.62,34.87,34.87,4998600,0.0000,1.0
2023-03-06,34.32,35.35,34.23,34.88,34.88,7881900,0.0000,1.0
2023-03-03,34.57,34.66,33.85,34.07,34.07,4753100,0.0000,1.0
2023-03-02,34.0,34.77,33.82,34.57,34.57,6388500,0.0000,1.0
2023-03-01,34.21,34.43,33.68,34.01,34.01,4632400,0.0000,1.0
2023-02-28,34.15,34.56,34.08,34.21,34.21,6809400,0.0000,1.0
2023-02-27,34.1,34.58,34.05,34.29,34.29,3236800,0.0000,1.0
2023-02-24,34.66,34.99,34.02,34.1,34.1,7697600,0.0000,1.0
2023-02-23,35.36,35.78,34.92,35.16,35.16,5931600,0.0000,1.0
2023-02-22,34.9,35.42,34.7,35.36,35.36,4632400,0.0000,1.0
2023-02-17,35.36,35.72,35.34,35.53,35.53,3240600,0.0000,1.0
2023-02-16,34.71,35.55,34.71,35.37,35.37,5867600,0.0000,1.0
2023-02-15,34.53,35.18,33.88,34.94,34.94,9471900,0.0000,1.0
