timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-06-17,10.07,10.27,9.78,10.06,10.06,31660700,0.0000,1.0
2022-06-15,9.84,10.58,9.72,10.55,10.55,16052600,0.0000,1.0
2022-06-14,9.95,10.07,9.36,9.65,9.65,14944100,0.0000,1.0
2022-06-13,9.94,10.04,9.53,9.87,9.87,12589600,0.0000,1.0
2022-06-10,10.92,10.98,10.3,10.3,10.3,14009800,0.0000,1.0
2022-06-09,11.1,11.59,10.95,11.06,11.06,8718000,0.0000,1.0
2022-06-08,11.2,11.57,10.92,11.1,11.1,10427800,0.0000,1.0
2022-06-07,11.57,11.57,11.23,11.3,11.3,10032500,0.0000,1.0
2022-06-06,11.85,12.0,11.52,11.7,11.7,9219100,0.0000,1.0
2022-06-03,12.02,12.1,11.68,11.68,11.68,10267900,0.0000,1.0
2022-06-02,12.21,12.27,11.61,12.02,12.02,15319100,0.0000,1.0
2022-06-01,12.58,12.84,12.0,12.0,12.0,11326700,0.0000,1.0
2022-05-31,13.04,13.14,12.25,12.32,12.32,9461900,0.0000,1.0
2022-05-30,13.4,13.73,12.72,12.9,12.9,9554700,0.0000,1.0
2022-05-27,13.32,13.43,12.92,13.14,13.14,7284100,0.0000,1.0
2022-05-26,13.41,13.44,12.92,13.13,13.13,14425300,0.0000,1.0
2022-05-25,13.97,14.07,13.24,13.24,13.24,12202600,0.0000,1.0
2022-05-24,14.46,14.47,13.8,14.15,14.15,14035600,0.0000,1.0
2022-05-23,15.53,15.64,14.52,14.53,14.53,9468600,0.0000,1.0
2022-05-20,15.6,15.91,14.72,15.32,15.32,9693100,0.0000,1.0
2022-05-19,14.32,15.35,14.01,15.08,15.08,12397500,0.0000,1.0
2022-05-18,15.37,15.37,14.24,14.32,14.32,19150000,0.0000,1.0
2022-05-17,15.64,16.14,15.49,15.67,15.67,16980300,0.0000,1.0
2022-05-16,15.25,15.25,15.25,15.25,15.25,16776400,0.0000,1.0
2022-05-13,14.92,16.09,14.8,15.25,15.25,18408400,0.0000,1.0
2022-05-12,12.98,14.27,12.73,14.27,14.27,16838200,0.0000,1.0
2022-05-11,13.27,14.24,13.15,13.37,13.37,12883200,0.0000,1.0
2022-05-10,12.69,13.44,12.35,13.26,13.26,19105600,0.0000,1.0
2022-05-09,12.71,12.98,12.07,12.15,12.15,14291200,0.0000,1.0
2022-05-06,14.0,14.33,13.01,13.01,13.01,14779400,0.0000,1.0
2022-05-05,15.1,15.1,14.08,14.14,14.14,13441600,0.0000,1.0
2022-05-04,14.6,15.64,13.9,15.6,15.6,14057900,0.0000,1.0
2022-05-03,14.82,15.13,14.4,14.75,14.75,7943000,0.0000,1.0
2022-05-02,15.12,15.61,14.33,14.78,14.78,14546100,0.0000,1.0
2022-04-29,16.53,16.87,15.17,15.17,15.17,11373500,0.0000,1.0
2022-04-28,15.95,16.54,15.43,16.34,16.34,9989100,0.0000,1.0
2022-04-27,16.46,16.59,15.65,15.67,15.67,9866000,0.0000,1.0
2022-04-26,17.0,17.07,15.92,16.02,16.02,11139600,0.0000,1.0
2022-04-25,16.87,17.24,16.47,17.11,17.11,10897700,0.0000,1.0
2022-04-22,17.01,17.78,16.74,17.21,17.21,12774000,0.0000,1.0
