timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-23,21.33,21.33,20.86,20.97,20.97,2976100,0.0000,1.0
2021-12-22,21.35,21.4,21.04,21.26,21.26,3374800,0.0000,1.0
2021-12-21,21.53,21.69,21.12,21.35,21.35,4002900,0.0000,1.0
2021-12-20,22.14,22.27,21.4,21.53,21.53,5392800,0.0000,1.0
2021-12-17,22.22,22.37,22.0,22.1,22.1,16838800,0.0000,1.0
2021-12-16,22.62,22.73,22.2,22.51,22.51,7082500,0.0000,1.0
2021-12-15,22.52,22.74,22.03,22.5,22.5,7889200,0.1315,1.0
2021-12-14,22.92,23.29,22.4,22.53,22.3985,9050500,0.0000,1.0
2021-12-13,22.86,23.6,22.72,22.96,22.826,9444700,0.0000,1.0
2021-12-10,22.37,23.09,22.35,22.85,22.7167,6750700,0.0000,1.0
2021-12-09,22.81,23.0,22.12,22.29,22.1599,6114300,0.0000,1.0
2021-12-08,22.17,23.31,22.17,22.95,22.8161,9919400,0.0000,1.0
2021-12-07,22.28,22.65,22.01,22.2,22.0704,7618800,0.0000,1.0
2021-12-06,22.1,22.21,21.65,22.1,21.971,7252200,0.0000,1.0
2021-12-03,21.48,22.6,21.42,21.9,21.7722,7909500,0.0000,1.0
2021-12-02,21.5,21.7,21.1,21.49,21.3646,8355400,0.0000,1.0
2021-12-01,21.99,21.99,21.0,21.17,21.0465,10781500,0.0000,1.0
2021-11-30,21.59,21.94,21.08,21.76,21.633,14738600,0.0000,1.0
2021-11-29,21.9,22.03,21.45,21.66,21.5336,8751500,0.0000,1.0
2021-11-26,21.86,21.86,21.3,21.67,21.5435,6307300,0.0000,1.0
2021-11-25,22.26,22.62,22.09,22.27,22.14,5899600,0.0000,1.0
2021-11-24,22.24,22.71,21.84,22.1,21.971,10541400,0.0000,1.0
2021-11-23,21.83,22.52,21.5,22.43,22.2991,8478100,0.0000,1.0
2021-11-22,22.18,22.64,21.8,21.81,21.6827,5630100,0.0000,1.0
2021-11-19,20.8,22.86,20.8,22.17,22.0406,7465500,0.0000,1.0
