timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,9.65,9.67,9.38,9.51,9.51,11248900,0.0000,1.0
2023-06-20,9.25,9.8,9.18,9.7,9.7,15509500,0.0000,1.0
2023-06-19,9.21,9.4,8.99,9.25,9.25,6828800,0.0000,1.0
2023-06-16,9.36,9.4,9.03,9.21,9.21,14635300,0.0000,1.0
2023-06-15,9.13,9.43,9.06,9.31,9.31,12056600,0.0000,1.0
2023-06-14,8.9,9.19,8.84,9.14,9.14,19675000,0.0000,1.0
2023-06-13,8.89,9.13,8.73,8.84,8.84,12997900,0.0000,1.0
2023-06-12,8.88,9.04,8.7,8.87,8.87,9844100,0.0000,1.0
2023-06-09,8.74,8.89,8.68,8.83,8.83,11497100,0.0000,1.0
2023-06-07,8.69,8.83,8.51,8.71,8.71,11152000,0.0000,1.0
2023-06-06,8.61,8.88,8.48,8.66,8.66,18132700,0.0000,1.0
2023-06-05,8.56,8.76,8.39,8.65,8.65,14080900,0.0000,1.0
2023-06-02,8.64,8.87,8.2,8.59,8.59,26081300,0.0000,1.0
2023-06-01,8.16,8.61,8.14,8.47,8.47,36615300,0.0000,1.0
2023-05-31,8.21,8.41,7.7,8.13,8.13,64780100,0.0000,1.0
2023-05-30,7.48,7.51,7.16,7.27,7.27,16485200,0.0000,1.0
2023-05-29,7.57,7.59,7.17,7.38,7.38,15030100,0.0000,1.0
2023-05-26,7.67,7.78,7.44,7.6,7.6,13969100,0.0000,1.0
2023-05-25,7.45,7.71,7.37,7.53,7.53,18623400,0.0000,1.0
2023-05-24,7.71,7.71,7.22,7.32,7.32,31563600,0.0000,1.0
2023-05-23,7.87,8.21,7.71,7.75,7.75,26568000,0.0000,1.0
2023-05-22,8.15,8.72,7.96,8.15,8.15,29641600,0.0000,1.0
2023-05-19,7.93,8.49,7.82,8.19,8.19,30717300,0.0000,1.0
2023-05-18,7.12,8.03,6.9,7.96,7.96,32438300,0.0000,1.0
2023-05-17,6.71,7.22,6.7,7.14,7.14,22284600,0.0000,1.0
2023-05-16,7.05,7.14,6.5,6.64,6.64,28141100,0.0000,1.0
2023-05-15,7.45,7.74,6.91,7.31,7.31,33238700,0.0000,1.0
2023-05-12,7.19,7.48,7.0,7.41,7.41,24176200,0.0000,1.0
2023-05-11,6.9,7.59,6.88,7.49,7.49,25437300,0.0000,1.0
2023-05-10,7.11,7.18,6.86,7.06,7.06,17832100,0.0000,1.0
2023-05-09,6.95,7.31,6.95,7.18,7.18,20339500,0.0000,1.0
2023-05-08,6.61,7.08,6.56,7.02,7.02,26346900,0.0000,1.0
2023-05-06,6.45,6.58,6.32,6.56,6.56,15770300,0.0000,1.0
2023-05-05,6.45,6.58,6.32,6.56,6.56,15770300,0.0000,1.0
2023-05-04,6.29,6.54,6.23,6.42,6.42,13522600,0.0000,1.0
2023-05-03,6.1,6.47,6.07,6.32,6.32,19390500,0.0000,1.0
2023-05-02,6.3,6.34,6.04,6.08,6.08,13187100,0.0000,1.0
2023-04-29,5.83,6.38,5.82,6.34,6.34,24663600,0.0000,1.0
2023-04-28,5.83,6.38,5.82,6.34,6.34,24663600,0.0000,1.0
2023-04-27,5.92,5.97,5.67,5.82,5.82,22258400,0.0000,1.0
2023-04-26,5.91,5.97,5.84,5.91,5.91,9083400,0.0000,1.0
2023-04-25,5.99,6.02,5.75,5.91,5.91,12748300,0.0000,1.0
2023-04-24,5.97,6.09,5.93,6.0,6.0,6910100,0.0000,1.0
2023-04-20,6.01,6.05,5.87,5.99,5.99,12514200,0.0000,1.0
2023-04-19,6.0,6.09,5.91,6.0,6.0,10376200,0.0000,1.0
2023-04-18,6.27,6.28,6.0,6.02,6.02,16110700,0.0000,1.0
2023-04-17,6.15,6.29,6.1,6.2,6.2,11513100,0.0000,1.0
2023-04-14,6.27,6.27,6.05,6.17,6.17,13933800,0.0000,1.0
2023-04-13,6.72,6.75,6.24,6.29,6.29,27738900,0.0000,1.0
2023-04-12,6.81,6.96,6.66,6.81,6.81,14991800,0.0000,1.0
2023-04-11,6.22,6.82,6.22,6.76,6.76,19462100,0.0000,1.0
2023-04-10,6.16,6.23,6.03,6.17,6.17,7885600,0.0000,1.0
2023-04-06,6.21,6.43,6.11,6.14,6.14,11654400,0.0000,1.0
2023-04-05,6.08,6.25,5.95,6.2,6.2,13123900,0.0000,1.0
2023-04-04,6.11,6.17,5.86,6.13,6.13,15206900,0.0000,1.0
2023-04-03,6.25,6.35,5.89,6.0,6.0,16224200,0.0000,1.0
2023-03-31,6.6,6.6,6.13,6.21,6.21,16299700,0.0000,1.0
2023-03-30,6.38,6.68,6.34,6.57,6.57,12924100,0.0000,1.0
2023-03-29,6.38,6.4,6.11,6.35,6.35,16647400,0.0000,1.0
2023-03-28,6.06,6.39,5.97,6.31,6.31,11391500,0.0000,1.0
2023-03-27,6.23,6.29,5.95,6.07,6.07,12153600,0.0000,1.0
