timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,29.99,30.45,29.11,30.0,30.0,8142700,0.0000,1.0
2023-06-15,27.91,30.2,27.91,29.48,29.48,11942100,0.0000,1.0
2023-06-14,27.31,27.85,26.94,27.7,27.7,7592200,0.0000,1.0
2023-06-13,27.5,27.87,26.53,26.74,26.74,5882500,0.0000,1.0
2023-06-12,28.68,28.93,26.75,27.15,27.15,9805100,0.0000,1.0
2023-06-09,25.55,25.75,25.12,25.61,25.61,2913300,0.0000,1.0
2023-06-07,24.9,25.55,24.79,25.45,25.45,3217400,0.0000,1.0
2023-06-06,24.12,25.0,24.05,24.85,24.85,4042100,0.0000,1.0
2023-06-05,24.19,24.55,23.97,24.1,24.1,2436900,0.0000,1.0
2023-06-02,23.12,23.91,23.1,23.85,23.85,2741700,0.0000,1.0
2023-06-01,22.66,23.25,22.35,23.03,23.03,2895800,0.0000,1.0
2023-05-31,22.73,23.18,22.46,22.46,22.46,3331000,0.0000,1.0
2023-05-30,23.17,23.18,22.45,22.7,22.7,3005500,0.0000,1.0
2023-05-29,23.15,23.34,22.86,22.89,22.89,1730800,0.0000,1.0
2023-05-26,23.49,23.49,22.82,22.97,22.97,3221000,0.0000,1.0
2023-05-25,23.81,24.1,22.9,23.04,23.04,3279500,0.0000,1.0
2023-05-24,23.08,24.13,22.96,23.72,23.72,4558000,0.0000,1.0
2023-05-23,23.56,24.03,23.17,23.27,23.27,3727500,0.0000,1.0
2023-05-22,24.1,24.39,23.22,23.4,23.4,4354100,0.0000,1.0
2023-05-19,23.92,24.52,23.33,24.18,24.18,7599700,0.0000,1.0
2023-05-18,23.05,23.42,22.61,23.42,23.42,4699100,0.0000,1.0
2023-05-17,22.8,23.68,22.71,23.37,23.37,4342600,0.0000,1.0
2023-05-16,22.6,23.32,22.43,22.76,22.76,5114800,0.0000,1.0
2023-05-15,23.65,24.03,22.3,22.69,22.69,10067300,0.0000,1.0
2023-05-12,25.41,25.42,23.82,24.32,24.32,7338400,0.0000,1.0
