timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,14.54,14.9,14.54,14.9,14.9,2924500,0.0000,1.0
2023-06-20,14.38,14.69,14.36,14.62,14.62,1993100,0.0000,1.0
2023-06-19,14.2,14.62,14.14,14.45,14.45,2058600,0.0000,1.0
2023-06-16,14.02,14.35,13.95,14.21,14.21,5202600,0.0000,1.0
2023-06-15,14.13,14.34,13.91,14.09,14.09,2947100,0.0000,1.0
2023-06-14,13.99,14.52,13.91,14.47,14.1274,4927600,0.3426,1.0
2023-06-13,13.89,14.04,13.55,13.91,13.5807,3124600,0.0000,1.0
2023-06-12,13.4,13.95,13.35,13.92,13.5904,2521900,0.0000,1.0
2023-06-09,13.17,13.32,13.12,13.26,12.9334,1449500,0.0000,1.0
2023-06-07,12.99,13.17,12.99,13.1,12.7773,1162400,0.0000,1.0
2023-06-06,12.77,13.05,12.7,12.99,12.6701,1271900,0.0000,1.0
2023-06-05,12.64,12.77,12.47,12.77,12.4555,1168600,0.0000,1.0
2023-06-02,12.65,12.84,12.61,12.67,12.3579,1827900,0.0000,1.0
2023-06-01,12.41,12.67,12.41,12.65,12.3384,2822000,0.0000,1.0
2023-05-31,12.3,12.54,12.19,12.44,12.1336,2461100,0.0000,1.0
2023-05-30,12.39,12.5,12.28,12.31,12.0068,2813800,0.0000,1.0
2023-05-29,12.01,12.44,12.01,12.4,12.0946,2166000,0.0000,1.0
2023-05-26,12.07,12.14,11.92,12.09,11.7922,2645400,0.0000,1.0
2023-05-25,11.79,12.05,11.73,12.0,11.7044,3135700,0.0000,1.0
2023-05-24,11.62,11.75,11.54,11.68,11.3923,1295800,0.0000,1.0
2023-05-23,11.35,11.61,11.26,11.59,11.3045,1520400,0.0000,1.0
2023-05-22,11.42,11.6,11.33,11.4,11.1192,1381800,0.0000,1.0
2023-05-19,11.59,11.63,11.44,11.54,11.2558,2140700,0.0000,1.0
2023-05-18,11.15,11.59,11.15,11.57,11.285,2600300,0.0000,1.0
2023-05-17,11.0,11.2,10.98,11.16,10.8851,1165500,0.0000,1.0
2023-05-16,10.83,11.07,10.8,10.98,10.7096,1485700,0.0000,1.0
2023-05-15,10.75,10.85,10.63,10.83,10.5633,1695700,0.0000,1.0
2023-05-12,11.42,11.42,10.4,10.66,10.3974,4877600,0.0000,1.0
2023-05-11,11.28,11.46,11.12,11.43,11.1485,1403300,0.0000,1.0
2023-05-10,11.16,11.29,11.02,11.28,11.0022,1447500,0.0000,1.0
2023-05-09,11.06,11.29,11.0,11.16,10.8851,1518800,0.0000,1.0
2023-05-08,11.1,11.29,11.09,11.09,10.8168,2078700,0.0000,1.0
2023-05-06,10.78,11.15,10.77,11.09,10.8168,1740600,0.0000,1.0
2023-05-05,10.78,11.15,10.77,11.09,10.8168,1726400,0.0000,1.0
2023-05-04,10.6,10.82,10.5,10.8,10.534,1506000,0.0000,1.0
2023-05-03,10.51,10.68,10.36,10.56,10.2999,1591200,0.0363,1.0
2023-05-02,10.6,10.64,10.46,10.53,10.2353,1691400,0.0000,1.0
2023-04-29,10.4,10.69,10.36,10.64,10.3422,1796100,0.0000,1.0
2023-04-28,10.4,10.69,10.36,10.64,10.3422,1793900,0.0000,1.0
2023-04-27,10.25,10.41,10.25,10.4,10.1089,755600,0.0000,1.0
2023-04-26,10.3,10.4,10.25,10.29,10.002,835600,0.0000,1.0
2023-04-25,10.35,10.38,10.23,10.3,10.0117,719700,0.0000,1.0
2023-04-24,10.34,10.49,10.32,10.34,10.0506,838600,0.0000,1.0
2023-04-20,10.29,10.33,10.16,10.33,10.0409,741600,0.0000,1.0
2023-04-19,10.37,10.42,10.3,10.31,10.0214,1560800,0.0000,1.0
2023-04-18,10.51,10.58,10.37,10.41,10.1186,653400,0.0000,1.0
2023-04-17,10.4,10.53,10.36,10.46,10.1672,1286300,0.0000,1.0
2023-04-14,10.21,10.45,10.12,10.4,10.1089,1293200,0.0000,1.0
2023-04-13,10.27,10.33,10.16,10.23,9.9437,1802100,0.0000,1.0
2023-04-12,10.1,10.4,10.09,10.24,9.9534,2234200,0.0000,1.0
2023-04-11,9.82,10.07,9.8,10.04,9.759,1735800,0.0000,1.0
2023-04-10,9.85,9.92,9.76,9.78,9.5063,1313100,0.0000,1.0
2023-04-06,9.95,9.99,9.81,9.88,9.6035,994100,0.0000,1.0
2023-04-05,9.99,10.04,9.85,9.95,9.6715,2199200,0.0000,1.0
2023-04-04,9.95,10.06,9.86,9.99,9.7104,950100,0.0000,1.0
2023-04-03,10.0,10.02,9.82,9.82,9.5451,1027200,0.0000,1.0
2023-03-31,9.96,10.08,9.94,10.0,9.7201,2174700,0.0000,1.0
2023-03-30,9.7,9.98,9.67,9.96,9.6812,1841900,0.0000,1.0
2023-03-29,9.69,9.69,9.49,9.66,9.3896,1452400,0.0000,1.0
2023-03-28,9.66,9.76,9.63,9.68,9.4091,1488700,0.0000,1.0
2023-03-27,9.57,9.72,9.55,9.66,9.3896,961000,0.0000,1.0
2023-03-24,9.45,9.6,9.37,9.54,9.273,2090700,0.0000,1.0
2023-03-23,9.6,9.74,9.35,9.45,9.1855,1822600,0.0000,1.0
2023-03-22,9.46,9.74,9.43,9.6,9.3313,1591700,0.0000,1.0
2023-03-21,9.55,9.6,9.44,9.44,9.1758,1651000,0.0000,1.0
2023-03-20,9.64,9.75,9.49,9.53,9.2633,1212700,0.0000,1.0
2023-03-17,9.83,9.83,9.61,9.62,9.3507,1999400,0.0000,1.0
2023-03-16,9.74,9.82,9.65,9.8,9.5257,1965200,0.0000,1.0
2023-03-15,10.06,10.13,9.81,10.11,9.827,3275400,0.3668,1.0
2023-03-14,10.25,10.25,10.0,10.09,9.4511,2661300,0.0000,1.0
2023-03-13,10.1,10.36,10.07,10.25,9.601,2385200,0.0000,1.0
2023-03-10,10.11,10.15,9.9,9.98,9.3481,1337200,0.0000,1.0
2023-03-09,10.18,10.28,10.03,10.15,9.5073,1190400,0.0000,1.0
2023-03-08,10.05,10.2,10.04,10.18,9.5354,1314000,0.0000,1.0
