timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-20,20.8,20.8,18.05,19.34,19.34,56804,0.0000,1.0
2021-12-17,20.7,20.75,17.26,18.8,18.8,100494,0.0000,1.0
2021-12-16,17.6,18.88,17.6,18.88,18.88,97869,0.0000,1.0
2021-12-15,16.78,17.19,16.0,17.15,17.15,91073,0.0000,1.0
2021-12-14,16.7,16.7,15.05,16.0,16.0,23984,0.0000,1.0
2021-12-13,16.15,16.15,15.8,16.01,16.01,12672,0.0000,1.0
2021-12-10,16.05,16.95,15.3,15.8,15.8,26814,0.0000,1.0
2021-12-09,17.24,17.38,14.71,16.35,16.35,24607,0.0000,1.0
2021-12-08,16.5,17.25,15.01,16.21,16.21,38412,0.0000,1.0
2021-12-07,16.0,16.0,15.6,15.85,15.85,20403,0.0000,1.0
2021-12-06,15.67,15.69,15.1,15.5,15.5,24404,0.0000,1.0
2021-12-03,14.69,14.95,14.21,14.9,14.9,20489,0.0000,1.0
2021-12-02,14.79,14.8,13.75,14.46,14.46,11887,0.0000,1.0
2021-12-01,14.46,14.46,13.74,14.44,14.44,18613,0.0000,1.0
2021-11-30,15.94,15.94,14.46,14.46,14.46,69977,0.0000,1.0
2021-11-29,16.0,16.0,15.22,15.22,15.22,14317,0.0000,1.0
2021-11-26,16.85,16.85,15.55,16.0,16.0,28669,0.0000,1.0
2021-11-25,15.75,16.13,15.0,16.13,16.13,40824,0.0000,1.0
2021-11-24,15.41,15.41,14.01,15.41,15.41,28924,0.0000,1.0
2021-11-23,13.95,14.92,13.58,14.92,14.92,16078,0.0000,1.0
2021-11-22,14.66,15.25,13.95,14.33,14.33,32488,0.0000,1.0
2021-11-18,14.2,15.29,14.15,14.55,14.55,42402,0.0000,1.0
2021-11-17,14.94,15.6,14.28,14.93,14.93,14444,0.0000,1.0
2021-11-16,15.5,15.5,14.5,15.0,15.0,37502,0.0000,1.0
2021-11-15,15.16,16.0,15.03,15.03,15.03,31076,0.0000,1.0
2021-11-12,17.28,17.48,15.82,15.82,15.82,136365,0.0000,1.0
2021-11-11,16.65,16.65,16.6,16.65,16.65,154494,0.0000,1.0
2021-11-10,16.47,16.47,15.11,16.05,16.05,36559,0.0000,1.0
2021-11-09,15.4,15.73,15.11,15.73,15.73,43056,0.0000,1.0
