timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-19,8.84,8.93,8.64,8.88,8.88,2444300,0.0000,1.0
2023-06-16,9.01,9.01,8.81,8.85,8.85,1430100,0.0000,1.0
2023-06-15,8.83,9.08,8.76,9.01,9.01,2140900,0.0000,1.0
2023-06-14,8.74,8.9,8.5,8.81,8.81,3420300,0.0000,1.0
2023-06-13,9.19,9.21,8.68,8.7,8.7,2941000,0.0000,1.0
2023-06-12,9.2,9.22,9.01,9.17,9.17,1692800,0.0000,1.0
2023-06-09,9.3,9.44,9.13,9.16,9.16,1858500,0.0000,1.0
2023-06-07,9.48,9.62,9.03,9.25,9.25,2265700,0.0000,1.0
2023-06-06,9.1,9.63,9.09,9.44,9.44,3604700,0.0000,1.0
2023-06-05,9.24,9.35,8.81,9.08,9.08,7326800,0.0000,1.0
2023-06-02,9.32,9.79,9.14,9.24,9.24,3287800,0.0000,1.0
2023-06-01,8.7,9.31,8.2,9.0,9.0,8021200,0.0000,0.1
2023-05-31,9.0,9.1,8.8,8.9,8.9,919000,0.0000,1.0
2023-05-30,8.9,9.2,8.7,9.0,9.0,1927600,0.0000,1.0
2023-05-29,8.6,8.9,8.5,8.9,8.9,978920,0.0000,1.0
2023-05-26,0.85,0.88,0.83,0.87,8.7,29446700,0.0000,1.0
2023-05-25,0.88,0.89,0.83,0.85,8.5,32080800,0.0000,1.0
2023-05-24,0.83,0.89,0.81,0.86,8.6,28893600,0.0000,1.0
2023-05-23,0.84,0.85,0.83,0.84,8.4,9441000,0.0000,1.0
2023-05-22,0.86,0.87,0.83,0.84,8.4,14861200,0.0000,1.0
2023-05-19,0.86,0.87,0.85,0.86,8.6,14060700,0.0000,1.0
2023-05-18,0.82,0.87,0.82,0.85,8.5,22600300,0.0000,1.0
2023-05-17,0.84,0.85,0.81,0.83,8.3,14885500,0.0000,1.0
2023-05-16,0.86,0.87,0.82,0.83,8.3,14697100,0.0000,1.0
2023-05-15,0.88,0.88,0.86,0.87,8.7,7141700,0.0000,1.0
2023-05-12,0.89,0.9,0.87,0.88,8.8,10409400,0.0000,1.0
2023-05-11,0.89,0.92,0.88,0.89,8.9,18143300,0.0000,1.0
2023-05-10,0.89,0.96,0.88,0.89,8.9,42713200,0.0000,1.0
2023-05-09,0.86,0.9,0.84,0.88,8.8,17376000,0.0000,1.0
2023-05-08,0.88,0.91,0.86,0.86,8.6,11823700,0.0000,1.0
2023-05-06,0.83,0.88,0.82,0.88,8.8,18042300,0.0000,1.0
2023-05-05,0.83,0.88,0.82,0.88,8.8,17484300,0.0000,1.0
2023-05-04,0.83,0.85,0.81,0.82,8.2,17967900,0.0000,1.0
2023-05-03,0.82,0.84,0.8,0.81,8.1,14789800,0.0000,1.0
2023-05-02,0.85,0.86,0.81,0.82,8.2,12024100,0.0000,1.0
2023-04-29,0.82,0.88,0.82,0.86,8.6,17149300,0.0000,1.0
2023-04-28,0.82,0.88,0.82,0.86,8.6,16677300,0.0000,1.0
2023-04-27,0.84,0.85,0.8,0.82,8.2,14303600,0.0000,1.0
2023-04-26,0.84,0.85,0.82,0.84,8.4,12548900,0.0000,1.0
2023-04-25,0.87,0.87,0.83,0.84,8.4,17681400,0.0000,1.0
2023-04-24,0.9,0.91,0.86,0.88,8.8,21350900,0.0000,1.0
2023-04-20,0.91,0.92,0.88,0.9,9.0,13757600,0.0000,1.0
2023-04-19,0.93,0.93,0.9,0.91,9.1,21600300,0.0000,1.0
2023-04-18,0.95,0.96,0.92,0.94,9.4,19150300,0.0000,1.0
2023-04-17,0.94,0.96,0.94,0.94,9.4,9435100,0.0000,1.0
2023-04-14,0.96,0.97,0.93,0.94,9.4,16420400,0.0000,1.0
2023-04-13,0.93,0.98,0.92,0.95,9.5,22076800,0.0000,1.0
