timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,14.17,14.35,14.05,14.06,14.06,8974700,0.0000,1.0
2023-06-15,14.07,14.26,14.04,14.21,14.21,8384600,0.0000,1.0
2023-06-14,14.18,14.3,13.91,14.09,14.09,18635300,0.0000,1.0
2023-06-13,14.33,14.36,14.09,14.18,14.18,8977100,0.0000,1.0
2023-06-12,14.24,14.33,14.19,14.29,14.29,10068000,0.0000,1.0
2023-06-09,14.15,14.29,14.11,14.25,14.25,7345800,0.0000,1.0
2023-06-07,14.38,14.4,13.85,14.06,14.06,8671200,0.0000,1.0
2023-06-06,14.2,14.43,14.11,14.29,14.29,8459500,0.0000,1.0
2023-06-05,14.12,14.22,13.96,14.12,14.12,4503100,0.0000,1.0
2023-06-02,13.94,14.26,13.9,14.15,14.15,7840100,0.0000,1.0
2023-06-01,13.55,13.9,13.46,13.86,13.86,8067300,0.0000,1.0
2023-05-31,13.78,13.78,13.3,13.57,13.57,34638500,0.0000,1.0
2023-05-30,13.62,13.9,13.61,13.77,13.77,8029600,0.0000,1.0
2023-05-29,13.62,13.76,13.55,13.58,13.58,3270800,0.0000,1.0
2023-05-26,13.81,13.82,13.52,13.68,13.68,4274900,0.0000,1.0
2023-05-25,13.81,13.99,13.61,13.72,13.72,5554200,0.0000,1.0
2023-05-24,13.75,13.81,13.55,13.55,13.55,7564700,0.0000,1.0
2023-05-23,13.71,13.88,13.61,13.75,13.75,5331200,0.0000,1.0
2023-05-22,13.89,14.08,13.5,13.72,13.72,8767300,0.0000,1.0
2023-05-19,13.81,14.04,13.66,13.89,13.89,8765000,0.0000,1.0
2023-05-18,13.51,13.82,13.47,13.79,13.79,8558200,0.0000,1.0
2023-05-17,13.33,13.59,13.27,13.52,13.52,6760800,0.0000,1.0
2023-05-16,13.66,13.86,13.23,13.23,13.23,16658400,0.0000,1.0
2023-05-15,13.51,13.7,13.36,13.65,13.65,6944800,0.0000,1.0
2023-05-12,13.63,13.65,13.35,13.5,13.5,8201300,0.0000,1.0
2023-05-11,13.75,13.9,13.62,13.65,13.65,9908500,0.0000,1.0
2023-05-10,13.8,13.9,13.67,13.75,13.75,9655100,0.0000,1.0
2023-05-09,13.66,14.08,13.51,13.87,13.87,8353200,0.0000,1.0
