timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-03-25,25.0,25.3,24.29,25.25,25.25,9306600,0.0000,1.0
2022-03-24,23.96,25.04,23.87,24.9,24.9,4773700,0.0000,1.0
2022-03-23,23.6,24.18,23.45,23.97,23.97,1425900,0.0000,1.0
2022-03-22,23.66,23.95,23.39,23.6,23.6,2135800,0.0000,1.0
2022-03-21,23.5,23.83,23.09,23.6,23.6,1531700,0.0000,1.0
2022-03-18,22.97,23.58,22.85,23.51,23.51,5287700,0.0000,1.0
2022-03-17,22.1,23.1,22.0,22.97,22.97,5381200,0.0000,1.0
2022-03-16,22.6,22.77,21.94,22.1,22.1,3822800,0.0000,1.0
2022-03-15,22.23,22.74,22.09,22.5,22.5,1653600,0.0000,1.0
2022-03-14,22.65,22.82,22.02,22.33,22.33,1962000,0.0000,1.0
2022-03-11,23.36,23.58,22.58,22.61,22.61,1968700,0.0000,1.0
2022-03-10,22.93,23.64,22.69,23.38,23.38,2578200,0.0000,1.0
2022-03-09,22.9,23.7,22.77,22.9,22.9,4572900,0.0000,1.0
2022-03-08,23.02,23.27,22.64,22.86,22.86,2042400,0.0000,1.0
2022-03-07,22.79,23.24,22.58,22.87,22.87,3800900,0.0000,1.0
2022-03-04,23.04,23.38,22.72,22.95,22.95,1881100,0.0000,1.0
2022-03-03,22.64,23.29,22.51,23.06,23.06,2888100,0.0000,1.0
2022-03-02,22.83,22.83,22.55,22.61,22.61,1229400,0.0000,1.0
2022-02-25,22.82,23.01,22.54,22.79,22.79,1930200,0.0000,1.0
2022-02-24,22.75,23.32,22.52,22.96,22.96,2595400,0.0000,1.0
2022-02-23,22.81,23.35,22.81,22.98,22.98,1671300,0.0000,1.0
2022-02-22,22.61,22.98,22.44,22.84,22.84,2229400,0.0000,1.0
2022-02-21,22.78,22.86,22.44,22.44,22.44,1544100,0.0000,1.0
2022-02-18,23.24,23.41,22.67,22.78,22.78,1734200,0.0000,1.0
2022-02-17,22.67,23.37,22.6,23.17,23.17,3857100,0.0000,1.0
2022-02-16,22.6,22.95,22.35,22.66,22.66,4180800,0.0000,1.0
2022-02-15,22.83,23.02,22.43,22.66,22.66,3235300,0.0000,1.0
2022-02-14,23.42,23.43,22.67,22.79,22.79,2092400,0.0000,1.0
2022-02-11,23.43,23.53,23.15,23.15,23.15,970900,0.0000,1.0
2022-02-10,23.27,23.43,22.84,23.38,23.38,1283700,0.0000,1.0
2022-02-09,22.95,23.34,22.83,23.2,23.2,1101200,0.0000,1.0
2022-02-08,22.96,23.09,22.72,22.99,22.99,1178900,0.0000,1.0
2022-02-07,23.37,23.54,22.96,22.96,22.96,1405700,0.0000,1.0
2022-02-04,23.35,23.51,22.98,23.38,23.38,1707100,0.0000,1.0
2022-02-03,23.15,23.52,22.96,23.4,23.4,1322600,0.0000,1.0
2022-02-02,23.04,23.78,23.0,23.29,23.29,2565600,0.0000,1.0
2022-02-01,23.37,23.97,22.87,23.03,23.03,2986800,0.0000,1.0
2022-01-31,23.16,23.42,22.68,23.29,23.29,1594100,0.0000,1.0
2022-01-28,22.64,23.6,22.49,23.02,23.02,2555300,0.0000,1.0
2022-01-27,22.15,23.0,22.05,22.65,22.65,2031500,0.0000,1.0
2022-01-26,22.15,22.41,21.75,21.91,21.91,4804400,0.0000,1.0
2022-01-25,21.93,22.45,21.67,22.03,22.03,2326500,0.0000,1.0
2022-01-24,22.64,22.8,21.97,22.02,22.02,2170600,0.0000,1.0
2022-01-21,23.0,23.02,22.57,22.61,22.61,1904300,0.0000,1.0
2022-01-20,22.86,23.4,22.51,23.05,23.05,2084000,0.0000,1.0
