timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,31.25,31.49,30.98,31.49,31.49,8100,0.0000,1.0
2023-06-20,31.21,31.69,31.21,31.3,31.3,14400,0.0000,1.0
2023-06-19,29.5,31.83,29.45,31.07,31.07,30000,0.0000,1.0
2023-06-16,29.11,29.38,29.0,29.0,29.0,6800,0.0000,1.0
2023-06-15,29.76,29.76,29.06,29.19,29.19,4800,0.0000,1.0
2023-06-14,28.98,29.4,28.58,29.0,29.0,7000,0.0000,1.0
2023-06-13,29.5,29.5,28.58,28.7,28.7,10000,0.0000,1.0
2023-06-12,29.61,29.95,29.5,29.6,29.6,17500,0.0000,1.0
2023-06-09,28.95,29.5,28.95,29.44,29.44,6800,0.0000,1.0
2023-06-07,28.66,29.0,28.66,28.75,28.75,7200,0.0000,1.0
2023-06-06,29.07,29.3,28.66,28.66,28.66,8200,0.0000,1.0
2023-06-05,29.17,29.55,28.9,28.9,28.9,8500,0.0000,1.0
2023-06-02,28.5413,29.2002,28.5413,29.0404,29.0404,6310,0.0000,1.0
2023-06-01,28.3217,28.5313,28.3217,28.3816,28.3816,2604,0.0000,1.0
2023-05-31,28.41,28.89,28.11,28.31,28.31,7400,0.0000,1.0
2023-05-30,29.44,29.44,28.14,28.4,28.4,6000,0.0000,1.0
2023-05-29,28.67,29.4,28.67,28.81,28.81,4700,0.0000,1.0
2023-05-26,29.0,29.39,29.0,29.17,29.17,8700,0.0000,1.0
2023-05-25,28.51,29.09,28.51,28.94,28.94,5200,0.0000,1.0
2023-05-24,28.99,28.99,28.47,28.47,28.47,5200,0.0000,1.0
2023-05-23,28.5,28.93,28.5,28.83,28.83,4700,0.0000,1.0
2023-05-22,28.0,28.8,28.0,28.5,28.5,22600,0.0000,1.0
2023-05-19,27.91,28.0,27.33,27.98,27.98,6800,0.0000,1.0
2023-05-18,27.74,27.99,27.0,27.58,27.58,10700,0.0000,1.0
2023-05-17,28.22,28.22,27.7,27.74,27.74,5700,0.0000,1.0
2023-05-16,28.0,28.36,27.81,27.9,27.9,5000,0.0000,1.0
2023-05-15,29.67,29.67,27.54,28.1,28.1,34300,0.0000,1.0
2023-05-12,29.73,30.4,29.73,30.4,30.4,5100,0.0000,1.0
2023-05-11,29.09,29.96,28.85,29.96,29.96,9300,0.0000,1.0
2023-05-10,29.3,29.3,29.0,29.0,29.0,4400,0.0000,1.0
2023-05-09,29.17,29.46,29.13,29.38,29.38,1900,0.0000,1.0
2023-05-08,29.08,29.18,29.01,29.18,29.18,2800,0.0000,1.0
2023-05-06,28.39,29.05,28.39,29.05,29.05,12500,0.0000,1.0
2023-05-05,28.39,29.05,28.39,29.05,29.05,12500,0.0000,1.0
2023-05-04,28.47,28.55,28.38,28.55,28.55,11100,0.0000,1.0
2023-05-03,28.49,28.52,28.26,28.26,28.26,3100,0.0000,1.0
2023-05-02,28.01,28.85,28.01,28.25,28.25,7100,0.0000,1.0
2023-04-29,28.81,28.81,28.49,28.62,28.62,1900,0.0000,1.0
