timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,4.52,4.59,4.48,4.52,4.52,35794100,0.0000,1.0
2023-06-15,4.58,4.6,4.48,4.54,4.54,63731900,0.0000,1.0
2023-06-14,4.7,4.73,4.54,4.58,4.58,57050100,0.0000,1.0
2023-06-13,4.76,4.8,4.65,4.69,4.69,31426400,0.0000,1.0
2023-06-12,4.72,4.79,4.66,4.73,4.73,27575400,0.0000,1.0
2023-06-09,4.67,4.77,4.66,4.69,4.69,45248300,0.0000,1.0
2023-06-07,4.62,4.7,4.57,4.65,4.65,45989500,0.0000,1.0
2023-06-06,4.63,4.66,4.47,4.6,4.6,103897100,0.0000,1.0
2023-06-05,4.72,4.8,4.68,4.72,4.72,49227300,0.0000,1.0
2023-06-02,4.72,4.77,4.63,4.71,4.71,41437100,0.0000,1.0
2023-06-01,4.66,4.68,4.56,4.64,4.64,64719800,0.0000,1.0
2023-05-31,4.76,4.76,4.64,4.67,4.67,35960700,0.0000,1.0
2023-05-30,4.82,4.83,4.71,4.77,4.77,29586000,0.0000,1.0
2023-05-29,4.85,4.85,4.74,4.8,4.8,24801500,0.0000,1.0
2023-05-26,5.05,5.08,4.82,4.85,4.85,56709301,0.0000,1.0
2023-05-25,5.01,5.13,4.91,5.01,5.01,60598898,0.0000,1.0
2023-05-24,5.23,5.23,4.95,4.98,4.98,58721102,0.0000,1.0
2023-05-23,5.19,5.27,5.15,5.2,5.2,45994398,0.0000,1.0
2023-05-22,5.41,5.41,5.18,5.19,5.19,31521400,0.0000,1.0
2023-05-19,5.55,5.56,5.37,5.39,5.39,39815500,0.0000,1.0
2023-05-18,5.5,5.56,5.46,5.53,5.53,25926100,0.0000,1.0
2023-05-17,5.47,5.59,5.46,5.52,5.52,24777100,0.0000,1.0
2023-05-16,5.57,5.62,5.41,5.46,5.46,23049000,0.0000,1.0
2023-05-15,5.59,5.62,5.49,5.59,5.59,15749800,0.0000,1.0
2023-05-12,5.6,5.64,5.52,5.58,5.58,17878500,0.0000,1.0
2023-05-11,5.43,5.59,5.4,5.58,5.58,17640600,0.0000,1.0
2023-05-10,5.72,5.77,5.26,5.51,5.51,95863398,0.0000,1.0
2023-05-09,5.61,5.82,5.58,5.71,5.71,52243199,0.0000,1.0
2023-05-08,5.62,5.71,5.58,5.63,5.63,19980699,0.0000,1.0
2023-05-05,5.66,5.74,5.6,5.62,5.62,30149400,0.0000,1.0
2023-05-04,5.51,5.74,5.49,5.68,5.68,61954000,0.0729,1.0
2023-05-03,5.43,5.53,5.35,5.44,5.3671,27012199,0.0000,1.0
2023-05-02,5.49,5.66,5.38,5.43,5.3572,54033602,0.0000,1.0
2023-04-28,5.33,5.48,5.18,5.46,5.3868,46516699,0.0000,1.0
2023-04-27,5.16,5.28,5.15,5.26,5.1895,26011801,0.0000,1.0
2023-04-26,5.04,5.19,5.04,5.16,5.0909,19424199,0.0000,1.0
2023-04-25,5.09,5.11,4.97,5.07,5.0021,11232000,0.0000,1.0
2023-04-24,5.1,5.21,5.06,5.09,5.0218,18366900,0.0000,1.0
2023-04-20,5.0,5.14,4.97,5.1,5.0317,17302000,0.0000,1.0
2023-04-19,5.2,5.2,4.98,5.0,4.933,27333100,0.0000,1.0
2023-04-18,5.13,5.28,5.06,5.25,5.1797,29008600,0.0000,1.0
2023-04-17,5.09,5.14,5.04,5.11,5.0415,15599000,0.0000,1.0
2023-04-14,4.93,5.11,4.9,5.08,5.0119,16754301,0.0000,1.0
2023-04-13,4.95,5.01,4.87,4.94,4.8738,18008400,0.0000,1.0
2023-04-12,4.9,5.1,4.89,4.93,4.8639,37308000,0.0000,1.0
2023-04-11,4.71,4.92,4.71,4.89,4.8245,47853898,0.0000,1.0
2023-04-10,4.68,4.74,4.66,4.68,4.6173,13070300,0.0000,1.0
2023-04-06,4.69,4.73,4.63,4.68,4.6173,14426100,0.0000,1.0
2023-04-05,4.72,4.75,4.61,4.7,4.637,29737600,0.0000,1.0
2023-04-04,4.7,4.8,4.67,4.71,4.6469,21481199,0.0000,1.0
2023-04-03,4.82,4.86,4.5,4.67,4.6074,61562199,0.0000,1.0
2023-03-31,4.98,5.03,4.81,4.85,4.785,40691398,0.0000,1.0
2023-03-30,5.07,5.14,4.92,5.0,4.933,30402900,0.0000,1.0
2023-03-29,5.09,5.09,4.85,5.02,4.9527,40039301,0.0000,1.0
2023-03-28,4.99,5.07,4.92,5.07,5.0021,15864800,0.0000,1.0
2023-03-27,5.1,5.12,4.96,4.97,4.9034,14710800,0.0000,1.0
2023-03-24,4.91,5.08,4.89,5.06,4.9922,18849100,0.0000,1.0
2023-03-23,5.05,5.17,4.83,4.91,4.8442,23780400,0.0000,1.0
2023-03-22,4.98,5.12,4.97,5.01,4.9429,13068400,0.0000,1.0
2023-03-21,4.95,5.06,4.91,4.99,4.9231,24031301,0.0000,1.0
2023-03-20,4.88,5.0,4.82,4.95,4.8837,13938700,0.0000,1.0
2023-03-17,5.1,5.1,4.89,4.89,4.8245,30560400,0.0000,1.0
2023-03-16,5.08,5.2,5.06,5.12,5.0514,17496699,0.0000,1.0
2023-03-15,5.07,5.17,4.97,5.1,5.0317,17056400,0.0000,1.0
2023-03-14,5.11,5.15,5.02,5.14,5.0711,16263400,0.0000,1.0
2023-03-13,5.04,5.13,4.88,5.09,5.0218,22516699,0.0000,1.0
2023-03-10,5.23,5.23,5.05,5.1,5.0317,28739000,0.0000,1.0
2023-03-09,5.24,5.33,5.21,5.23,5.1599,44450602,0.0000,1.0
