timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,12.74,12.93,12.68,12.89,12.89,9818100,0.0000,1.0
2023-06-20,12.55,12.75,12.48,12.74,12.74,9753900,0.0000,1.0
2023-06-19,12.43,12.58,12.42,12.53,12.53,5681700,0.0000,1.0
2023-06-16,12.73,12.94,12.32,12.41,12.41,28511300,0.0000,1.0
2023-06-15,12.74,12.89,12.6,12.76,12.76,7791600,0.0000,1.0
2023-06-14,12.59,12.76,12.35,12.75,12.75,13576700,0.0000,1.0
2023-06-13,12.83,13.01,12.43,12.55,12.55,12298500,0.0000,1.0
2023-06-12,12.55,12.86,12.51,12.78,12.78,9126000,0.0000,1.0
2023-06-09,12.33,12.59,12.27,12.55,12.55,13469000,0.0000,1.0
2023-06-07,12.27,12.3,12.15,12.2,12.2,8549300,0.0000,1.0
2023-06-06,11.96,12.25,11.93,12.18,12.18,10192100,0.0000,1.0
2023-06-05,11.9,11.94,11.82,11.88,11.88,8795700,0.0000,1.0
2023-06-02,11.84,12.02,11.77,11.88,11.88,11357900,0.0000,1.0
2023-06-01,11.73,11.81,11.58,11.77,11.77,10652700,0.0000,1.0
2023-05-31,11.83,12.0,11.6,11.7,11.7,34355400,0.0000,1.0
2023-05-30,12.06,12.06,11.81,11.91,11.91,7412400,0.0000,1.0
2023-05-29,12.1,12.17,11.96,11.97,11.97,4065800,0.0000,1.0
2023-05-26,12.11,12.15,11.77,12.03,12.03,10666300,0.0000,1.0
2023-05-25,12.15,12.18,11.99,12.04,12.04,8429300,0.0000,1.0
2023-05-24,11.96,12.11,11.95,12.0,12.0,8510700,0.0000,1.0
2023-05-23,12.14,12.14,11.89,12.0,12.0,10991400,0.0000,1.0
2023-05-22,12.1,12.32,12.05,12.06,12.06,5356900,0.0000,1.0
2023-05-19,12.04,12.16,11.97,12.12,12.12,10960500,0.0000,1.0
2023-05-18,11.94,12.03,11.87,11.97,11.97,9097500,0.0000,1.0
2023-05-17,12.2,12.3,11.91,11.95,11.95,6307300,0.0000,1.0
2023-05-16,12.37,12.65,12.15,12.19,12.19,8733300,0.0000,1.0
2023-05-15,12.17,12.4,12.15,12.36,12.36,6399400,0.0000,1.0
2023-05-12,12.27,12.32,12.15,12.17,12.17,6926700,0.0000,1.0
2023-05-11,12.11,12.41,12.05,12.32,12.32,8960500,0.0000,1.0
2023-05-10,11.92,12.2,11.87,12.14,12.14,7474900,0.0000,1.0
2023-05-09,11.84,12.04,11.68,11.98,11.98,6981500,0.0000,1.0
2023-05-08,11.89,11.9,11.7,11.84,11.84,12149400,0.0000,1.0
2023-05-05,12.16,12.19,11.85,11.87,11.87,14043100,0.0000,1.0
2023-05-04,12.32,12.38,12.07,12.16,12.16,14611000,0.0000,1.0
2023-05-03,12.31,12.33,12.14,12.22,12.22,12129700,0.0000,1.0
2023-05-02,12.31,12.39,12.16,12.36,12.36,9392800,0.0000,1.0
2023-04-28,12.34,12.45,12.24,12.35,12.35,12695200,0.0000,1.0
2023-04-27,12.37,12.55,12.36,12.51,12.3969,6270800,0.1131,1.0
2023-04-26,12.48,12.59,12.27,12.4,12.2879,11634300,0.0000,1.0
2023-04-25,12.5,12.5,12.31,12.48,12.3672,9336100,0.0000,1.0
2023-04-24,12.49,12.6,12.4,12.51,12.3969,8726700,0.0000,1.0
2023-04-20,12.38,12.54,12.33,12.54,12.4257,21118900,0.0000,1.0
2023-04-19,12.32,12.51,12.24,12.37,12.2572,7486700,0.0000,1.0
2023-04-18,12.5,12.51,12.31,12.47,12.3563,8076300,0.0000,1.0
2023-04-17,12.35,12.51,12.17,12.43,12.3167,11791800,0.0000,1.0
2023-04-14,12.25,12.31,11.96,12.31,12.1978,13289900,0.0000,1.0
