timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,7.87,7.91,7.76,7.77,7.77,10202500,0.0000,1.0
2023-06-15,7.9,7.97,7.8,7.88,7.88,18498700,0.0000,1.0
2023-06-14,7.88,7.92,7.79,7.9,7.9,16658900,0.0000,1.0
2023-06-13,7.99,8.02,7.84,7.86,7.86,14656800,0.0000,1.0
2023-06-12,7.99,8.02,7.91,7.95,7.95,16548700,0.0000,1.0
2023-06-09,7.78,8.05,7.78,7.98,7.98,28993900,0.0000,1.0
2023-06-07,7.61,7.74,7.56,7.7,7.7,20832300,0.0000,1.0
2023-06-06,7.5,7.61,7.46,7.57,7.57,12525000,0.0000,1.0
2023-06-05,7.46,7.52,7.41,7.48,7.48,15810000,0.0000,1.0
2023-06-02,7.52,7.56,7.42,7.46,7.46,13908800,0.0000,1.0
2023-06-01,7.44,7.53,7.26,7.45,7.45,33132900,0.0000,1.0
2023-05-31,7.55,7.59,7.42,7.42,7.42,12995500,0.0000,1.0
2023-05-30,7.77,7.82,7.55,7.56,7.56,17486300,0.0000,1.0
2023-05-29,7.69,7.77,7.64,7.7,7.7,6564800,0.0000,1.0
2023-05-26,7.74,7.79,7.62,7.68,7.68,13707700,0.0000,1.0
2023-05-25,7.6,7.74,7.53,7.68,7.68,15300300,0.0000,1.0
2023-05-24,7.6,7.68,7.53,7.54,7.54,10090900,0.0000,1.0
2023-05-23,7.54,7.69,7.51,7.63,7.63,16458400,0.0000,1.0
2023-05-22,7.56,7.63,7.51,7.54,7.54,8989400,0.0000,1.0
2023-05-19,7.58,7.65,7.54,7.56,7.56,15289200,0.0000,1.0
2023-05-18,7.6,7.62,7.46,7.57,7.57,16541300,0.0000,1.0
2023-05-17,7.72,7.8,7.6,7.6,7.6,7183200,0.0000,1.0
2023-05-16,7.76,7.84,7.69,7.7,7.7,10937500,0.0000,1.0
2023-05-15,7.77,7.81,7.67,7.77,7.77,7275800,0.0000,1.0
2023-05-12,7.86,7.86,7.75,7.77,7.77,15254300,0.0000,1.0
2023-05-11,7.9,7.94,7.73,7.87,7.87,16589500,0.0000,1.0
2023-05-10,7.87,8.07,7.87,7.95,7.95,16388000,0.0000,1.0
2023-05-09,7.7,7.92,7.64,7.86,7.86,12398100,0.0000,1.0
2023-05-08,7.88,7.9,7.69,7.74,7.74,12697200,0.0000,1.0
2023-05-06,7.98,7.99,7.77,7.85,7.85,16223100,0.0000,1.0
2023-05-05,7.98,7.99,7.77,7.85,7.85,16223100,0.0000,1.0
2023-05-04,7.89,7.96,7.75,7.95,7.95,14598800,0.0000,1.0
2023-05-03,8.02,8.05,7.81,7.87,7.87,18547200,0.0000,1.0
2023-05-02,7.98,8.04,7.91,8.02,8.02,21893400,0.0000,1.0
2023-04-29,7.99,8.02,7.84,8.02,8.02,14288300,0.0000,1.0
2023-04-28,7.99,8.02,7.84,8.02,8.02,14288300,0.0000,1.0
2023-04-27,7.85,8.02,7.81,7.94,7.94,11920100,0.0000,1.0
2023-04-26,7.96,8.12,7.75,7.85,7.85,16293300,0.0000,1.0
2023-04-25,7.86,7.88,7.7,7.84,7.84,16233100,0.0000,1.0
2023-04-24,7.75,7.88,7.71,7.8,7.8,11142100,0.0000,1.0
2023-04-20,7.73,7.77,7.63,7.77,7.77,8499100,0.0000,1.0
2023-04-19,7.66,7.81,7.63,7.66,7.66,11460000,0.0000,1.0
2023-04-18,7.78,7.78,7.6,7.68,7.68,10246100,0.0000,1.0
2023-04-17,7.87,7.9,7.65,7.76,7.76,8953300,0.0000,1.0
2023-04-14,7.8,7.93,7.73,7.87,7.87,15151300,0.0000,1.0
2023-04-13,7.65,7.9,7.61,7.83,7.83,20529100,0.0000,1.0
2023-04-12,7.44,7.72,7.38,7.63,7.63,22820100,0.0000,1.0
