timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,11.14,11.15,10.81,10.93,10.93,7178300,0.0000,1.0
2023-06-20,11.16,11.25,10.98,11.17,11.17,7714700,0.0000,1.0
2023-06-19,10.81,11.1,10.68,11.08,11.08,8398700,0.0000,1.0
2023-06-16,11.54,11.55,10.79,10.79,10.79,19445600,0.0000,1.0
2023-06-15,11.72,11.77,11.52,11.62,11.5351,6893800,0.0000,1.0
2023-06-14,11.52,11.85,11.41,11.72,11.6343,7849200,0.0000,1.0
2023-06-13,11.67,11.99,11.46,11.49,11.406,8296000,0.0000,1.0
2023-06-12,11.35,11.73,11.29,11.61,11.5251,5184200,0.0000,1.0
2023-06-09,11.37,11.78,11.24,11.28,11.28,11445300,0.0000,1.0
2023-06-07,11.11,11.75,11.11,11.36,11.36,30997500,0.0000,1.0
2023-06-06,9.99,11.12,9.89,10.98,10.98,13517200,0.0000,1.0
2023-06-05,10.06,10.06,9.77,9.9,9.9,5290400,0.0000,1.0
2023-06-02,9.82,10.07,9.75,10.05,10.05,7766000,0.0000,1.0
2023-06-01,9.5,9.86,9.39,9.71,9.71,9704100,0.0000,1.0
2023-05-31,9.59,9.62,9.39,9.47,9.47,15951900,0.0000,1.0
2023-05-30,9.93,10.0,9.5,9.6,9.6,10286900,0.0000,1.0
2023-05-29,9.84,9.87,9.73,9.82,9.82,2722200,0.0000,1.0
2023-05-26,9.97,9.97,9.66,9.8,9.8,7984800,0.0000,1.0
2023-05-25,9.94,10.03,9.79,9.84,9.84,5283900,0.0000,1.0
2023-05-24,9.8,10.01,9.67,9.74,9.74,5656200,0.0000,1.0
2023-05-23,10.06,10.25,9.84,9.88,9.88,6677100,0.0000,1.0
2023-05-22,10.15,10.29,10.02,10.1,10.1,4484600,0.0000,1.0
2023-05-19,9.9,10.24,9.7,10.1,10.1,11073600,0.0000,1.0
2023-05-18,9.87,10.04,9.69,9.91,9.91,10186600,0.0000,1.0
2023-05-17,9.88,10.05,9.65,9.88,9.88,8860900,0.0000,1.0
2023-05-16,10.15,10.19,9.61,9.64,9.64,13169000,0.0000,1.0
2023-05-15,9.97,10.15,9.84,10.14,10.14,5541200,0.0000,1.0
2023-05-12,9.78,10.12,9.75,9.95,9.95,10375300,0.0000,1.0
2023-05-11,9.67,9.91,9.59,9.81,9.81,9376500,0.0000,1.0
2023-05-10,9.6,9.93,9.48,9.78,9.78,13234800,0.0000,1.0
2023-05-09,9.2,9.7,9.17,9.61,9.61,16798500,0.0000,1.0
2023-05-08,8.89,9.53,8.86,9.46,9.46,25160000,0.0000,1.0
2023-05-06,9.03,9.11,8.8,8.82,8.82,16640300,0.0000,1.0
2023-05-05,9.03,9.11,8.8,8.82,8.82,16640300,0.0000,1.0
2023-05-04,9.58,9.62,8.9,9.0,9.0,26172800,0.0000,1.0
2023-05-03,10.11,10.64,9.32,9.46,9.46,47270000,0.0000,1.0
2023-05-02,10.75,10.75,10.28,10.44,10.44,5751200,0.0000,1.0
2023-04-29,10.44,10.78,10.17,10.75,10.75,6974000,0.0000,1.0
2023-04-28,10.44,10.75,10.17,10.75,10.75,6974000,0.0000,1.0
2023-04-27,10.48,10.53,10.26,10.48,10.48,4557900,0.0000,1.0
2023-04-26,10.52,10.68,10.4,10.49,10.49,7327900,0.0000,1.0
2023-04-25,10.71,10.79,10.2,10.6,10.6,21373800,0.0000,1.0
2023-04-24,10.46,10.7,10.37,10.67,10.67,7443100,0.0000,1.0
2023-04-20,10.02,10.62,10.02,10.5,10.5,12176600,0.0000,1.0
2023-04-19,10.81,10.86,10.04,10.07,10.07,15756900,0.0000,1.0
2023-04-18,11.13,11.17,10.73,10.99,10.99,6970100,0.0000,1.0
2023-04-17,11.01,11.33,10.86,11.06,11.06,10108800,0.0000,1.0
2023-04-14,11.34,11.36,10.96,11.0,11.0,6277600,0.0000,1.0
2023-04-13,11.6,11.68,11.4,11.42,11.3571,4275300,0.0629,1.0
2023-04-12,11.99,11.99,11.47,11.53,11.4665,11703900,0.0000,1.0
2023-04-11,11.53,12.06,11.43,11.96,11.8942,5200600,0.0000,1.0
2023-04-10,11.38,11.48,11.26,11.31,11.2478,2452500,0.0000,1.0
2023-04-06,11.45,11.55,11.3,11.37,11.308,3645000,0.0000,1.0
2023-04-05,11.98,12.02,11.42,11.47,11.4075,4472800,0.0000,1.0
2023-04-04,12.22,12.26,11.93,11.95,11.8849,4213900,0.0000,1.0
2023-04-03,12.4,12.42,12.06,12.23,12.1633,4518000,0.0000,1.0
2023-03-31,12.68,12.84,12.38,12.39,12.3225,10417900,0.0000,1.0
2023-03-30,12.18,12.76,12.05,12.62,12.5512,25082100,0.0000,1.0
2023-03-29,11.99,12.03,11.77,12.01,11.9445,8875100,0.0000,1.0
2023-03-28,11.41,11.96,11.4,11.88,11.8152,6969300,0.0000,1.0
2023-03-27,11.52,11.64,11.41,11.46,11.3975,8319700,0.0000,1.0
2023-03-24,11.33,11.52,11.25,11.46,11.3975,4467100,0.0000,1.0
2023-03-23,11.52,11.73,11.03,11.35,11.2881,7341900,0.0000,1.0
2023-03-22,11.66,11.78,11.25,11.52,11.4572,12246100,0.0000,1.0
2023-03-21,12.15,12.15,11.58,11.64,11.5766,14046000,0.0000,1.0
2023-03-20,12.21,12.38,11.99,12.15,12.0838,4063000,0.0000,1.0
2023-03-17,12.35,12.38,12.04,12.21,12.1434,7914800,0.0000,1.0
2023-03-16,12.53,12.62,12.1,12.4,12.3324,10293100,0.0000,1.0
2023-03-15,12.75,12.79,12.45,12.56,12.4915,7363800,0.0000,1.0
2023-03-14,12.95,13.09,12.73,12.88,12.8098,5875900,0.0000,1.0
2023-03-13,12.52,12.91,12.35,12.87,12.7998,4203400,0.0000,1.0
2023-03-10,12.73,12.86,12.52,12.6,12.5313,4904400,0.0000,1.0
2023-03-09,13.13,13.38,12.74,12.79,12.7203,6828500,0.0000,1.0
2023-03-08,12.64,13.25,12.63,13.13,13.0584,8312100,0.0000,1.0
2023-03-07,12.96,13.0,12.57,12.65,12.581,6646000,0.0000,1.0
2023-03-06,12.95,13.06,12.65,12.97,12.8993,3118700,0.0000,1.0
2023-03-03,12.83,13.22,12.75,12.85,12.78,8861700,0.0000,1.0
2023-03-02,12.87,13.24,12.63,12.76,12.6904,18147700,0.0000,1.0
2023-03-01,13.47,13.55,12.84,12.88,12.8098,9591500,0.0000,1.0
2023-02-28,14.3,14.3,13.45,13.45,13.3767,8752800,0.0000,1.0
2023-02-27,14.23,14.23,13.97,14.23,14.1524,3669900,0.0000,1.0
2023-02-24,14.26,14.44,14.0,14.15,14.0729,4420000,0.0000,1.0
2023-02-23,14.7,14.74,14.14,14.26,14.1823,6360800,0.0000,1.0
2023-02-22,14.86,15.05,14.52,14.62,14.5403,5267600,0.0000,1.0
2023-02-17,14.82,15.12,14.73,15.04,14.958,3444500,0.0000,1.0
2023-02-16,15.13,15.19,14.77,14.97,14.8884,7158700,0.0000,1.0
2023-02-15,14.49,15.23,14.32,15.16,15.0774,6690000,0.0000,1.0
2023-02-14,14.02,14.73,13.91,14.45,14.3712,7961600,0.0000,1.0
2023-02-13,14.16,14.2,13.58,14.04,13.9635,8145300,0.0000,1.0
2023-02-10,13.91,14.43,13.75,14.22,14.1425,5238400,0.0000,1.0
2023-02-09,14.55,14.65,13.83,13.89,13.8143,9751100,0.0000,1.0
2023-02-08,15.11,15.13,14.54,14.59,14.5105,6513200,0.0000,1.0
2023-02-07,15.28,15.28,14.8,15.0,14.9182,5180800,0.0000,1.0
2023-02-06,15.5,15.58,15.11,15.27,15.1868,5457700,0.0000,1.0
2023-02-03,16.3,16.3,15.49,15.58,15.4951,4769800,0.0000,1.0
2023-02-02,16.15,16.62,16.12,16.32,16.231,4450500,0.0000,1.0
2023-02-01,16.4,16.65,16.17,16.29,16.2012,5805900,0.0000,1.0
2023-01-31,16.29,16.54,16.22,16.45,16.3603,4620800,0.0000,1.0
2023-01-30,15.94,16.41,15.86,16.24,16.1515,4331500,0.0000,1.0
2023-01-27,16.05,16.08,15.74,15.91,15.8233,3571200,0.0000,1.0
2023-01-26,16.33,16.49,16.08,16.1,16.0122,5387800,0.0000,1.0
2023-01-25,16.13,16.49,15.86,16.28,16.1913,3035300,0.0000,1.0
2023-01-24,15.61,16.53,15.61,16.14,16.052,14929200,0.0000,1.0
2023-01-23,14.93,15.6,14.52,15.54,15.4553,8758500,0.0000,1.0
2023-01-20,15.0,15.06,14.6,14.71,14.6298,5137900,0.0000,1.0
2023-01-19,15.18,15.46,14.88,15.01,14.9282,5874700,0.0000,1.0
2023-01-18,15.46,15.82,15.13,15.35,15.2663,8010100,0.0000,1.0
2023-01-17,15.47,15.71,15.17,15.23,15.147,10408500,0.0000,1.0
2023-01-16,14.65,15.41,14.53,15.41,15.326,5192200,0.0000,1.0
2023-01-13,14.24,14.77,14.16,14.76,14.6795,5571400,0.0000,1.0
2023-01-12,14.47,14.64,14.14,14.4,14.3215,6019000,0.0000,1.0
2023-01-11,14.69,14.86,14.22,14.53,14.4508,8185400,0.0000,1.0
2023-01-10,14.54,14.82,14.32,14.7,14.6199,10330100,0.0000,1.0
2023-01-09,14.7,15.0,14.57,14.62,14.5403,3332500,0.0000,1.0
2023-01-06,14.68,15.21,14.62,14.79,14.7094,3962100,0.0000,1.0
