timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,20.71,20.87,20.37,20.87,20.87,1696300,0.0000,1.0
2023-06-20,20.27,20.89,20.2,20.71,20.71,1680900,0.0000,1.0
2023-06-19,20.25,20.49,20.05,20.35,20.35,735900,0.0000,1.0
2023-06-16,20.31,20.4,20.12,20.16,20.16,1876600,0.0000,1.0
2023-06-15,20.4,20.61,20.15,20.42,20.42,1092900,0.0000,1.0
2023-06-14,19.64,20.68,19.6,20.46,20.46,3548200,0.0000,1.0
2023-06-13,20.4,20.41,19.31,19.6,19.6,2379100,0.0000,1.0
2023-06-12,20.24,20.52,20.0,20.42,20.42,1537700,0.0000,1.0
2023-06-09,19.92,20.42,19.91,20.32,20.32,1332500,0.0000,1.0
2023-06-07,20.25,20.53,19.89,19.91,19.91,2171100,0.0000,1.0
2023-06-06,20.12,20.47,19.96,20.3,20.3,2918300,0.0000,1.0
2023-06-05,20.15,20.44,19.82,19.99,19.99,1918300,0.0000,1.0
2023-06-02,20.27,20.65,20.13,20.18,20.18,2327100,0.0000,1.0
2023-06-01,20.0,20.2,19.66,20.09,20.09,1433400,0.0000,1.0
2023-05-31,20.02,20.02,19.72,19.94,19.94,1993300,0.0000,1.0
2023-05-30,20.05,20.38,19.95,20.03,20.03,1418600,0.0000,1.0
2023-05-29,20.13,20.3,20.0,20.1,20.1,1292400,0.0000,1.0
2023-05-26,20.0,20.38,19.98,20.23,20.23,1766500,0.0000,1.0
2023-05-25,19.9,20.18,19.6,19.99,19.99,3144600,0.0000,1.0
2023-05-24,19.61,19.83,19.3,19.72,19.72,2256800,0.0000,1.0
2023-05-23,19.95,19.95,19.5,19.61,19.61,1624100,0.0000,1.0
2023-05-22,19.74,19.95,19.5,19.81,19.81,1638000,0.0000,1.0
2023-05-19,19.69,19.98,19.5,19.8,19.8,1720500,0.0000,1.0
2023-05-18,19.51,19.78,19.2,19.65,19.65,1980200,0.0000,1.0
2023-05-17,19.75,19.97,19.45,19.57,19.57,1422600,0.0000,1.0
2023-05-16,19.65,19.96,19.56,19.59,19.59,1758400,0.0000,1.0
2023-05-15,18.65,19.72,18.54,19.6,19.6,3801400,0.0000,1.0
2023-05-12,18.3,18.78,18.29,18.65,18.65,1425300,0.0000,1.0
2023-05-11,18.17,18.85,17.91,18.48,18.48,3581600,0.0000,1.0
2023-05-10,17.8,18.3,17.7,18.3,18.3,2834600,0.0000,1.0
2023-05-09,17.75,17.89,17.58,17.8,17.8,2244000,0.0000,1.0
2023-05-08,17.98,18.05,17.72,17.78,17.78,1707600,0.0000,1.0
2023-05-06,17.99,18.04,17.66,17.98,17.98,1366500,0.0000,1.0
2023-05-05,17.99,18.04,17.66,17.98,17.98,1366500,0.0000,1.0
2023-05-04,17.06,18.07,17.05,17.92,17.92,3053800,0.0000,1.0
2023-05-03,17.19,17.52,16.97,17.26,17.26,2329100,0.0000,1.0
2023-05-02,17.04,17.17,16.72,17.08,17.08,2048100,0.0000,1.0
2023-04-29,16.91,17.15,16.52,17.04,17.04,2515900,0.0000,1.0
2023-04-28,16.91,17.15,16.52,17.04,17.04,2515900,0.0000,1.0
2023-04-27,16.45,17.08,16.35,16.94,16.94,2870400,0.0000,1.0
2023-04-26,16.28,16.58,16.24,16.5,16.5,1205900,0.0000,1.0
2023-04-25,16.41,16.44,15.96,16.39,16.39,1638500,0.0000,1.0
2023-04-24,16.3,16.53,16.3,16.4,16.4,888800,0.0000,1.0
2023-04-20,16.5,16.53,16.31,16.47,16.47,1567800,0.0000,1.0
2023-04-19,16.47,16.63,16.26,16.43,16.43,1894200,0.0000,1.0
2023-04-18,16.87,17.25,16.46,16.59,16.59,2703300,0.0000,1.0
2023-04-17,16.3,16.75,16.2,16.7,16.7,2427600,0.0000,1.0
2023-04-14,16.79,16.79,16.11,16.28,16.28,1566400,0.0000,1.0
2023-04-13,16.28,16.86,16.23,16.85,16.85,3058700,0.0000,1.0
2023-04-12,16.43,16.49,16.12,16.25,16.25,2147900,0.0000,1.0
2023-04-11,16.76,17.05,16.36,16.57,16.57,2420100,0.0000,1.0
2023-04-10,16.56,16.88,16.35,16.75,16.75,2234400,0.0000,1.0
2023-04-06,16.21,16.61,16.2,16.56,16.56,2319200,0.0000,1.0
2023-04-05,16.49,16.51,15.96,16.21,16.21,2070700,0.0000,1.0
2023-04-04,16.09,16.79,16.07,16.64,16.64,2201500,0.0000,1.0
2023-04-03,15.84,16.17,15.62,16.09,16.09,2609800,0.0000,1.0
2023-03-31,15.84,15.84,15.48,15.73,15.73,1696600,0.0000,1.0
2023-03-30,15.61,15.88,15.57,15.88,15.88,2259700,0.0000,1.0
2023-03-29,15.69,15.69,15.18,15.52,15.52,2728700,0.0000,1.0
2023-03-28,15.84,15.97,15.4,15.56,15.56,3428500,0.0000,1.0
2023-03-27,15.67,15.99,15.56,15.84,15.84,1653300,0.0000,1.0
2023-03-24,15.18,15.65,14.83,15.61,15.61,2541000,0.0000,1.0
2023-03-23,15.06,15.71,15.02,15.17,15.17,3706200,0.0000,1.0
2023-03-22,15.47,16.27,15.42,16.06,15.0659,5622300,0.9941,1.0
2023-03-21,15.58,15.58,15.08,15.27,14.3248,5111000,0.0000,1.0
2023-03-20,16.14,16.27,15.35,15.48,14.5218,2287000,0.0000,1.0
2023-03-17,15.8,16.6,15.74,15.76,14.734,12738500,0.0000,1.0
2023-03-16,16.36,16.36,15.93,15.95,14.9116,1869400,0.0000,1.0
2023-03-15,15.77,16.45,15.77,16.29,15.2295,4766500,0.0000,1.0
2023-03-14,15.62,16.19,15.62,16.08,15.0331,2212400,0.0000,1.0
2023-03-13,14.89,15.87,14.88,15.62,14.6031,4010600,0.0000,1.0
2023-03-10,15.08,15.15,14.7,15.05,14.0702,2321200,0.0000,1.0
2023-03-09,15.17,15.25,14.78,15.08,14.0982,2584600,0.0000,1.0
2023-03-08,14.97,15.19,14.87,15.19,14.2011,1258900,0.0000,1.0
2023-03-07,14.88,15.0,14.74,14.97,13.9954,1491800,0.0000,1.0
2023-03-06,14.77,14.91,14.66,14.85,13.8832,1126500,0.0000,1.0
2023-03-03,15.01,15.07,14.71,14.79,13.8271,969100,0.0000,1.0
2023-03-02,15.07,15.17,14.91,14.95,13.9767,911800,0.0000,1.0
2023-03-01,14.81,15.45,14.74,15.07,14.0889,4624900,0.0000,1.0
2023-02-28,15.01,15.01,14.22,14.22,13.2942,3793900,0.0000,1.0
2023-02-27,14.89,15.49,14.85,14.92,13.9487,2239400,0.0000,1.0
2023-02-24,14.4,14.84,14.3,14.81,13.8458,2774900,0.0000,1.0
2023-02-23,14.68,14.68,14.18,14.4,13.4625,3220000,0.0000,1.0
2023-02-22,14.56,14.78,14.31,14.7,13.743,923900,0.0000,1.0
2023-02-17,14.48,14.77,14.26,14.66,13.7056,1416200,0.0000,1.0
2023-02-16,14.51,14.58,14.22,14.52,13.5747,859400,0.0000,1.0
2023-02-15,14.5,14.72,14.35,14.55,13.6027,755200,0.0000,1.0
