timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,13.21,13.49,13.01,13.42,13.42,13179200,0.0000,1.0
2023-06-15,13.07,13.28,12.96,13.22,13.22,6726100,0.0000,1.0
2023-06-14,12.84,13.16,12.75,13.07,13.07,12372900,0.0000,1.0
2023-06-13,12.85,12.98,12.53,12.6,12.6,8358400,0.0000,1.0
2023-06-12,12.72,12.74,12.41,12.67,12.67,11332500,0.0000,1.0
2023-06-09,13.17,13.27,12.99,13.02,13.02,9199300,0.0000,1.0
2023-06-07,13.18,13.18,12.73,12.91,12.91,15459400,0.0000,1.0
2023-06-06,12.94,13.28,12.92,13.21,13.21,10286400,0.0000,1.0
2023-06-05,12.94,13.11,12.7,12.94,12.94,8388300,0.0000,1.0
2023-06-02,12.63,12.94,12.6,12.82,12.82,17029400,0.0000,1.0
2023-06-01,12.37,12.42,12.06,12.22,12.22,9850500,0.0000,1.0
2023-05-31,11.94,12.21,11.82,12.15,12.15,9663000,0.0000,1.0
2023-05-30,12.57,12.58,12.0,12.0,12.0,11157800,0.0000,1.0
2023-05-29,12.67,12.77,12.47,12.47,12.47,5186400,0.0000,1.0
2023-05-26,12.71,12.79,12.42,12.49,12.49,8636400,0.0000,1.0
2023-05-25,12.6,12.64,12.3,12.32,12.32,11088900,0.0000,1.0
2023-05-24,12.84,12.94,12.59,12.61,12.61,8456600,0.0000,1.0
2023-05-23,13.23,13.38,13.11,13.11,13.11,5883800,0.0000,1.0
2023-05-22,13.35,13.53,13.22,13.4,13.4,6359300,0.0000,1.0
2023-05-19,13.43,13.65,13.28,13.4,13.4,9692500,0.0000,1.0
2023-05-18,13.21,13.4,13.12,13.32,13.32,7121300,0.0000,1.0
2023-05-17,13.0,13.39,12.92,13.24,13.24,9780800,0.0000,1.0
2023-05-16,12.96,13.17,12.67,12.69,12.69,5553500,0.0000,1.0
2023-05-15,13.0,13.12,12.83,13.0,13.0,6105200,0.0000,1.0
2023-05-12,12.76,12.85,12.66,12.76,12.76,6180800,0.0000,1.0
2023-05-11,12.81,12.87,12.62,12.81,12.81,7215700,0.0000,1.0
2023-05-10,13.3,13.42,12.88,13.01,13.01,9701600,0.0000,1.0
2023-05-09,13.13,13.49,12.97,13.26,13.26,5880000,0.0000,1.0
2023-05-08,13.39,13.43,13.07,13.24,13.24,7006100,0.0000,1.0
2023-05-05,12.19,12.96,12.14,12.91,12.91,12167000,0.0000,1.0
2023-05-04,12.8,12.86,12.06,12.06,12.06,14229200,0.0000,1.0
2023-05-03,12.87,12.94,12.45,12.86,12.86,8041300,0.0000,1.0
2023-05-02,13.1,13.24,12.67,12.72,12.72,7446800,0.0000,1.0
2023-04-28,13.81,14.21,13.53,14.21,14.21,9670100,1.2171,1.0
2023-04-27,13.48,14.03,13.46,13.84,12.6229,5135300,0.0000,1.0
2023-04-26,13.87,13.89,13.55,13.56,12.3675,4631800,0.0000,1.0
2023-04-25,13.9,14.0,13.44,13.69,12.4861,8232200,0.0000,1.0
2023-04-24,14.0,14.24,13.95,14.05,12.8144,6690200,0.0000,1.0
2023-04-20,14.41,14.72,14.39,14.53,13.2522,7092200,0.0000,1.0
2023-04-19,14.65,14.7,14.41,14.6,13.3161,4962800,0.0000,1.0
2023-04-18,15.0,15.09,14.8,14.96,13.6444,5643600,0.0000,1.0
2023-04-17,14.57,14.87,14.51,14.68,13.389,8747700,0.0000,1.0
2023-04-14,15.07,15.07,14.38,14.49,13.2157,17657500,0.0000,1.0
2023-04-13,15.99,16.03,15.49,15.64,14.2646,10828800,0.0000,1.0
2023-04-12,16.14,16.41,16.0,16.03,14.6203,7704800,0.0000,1.0
2023-04-11,15.53,16.34,15.5,16.17,14.748,13018400,0.0000,1.0
2023-04-10,14.68,15.29,14.63,15.12,13.7903,5290000,0.0000,1.0
2023-04-06,14.61,14.99,14.51,14.57,13.2887,4205800,0.0000,1.0
2023-04-05,14.85,14.9,14.35,14.7,13.4073,8880800,0.0000,1.0
2023-04-04,15.07,15.26,14.76,14.87,13.5623,6645100,0.0000,1.0
2023-04-03,15.32,15.4,14.72,15.1,13.7721,7333400,0.0000,1.0
2023-03-31,15.7,15.93,15.27,15.44,14.0822,7108100,0.0000,1.0
2023-03-30,15.09,15.65,14.96,15.52,14.1551,8845600,0.0000,1.0
2023-03-29,14.58,14.9,14.52,14.72,13.4255,8011800,0.0000,1.0
2023-03-28,13.91,14.53,13.85,14.42,13.1519,8796000,0.0000,1.0
2023-03-27,14.09,14.15,13.77,13.85,12.632,4762200,0.0000,1.0
2023-03-24,13.76,13.83,13.52,13.77,12.559,10432800,0.0000,1.0
2023-03-23,14.22,14.39,13.58,13.79,12.5773,6955900,0.0000,1.0
2023-03-22,14.12,14.52,13.91,14.24,12.9877,5707700,0.0000,1.0
2023-03-21,14.26,14.36,14.06,14.15,12.9056,9877100,0.0000,1.0
2023-03-20,14.49,14.63,14.18,14.33,13.0698,8203600,0.0000,1.0
2023-03-17,14.78,15.02,14.21,14.6,13.3161,19673600,0.0000,1.0
2023-03-16,14.79,15.19,14.75,14.78,13.4802,15526100,0.0000,1.0
2023-03-15,15.29,15.33,14.53,14.77,13.4711,18390100,0.0000,1.0
2023-03-14,16.17,16.29,15.6,15.72,14.3376,8456100,0.0000,1.0
2023-03-13,15.7,16.4,15.6,16.06,14.6477,9597000,0.0000,1.0
2023-03-10,16.48,16.82,15.83,15.92,14.52,11084200,0.0000,1.0
2023-03-09,17.73,17.9,16.47,16.54,15.0854,22156199,0.0000,1.0
2023-03-08,17.42,18.04,17.21,17.99,16.4079,10531700,0.0000,1.0
2023-03-07,17.66,18.05,17.12,17.3,15.7786,7819100,0.0000,1.0
2023-03-06,17.89,17.95,17.25,17.54,15.9975,9128300,0.0000,1.0
2023-03-03,17.9,18.52,17.85,18.24,16.6359,8307600,0.0000,1.0
2023-03-02,17.94,18.06,17.65,17.77,16.2073,6129500,0.0000,1.0
2023-03-01,17.09,17.97,17.02,17.94,16.3623,14004600,0.0000,1.0
2023-02-28,16.71,16.99,16.6,16.67,15.204,9603600,0.0000,1.0
2023-02-27,16.43,16.93,16.39,16.73,15.2587,7336600,0.0000,1.0
2023-02-24,17.26,17.39,16.44,16.52,15.0672,8916900,0.0000,1.0
2023-02-23,17.38,17.75,16.98,17.43,15.8972,5571600,0.0000,1.0
2023-02-22,17.3,17.69,17.09,17.35,15.8242,4928600,0.0000,1.0
2023-02-17,17.96,18.03,17.36,17.4,15.8698,5956700,0.0000,1.0
2023-02-16,17.76,18.2,17.67,17.96,16.3806,7166000,0.0000,1.0
2023-02-15,17.05,17.78,17.0,17.67,16.1161,7038800,0.0000,1.0
2023-02-14,17.2,17.59,16.97,17.04,15.5415,8699400,0.0000,1.0
2023-02-13,16.91,17.02,16.53,16.99,15.4959,4470100,0.0000,1.0
2023-02-10,17.02,17.32,16.86,17.06,15.5597,4209700,0.0000,1.0
2023-02-09,17.35,17.47,16.97,17.09,15.5871,6047100,0.0000,1.0
2023-02-08,17.41,17.49,17.07,17.31,15.7877,3302500,0.0000,1.0
2023-02-07,17.26,17.51,17.07,17.29,15.7695,4288400,0.0000,1.0
2023-02-06,17.7,17.7,17.02,17.27,15.7513,7282800,0.0000,1.0
2023-02-03,17.5,18.17,17.44,17.63,16.0796,6322700,0.0000,1.0
2023-02-02,18.35,18.56,17.38,17.5,15.961,8654900,0.0000,1.0
2023-02-01,18.46,18.57,18.03,18.51,16.8822,6596700,0.0000,1.0
2023-01-31,18.26,18.64,18.16,18.5,16.8731,5910900,0.0000,1.0
2023-01-30,18.35,18.55,17.94,18.3,16.6907,6900800,0.0000,1.0
