timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,4.26,4.61,4.21,4.5,4.5,40635500,0.0000,1.0
2023-06-15,4.08,4.34,4.07,4.26,4.26,32143600,0.0000,1.0
2023-06-14,4.22,4.4,3.99,4.1,4.1,43744900,0.0000,1.0
2023-06-13,4.51,4.55,4.14,4.18,4.18,24135700,0.0000,1.0
2023-06-12,4.68,4.7,4.4,4.49,4.49,16661800,0.0000,1.0
2023-06-09,4.24,4.8,4.13,4.57,4.57,38679500,0.0000,1.0
2023-06-07,4.25,4.36,4.09,4.16,4.16,25804500,0.0000,1.0
2023-06-06,4.02,4.27,3.96,4.2,4.2,33123800,0.0000,1.0
2023-06-05,3.72,4.06,3.66,3.99,3.99,42490400,0.0000,1.0
2023-06-02,3.66,4.09,3.53,3.6,3.6,41909500,0.0000,1.0
2023-06-01,3.34,3.67,3.31,3.63,3.63,34626300,0.0000,1.0
2023-05-31,2.99,3.39,2.92,3.38,3.38,38851600,0.0000,1.0
2023-05-30,3.11,3.25,2.97,2.98,2.98,35982500,0.0000,1.0
2023-05-29,3.0,3.13,2.9,3.1,3.1,38431600,0.0000,1.0
2023-05-26,2.71,3.03,2.71,2.98,2.98,47598900,0.0000,1.0
2023-05-25,2.77,2.84,2.59,2.68,2.68,58664300,0.0000,1.0
2023-05-24,3.01,3.01,2.8,2.81,2.81,40488300,0.0000,1.0
2023-05-23,3.21,3.25,3.01,3.04,3.04,23062100,0.0000,1.0
2023-05-22,3.06,3.26,3.03,3.2,3.2,26541400,0.0000,1.0
2023-05-19,3.11,3.23,3.05,3.05,3.05,25372400,0.0000,1.0
2023-05-18,2.99,3.11,2.97,3.09,3.09,18894600,0.0000,1.0
2023-05-17,2.95,3.02,2.94,3.0,3.0,23631600,0.0000,1.0
2023-05-16,3.13,3.15,2.92,2.94,2.94,15683500,0.0000,1.0
2023-05-15,3.27,3.28,3.1,3.15,3.15,15239800,0.0000,1.0
2023-05-12,3.33,3.35,3.24,3.27,3.27,9701500,0.0000,1.0
2023-05-11,3.18,3.37,3.16,3.36,3.36,14760700,0.0000,1.0
2023-05-10,3.14,3.27,3.02,3.23,3.23,36462100,0.0000,1.0
2023-05-09,3.05,3.23,3.04,3.19,3.19,21019200,0.0000,1.0
