timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,19.3,19.9,19.3,19.84,19.84,9119400,0.0000,1.0
2023-06-20,19.4,19.45,19.09,19.29,19.29,5605500,0.0000,1.0
2023-06-19,18.93,19.56,18.93,19.43,19.43,3753800,0.0000,1.0
2023-06-16,19.34,19.54,19.05,19.05,19.05,7079100,0.0000,1.0
2023-06-15,19.21,19.69,19.17,19.44,19.44,7005800,0.0000,1.0
2023-06-14,18.85,19.21,18.79,19.19,19.19,6863200,0.0000,1.0
2023-06-13,19.19,19.28,18.7,18.81,18.81,6741800,0.0000,1.0
2023-06-12,19.39,19.58,19.09,19.12,19.12,8978500,0.0000,1.0
2023-06-09,19.75,19.98,19.36,19.39,19.39,4701200,0.0000,1.0
2023-06-07,19.6,19.82,19.34,19.58,19.58,5533000,0.0000,1.0
2023-06-06,19.13,19.69,19.11,19.47,19.47,5129000,0.0000,1.0
2023-06-05,19.2,19.31,18.9,19.13,19.13,3594300,0.0000,1.0
2023-06-02,19.35,19.53,18.99,19.2,19.2,8609200,0.0000,1.0
2023-06-01,18.81,19.1,18.71,18.95,18.95,7222600,0.0000,1.0
2023-05-31,18.4,18.96,18.28,18.68,18.68,9728800,0.0000,1.0
2023-05-30,18.88,19.15,18.44,18.55,18.55,5640600,0.0000,1.0
2023-05-29,19.0,19.03,18.62,18.79,18.79,4258300,0.0000,1.0
2023-05-26,18.98,19.06,18.69,18.81,18.81,7510100,0.0000,1.0
2023-05-25,17.94,18.82,17.93,18.71,18.71,10166200,0.0000,1.0
2023-05-24,17.35,17.86,17.23,17.62,17.62,4988900,0.0000,1.0
2023-05-23,17.35,17.85,17.32,17.48,17.48,7990900,0.0000,1.0
2023-05-22,17.13,17.68,17.1,17.39,17.39,4448700,0.0000,1.0
2023-05-19,17.22,17.61,17.07,17.15,17.15,5281400,0.0000,1.0
2023-05-18,16.68,17.2,16.6,17.1,17.1,5031800,0.0000,1.0
2023-05-17,16.79,16.89,16.48,16.75,16.75,5095200,0.0000,1.0
2023-05-16,16.68,17.06,16.52,16.61,16.61,5962000,0.0000,1.0
2023-05-15,16.58,16.85,16.45,16.7,16.7,3871200,0.0000,1.0
2023-05-12,16.5,16.88,15.74,16.49,16.49,8819900,0.0000,1.0
2023-05-11,16.35,16.82,16.15,16.67,16.67,4330200,0.0000,1.0
2023-05-10,15.97,16.5,15.97,16.41,16.41,4560500,0.0000,1.0
2023-05-09,15.9,16.31,15.84,16.03,16.03,4148200,0.0000,1.0
2023-05-08,16.1,16.46,15.9,15.98,15.98,3496900,0.0000,1.0
2023-05-06,15.66,16.11,15.61,15.97,15.97,6537100,0.0000,1.0
2023-05-05,15.66,16.11,15.61,15.97,15.97,6537100,0.0000,1.0
2023-05-04,14.97,15.7,14.97,15.54,15.54,6950800,0.0000,1.0
2023-05-03,14.75,14.97,14.55,14.9,14.9,3438700,0.0000,1.0
2023-05-02,15.31,15.37,14.75,15.21,14.6987,6386400,0.5113,1.0
2023-04-28,15.32,15.63,15.15,15.45,14.9306,8655500,0.0000,1.0
2023-04-27,14.7,15.29,14.61,15.21,14.6987,3416400,0.0000,1.0
2023-04-26,14.89,15.04,14.62,14.78,14.2832,5522600,0.0000,1.0
2023-04-25,14.95,15.04,14.69,14.88,14.3798,2703600,0.0000,1.0
2023-04-24,14.98,15.22,14.75,15.06,14.5538,2846100,0.0000,1.0
2023-04-20,14.86,15.02,14.5,14.98,14.4764,5341900,0.0000,1.0
2023-04-19,15.21,15.24,14.61,14.93,14.4281,6342800,0.0000,1.0
2023-04-18,15.71,15.8,15.12,15.41,14.892,3670800,0.0000,1.0
2023-04-17,15.57,15.75,15.36,15.65,15.1239,2715200,0.0000,1.0
2023-04-14,15.77,15.86,15.36,15.51,14.9886,5377100,0.0000,1.0
2023-04-13,15.86,16.11,15.66,15.84,15.3075,5867400,0.0000,1.0
2023-04-12,15.29,16.24,15.2,15.82,15.2882,9759200,0.0000,1.0
2023-04-11,14.24,15.46,14.22,15.24,14.7277,10275400,0.0000,1.0
2023-04-10,13.93,14.2,13.7,13.9,13.4327,4004000,0.0000,1.0
2023-04-06,13.85,14.05,13.74,13.9,13.4327,1919200,0.0000,1.0
2023-04-05,13.89,14.08,13.77,13.91,13.4424,4260500,0.0000,1.0
2023-04-04,13.65,14.05,13.56,13.91,13.4424,4215100,0.0000,1.0
2023-04-03,13.97,13.97,13.65,13.65,13.1912,4124100,0.0000,1.0
2023-03-31,14.19,14.28,13.82,14.08,13.6067,5995000,0.0000,1.0
2023-03-30,13.91,14.54,13.89,14.19,13.713,5989900,0.0000,1.0
2023-03-29,13.67,13.72,13.37,13.57,13.1138,4519300,0.0000,1.0
2023-03-28,13.55,13.78,13.29,13.57,13.1138,4741800,0.0000,1.0
2023-03-27,13.15,13.66,13.15,13.61,13.1525,4214600,0.0000,1.0
2023-03-24,13.31,13.68,13.01,13.11,12.6693,7799600,0.0000,1.0
2023-03-23,14.16,14.25,13.02,13.26,12.8143,8928300,0.0000,1.0
2023-03-22,14.18,14.65,14.07,14.13,13.655,4031200,0.0000,1.0
2023-03-21,14.32,14.39,14.06,14.21,13.7323,2283700,0.0000,1.0
2023-03-20,14.71,14.86,14.19,14.25,13.771,4981000,0.0000,1.0
2023-03-17,15.9,15.9,14.59,14.74,14.2445,14394500,0.0000,1.0
2023-03-16,15.76,16.08,15.67,15.93,15.3945,6075300,0.0000,1.0
2023-03-15,15.54,15.8,15.2,15.69,15.1626,7130000,0.0000,1.0
2023-03-14,16.15,16.46,15.63,15.7,15.1722,5269800,0.0000,1.0
2023-03-13,15.81,16.36,15.58,16.09,15.5491,3774300,0.0000,1.0
2023-03-10,16.37,16.37,15.81,15.92,15.3848,3484800,0.0000,1.0
2023-03-09,15.83,16.76,15.81,16.41,15.8584,8714600,0.0000,1.0
2023-03-08,15.37,16.04,15.15,15.96,15.4235,9278600,0.0000,1.0
2023-03-07,15.06,15.49,15.0,15.28,14.7664,9260500,0.0000,1.0
2023-03-06,14.72,15.15,14.7,15.03,14.5248,2369700,0.0000,1.0
2023-03-03,14.79,14.88,14.61,14.73,14.2348,1720800,0.0000,1.0
2023-03-02,14.87,15.19,14.61,14.79,14.2928,5313000,0.0000,1.0
2023-03-01,15.07,15.1,14.46,14.86,14.3605,4511300,0.0000,1.0
2023-02-28,15.15,15.32,14.96,14.98,14.4764,3464000,0.0000,1.0
