timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,6.94,7.02,6.9,6.99,6.99,5123600,0.0000,1.0
2023-06-15,6.94,7.1,6.86,6.99,6.99,5272700,0.0000,1.0
2023-06-14,6.73,6.92,6.68,6.85,6.85,7341100,0.0000,1.0
2023-06-13,6.95,6.96,6.62,6.7,6.7,3803400,0.0000,1.0
2023-06-12,6.9,7.0,6.85,6.91,6.91,3018500,0.0000,1.0
2023-06-09,6.92,7.0,6.81,6.91,6.91,4010900,0.0000,1.0
2023-06-07,7.1,7.12,6.82,6.91,6.91,4440100,0.0000,1.0
2023-06-06,6.99,7.06,6.94,7.05,7.05,4450300,0.0000,1.0
2023-06-05,7.01,7.02,6.88,6.94,6.94,6059700,0.0000,1.0
2023-06-02,6.79,7.1,6.75,6.95,6.95,6397500,0.0000,1.0
2023-06-01,6.31,6.68,6.24,6.66,6.66,7884600,0.0000,1.0
2023-05-31,6.38,6.47,6.25,6.4,6.4,3987600,0.0000,1.0
2023-05-30,6.42,6.5,6.35,6.4,6.4,3235600,0.0000,1.0
2023-05-29,6.36,6.52,6.36,6.43,6.43,3244100,0.0000,1.0
2023-05-26,6.63,6.66,6.33,6.39,6.39,6561100,0.0000,1.0
2023-05-25,6.72,6.79,6.54,6.55,6.55,3259600,0.0000,1.0
2023-05-24,6.5,6.63,6.45,6.56,6.56,3270200,0.0000,1.0
2023-05-23,6.7,6.78,6.51,6.52,6.52,4262200,0.0000,1.0
2023-05-22,6.92,6.97,6.65,6.73,6.73,4663500,0.0000,1.0
2023-05-19,6.81,7.03,6.72,6.87,6.87,7740600,0.0000,1.0
2023-05-18,6.84,6.88,6.68,6.76,6.76,5167800,0.0000,1.0
2023-05-17,6.67,6.83,6.63,6.83,6.83,4852300,0.0000,1.0
2023-05-16,6.66,6.85,6.58,6.64,6.64,5591000,0.0000,1.0
2023-05-15,6.42,6.65,6.37,6.62,6.62,3251900,0.0000,1.0
2023-05-12,6.64,6.67,6.31,6.41,6.41,8120100,0.0000,1.0
2023-05-11,6.75,6.79,6.57,6.62,6.62,6089000,0.0000,1.0
2023-05-10,6.87,7.15,6.73,6.77,6.77,10551500,0.0000,1.0
2023-05-09,6.47,6.66,6.44,6.6,6.6,6400600,0.0000,1.0
2023-05-08,6.53,6.72,6.46,6.46,6.46,4308700,0.0000,1.0
2023-05-06,6.41,6.57,6.35,6.5,6.5,7293200,0.0000,1.0
2023-05-05,6.41,6.57,6.35,6.5,6.5,7293200,0.0000,1.0
2023-05-04,6.15,6.47,6.12,6.39,6.39,6883500,0.0000,1.0
2023-05-03,5.93,6.12,5.86,6.07,6.07,7907100,0.0000,1.0
2023-05-02,6.2,6.29,5.84,5.87,5.87,9701800,0.0000,1.0
2023-04-29,5.97,6.19,5.9,6.17,6.17,14894200,0.0000,1.0
2023-04-28,5.97,6.19,5.9,6.17,6.17,14894200,0.0000,1.0
2023-04-27,5.76,5.95,5.71,5.93,5.93,6550000,0.0000,1.0
2023-04-26,5.82,5.98,5.76,5.77,5.77,6053800,0.0000,1.0
2023-04-25,5.9,5.92,5.75,5.82,5.82,7178500,0.0000,1.0
2023-04-24,6.0,6.03,5.89,5.94,5.94,5100000,0.0000,1.0
2023-04-20,5.94,6.18,5.81,6.05,6.05,5284500,0.0000,1.0
2023-04-19,6.0,6.01,5.84,5.91,5.91,4650700,0.0000,1.0
2023-04-18,6.22,6.3,6.04,6.05,6.05,4953700,0.0000,1.0
2023-04-17,6.12,6.19,6.0,6.16,6.16,4457000,0.0000,1.0
2023-04-14,6.28,6.28,6.05,6.11,6.11,4750800,0.0000,1.0
2023-04-13,6.4,6.54,6.29,6.3,6.3,7724500,0.0000,1.0
2023-04-12,6.0,6.52,5.95,6.42,6.42,11016700,0.0000,1.0
2023-04-11,5.63,6.05,5.61,5.97,5.97,11953700,0.0000,1.0
2023-04-10,5.47,5.84,5.47,5.58,5.58,13746400,0.0000,1.0
2023-04-06,5.38,5.52,5.31,5.44,5.44,4710800,0.0000,1.0
2023-04-05,5.06,5.39,5.02,5.36,5.36,6370900,0.0000,1.0
2023-04-04,5.05,5.29,5.05,5.08,5.08,5664000,0.0000,1.0
2023-04-03,5.21,5.21,5.01,5.04,5.04,4033900,0.0000,1.0
2023-03-31,5.1,5.26,5.05,5.18,5.18,4162500,0.0000,1.0
2023-03-30,4.96,5.2,4.96,5.11,5.11,4602700,0.0000,1.0
2023-03-29,4.92,4.94,4.8,4.89,4.89,4565500,0.0000,1.0
2023-03-28,4.79,4.92,4.76,4.87,4.87,3430300,0.0000,1.0
2023-03-27,4.9,4.96,4.78,4.79,4.79,3148300,0.0000,1.0
2023-03-24,4.71,4.9,4.66,4.87,4.87,3347800,0.0000,1.0
2023-03-23,4.83,4.93,4.63,4.67,4.67,5689900,0.0000,1.0
2023-03-22,4.78,4.97,4.72,4.81,4.81,4301800,0.0000,1.0
2023-03-21,4.85,4.94,4.77,4.81,4.81,5456500,0.0000,1.0
2023-03-20,5.17,5.21,4.82,4.85,4.85,11161700,0.0000,1.0
2023-03-17,5.0,5.63,4.99,5.16,5.16,17889200,0.0000,1.0
2023-03-16,4.55,4.79,4.51,4.74,4.74,7832800,0.0000,1.0
2023-03-15,4.54,4.68,4.47,4.55,4.55,10062600,0.0000,1.0
2023-03-14,4.67,4.72,4.55,4.61,4.61,4911200,0.0000,1.0
2023-03-13,4.47,4.62,4.4,4.61,4.61,5374500,0.0000,1.0
2023-03-10,4.63,4.67,4.46,4.5,4.5,5098200,0.0000,1.0
2023-03-09,4.5,4.82,4.46,4.64,4.64,7921600,0.0000,1.0
2023-03-08,4.12,4.51,4.09,4.5,4.5,13692000,0.0000,1.0
2023-03-07,3.99,4.15,3.99,4.1,4.1,4655600,0.0000,1.0
2023-03-06,3.94,4.04,3.88,4.02,4.02,5773400,0.0000,1.0
2023-03-03,4.03,4.04,3.93,3.93,3.93,2952900,0.0000,1.0
2023-03-02,4.09,4.11,3.99,3.99,3.99,3815200,0.0000,1.0
2023-03-01,4.1,4.16,4.02,4.08,4.08,5807000,0.0000,1.0
2023-02-28,4.05,4.15,4.03,4.1,4.1,4800900,0.0000,1.0
2023-02-27,4.15,4.24,4.05,4.05,4.05,2605200,0.0000,1.0
2023-02-24,4.15,4.24,4.03,4.14,4.14,4494800,0.0000,1.0
2023-02-23,4.1,4.16,4.04,4.15,4.15,5976500,0.0000,1.0
2023-02-22,3.98,4.11,3.89,4.11,4.11,5557200,0.0000,1.0
2023-02-17,4.16,4.17,4.04,4.07,4.07,4395000,0.0000,1.0
2023-02-16,4.01,4.18,3.94,4.17,4.17,8089300,0.0000,1.0
2023-02-15,3.9,4.11,3.81,4.06,4.06,6102100,0.0000,1.0
2023-02-14,3.94,4.02,3.82,3.9,3.9,8061000,0.0000,1.0
2023-02-13,3.88,4.01,3.81,3.9,3.9,4231700,0.0000,1.0
2023-02-10,3.91,3.98,3.83,3.87,3.87,3997400,0.0000,1.0
2023-02-09,4.07,4.07,3.9,3.95,3.95,6413300,0.0000,1.0
2023-02-08,4.02,4.1,3.92,4.07,4.07,7301600,0.0000,1.0
2023-02-07,4.15,4.17,3.93,3.97,3.97,6180900,0.0000,1.0
2023-02-06,4.28,4.33,4.11,4.14,4.14,4729700,0.0000,1.0
2023-02-03,4.56,4.57,4.26,4.28,4.28,5833600,0.0000,1.0
2023-02-02,4.52,4.81,4.51,4.57,4.57,7921500,0.0000,1.0
2023-02-01,4.56,4.59,4.46,4.54,4.54,4575600,0.0000,1.0
2023-01-31,4.46,4.6,4.42,4.54,4.54,5908000,0.0000,1.0
2023-01-30,4.53,4.57,4.41,4.46,4.46,2739500,0.0000,1.0
2023-01-27,4.6,4.62,4.49,4.51,4.51,1589000,0.0000,1.0
2023-01-26,4.6,4.65,4.53,4.6,4.6,1951600,0.0000,1.0
2023-01-25,4.55,4.68,4.51,4.58,4.58,5228100,0.0000,1.0
2023-01-24,4.57,4.61,4.47,4.57,4.57,3008600,0.0000,1.0
2023-01-23,4.47,4.66,4.47,4.55,4.55,2718700,0.0000,1.0
2023-01-20,4.56,4.56,4.45,4.48,4.48,2678700,0.0000,1.0
2023-01-19,4.52,4.63,4.47,4.57,4.57,3142500,0.0000,1.0
2023-01-18,4.46,4.78,4.45,4.6,4.6,7207600,0.0000,1.0
2023-01-17,4.29,4.41,4.26,4.38,4.38,2930200,0.0000,1.0
2023-01-16,4.45,4.49,4.24,4.28,4.28,3692600,0.0000,1.0
2023-01-13,4.61,4.64,4.46,4.47,4.47,3037400,0.0000,1.0
2023-01-12,4.84,4.89,4.67,4.67,4.67,5185000,0.0000,1.0
2023-01-11,4.73,4.86,4.66,4.86,4.86,3787800,0.0000,1.0
2023-01-10,4.39,4.75,4.37,4.73,4.73,5753700,0.0000,1.0
2023-01-09,4.44,4.59,4.36,4.47,4.47,9715700,0.0000,1.0
2023-01-06,4.25,4.49,4.2,4.49,4.49,7898200,0.0000,1.0
