timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,45.27,45.38,44.85,45.31,45.31,1409700,0.0000,1.0
2023-06-20,45.04,45.04,45.04,45.04,45.04,2104800,0.0000,1.0
2023-06-19,45.2,45.32,44.86,45.04,45.04,1521500,0.0000,1.0
2023-06-16,44.79,45.54,44.69,45.2,45.2,2889600,0.0000,1.0
2023-06-15,44.76,45.08,44.5,44.81,44.81,965100,0.0000,1.0
2023-06-14,44.01,44.84,43.8,44.78,44.78,2125400,0.0000,1.0
2023-06-13,44.3,44.45,43.87,43.99,43.99,1115100,0.0000,1.0
2023-06-12,43.9,44.28,43.84,44.15,44.15,1149100,0.0000,1.0
2023-06-09,43.42,44.16,43.42,43.92,43.92,1416000,0.0000,1.0
2023-06-07,43.68,43.87,43.17,43.29,43.29,1345700,0.0000,1.0
2023-06-06,43.05,43.63,42.78,43.58,43.58,1754700,0.0000,1.0
2023-06-05,42.95,43.18,42.76,42.86,42.86,1150800,0.0000,1.0
2023-06-02,42.67,43.14,42.52,42.92,42.92,2298200,0.0000,1.0
2023-06-01,42.15,42.46,41.82,42.31,42.31,1912900,0.0000,1.0
2023-05-31,42.69,42.96,42.03,42.03,42.03,2192500,0.0000,1.0
2023-05-30,43.2,43.39,42.69,42.74,42.74,1092200,0.0000,1.0
2023-05-29,42.63,43.36,42.26,43.02,43.02,984000,0.0000,1.0
2023-05-26,42.7,42.9,42.07,42.63,42.63,1461000,0.0000,1.0
2023-05-25,42.78,43.02,42.43,42.52,42.52,940400,0.0000,1.0
2023-05-24,42.12,42.47,41.97,42.27,42.27,1045100,0.0000,1.0
2023-05-23,42.67,42.92,42.09,42.21,42.21,2043000,0.0000,1.0
2023-05-22,42.62,43.08,42.3,42.49,42.49,1244900,0.0000,1.0
2023-05-19,42.47,42.81,42.23,42.62,42.62,1918700,0.0000,1.0
2023-05-18,42.21,42.5,41.73,42.32,42.32,2164100,0.0000,1.0
2023-05-17,43.2,43.66,42.28,42.47,42.47,1789400,0.0000,1.0
2023-05-16,44.09,44.47,43.21,43.21,43.21,2720600,0.0000,1.0
2023-05-15,43.55,44.22,43.38,43.94,43.94,1490500,0.0000,1.0
2023-05-12,42.71,43.69,42.56,43.66,43.66,2239100,0.0000,1.0
2023-05-11,42.64,43.15,42.51,43.0,43.0,1761300,0.0000,1.0
2023-05-10,42.23,42.86,42.19,42.7,42.7,1926700,0.0000,1.0
2023-05-09,41.63,42.67,41.63,42.5,42.5,2416700,0.0000,1.0
2023-05-08,43.6,43.84,43.02,43.44,41.6566,3237700,1.7834,1.0
2023-05-05,42.92,43.8,42.72,43.3,41.5223,2348300,0.0000,1.0
2023-05-04,41.93,42.86,41.85,42.61,40.855,2469400,0.0000,1.0
2023-05-03,41.2,41.93,40.9,41.72,40.0016,2284000,0.0000,1.0
2023-05-02,41.39,41.5,40.77,41.08,39.388,1805800,0.0000,1.0
2023-04-28,40.87,41.23,40.68,41.23,39.5318,1934400,0.0000,1.0
2023-04-27,40.71,40.9,40.47,40.87,39.1866,1028800,0.0000,1.0
2023-04-26,41.1,41.1,40.19,40.67,38.9949,1327800,0.0000,1.0
2023-04-25,41.1,41.12,40.7,41.12,39.4263,1852600,0.0000,1.0
2023-04-24,41.0,41.29,40.64,41.17,39.4743,1557800,0.0000,1.0
2023-04-20,40.71,41.48,40.6,41.48,39.7715,1600500,0.0000,1.0
2023-04-19,40.86,41.11,40.12,40.7,39.0236,1544000,0.0000,1.0
2023-04-18,41.26,41.26,40.85,41.02,39.3305,1002800,0.0000,1.0
2023-04-17,41.1,41.24,40.63,41.19,39.4935,1157500,0.0000,1.0
2023-04-14,40.71,41.09,40.17,41.04,39.3496,1613000,0.0000,1.0
2023-04-13,40.41,40.8,40.3,40.71,39.0332,1310400,0.0000,1.0
2023-04-12,39.84,40.64,39.8,40.33,38.6689,2216400,0.0000,1.0
2023-04-11,39.85,40.38,39.77,39.84,38.1991,2335900,0.0000,1.0
2023-04-10,40.04,40.28,39.63,39.84,38.1991,1475800,0.0000,1.0
2023-04-06,39.98,40.27,39.89,40.15,38.4963,937700,0.0000,1.0
2023-04-05,40.11,40.29,39.71,39.98,38.3333,699800,0.0000,1.0
2023-04-04,39.65,40.4,39.46,40.23,38.573,1159800,0.0000,1.0
2023-04-03,40.16,40.18,39.1,39.66,38.0265,2312000,0.0000,1.0
2023-03-31,40.41,40.85,39.74,40.17,38.5155,5932100,0.0000,1.0
2023-03-30,40.08,40.52,39.97,40.35,38.6881,2449300,0.0000,1.0
2023-03-29,40.18,40.2,39.54,39.9,38.2566,2342200,0.0000,1.0
2023-03-28,39.78,40.26,39.6,39.81,38.1703,1713900,0.0000,1.0
2023-03-27,39.97,40.11,39.63,39.79,38.1511,1512400,0.0000,1.0
2023-03-24,39.4,39.89,39.09,39.8,38.1607,1288600,0.0000,1.0
2023-03-23,39.8,39.97,39.07,39.38,37.758,1639900,0.0000,1.0
2023-03-22,39.65,40.0,39.43,39.58,37.9498,1457700,0.0000,1.0
2023-03-21,39.95,40.17,39.6,39.68,38.0457,977900,0.0000,1.0
2023-03-20,40.08,40.41,39.85,39.95,38.3045,2064400,0.0000,1.0
2023-03-17,40.8,40.81,40.0,40.0,38.3525,3615400,0.0000,1.0
2023-03-16,42.2,42.24,40.88,40.91,39.225,3116600,0.0000,1.0
2023-03-15,41.31,42.24,41.23,42.07,40.3372,2237900,0.0000,1.0
2023-03-14,41.44,41.84,41.41,41.59,39.877,1631000,0.0000,1.0
2023-03-13,40.8,41.62,40.69,41.2,39.5031,1874700,0.0000,1.0
2023-03-10,41.27,41.48,40.71,40.93,39.2442,2358700,0.0000,1.0
2023-03-09,40.3,41.59,40.3,41.3,39.5989,2634600,0.0000,1.0
2023-03-08,40.45,40.47,40.01,40.4,38.736,2247300,0.0000,1.0
2023-03-07,39.69,40.45,39.69,40.45,38.7839,2227000,0.0000,1.0
2023-03-06,39.26,39.9,39.0,39.57,37.9402,2004500,0.0000,1.0
2023-03-03,39.49,39.73,39.17,39.26,37.643,915700,0.0000,1.0
2023-03-02,39.29,40.13,39.15,39.39,37.7676,1663600,0.0000,1.0
2023-03-01,39.28,39.47,38.96,39.29,37.6717,1852000,0.0000,1.0
2023-02-28,39.1,39.75,39.03,39.28,37.6621,3919400,0.0000,1.0
2023-02-27,39.14,39.48,38.92,39.1,37.4895,1467200,0.0000,1.0
2023-02-24,39.1,39.5,38.83,39.01,37.4033,1596400,0.0000,1.0
2023-02-23,39.13,39.48,38.8,39.03,37.4224,1956700,0.0000,1.0
2023-02-22,39.38,39.47,38.88,39.14,37.5279,1363400,0.0000,1.0
2023-02-17,39.2,39.78,39.1,39.39,37.7676,2143200,0.0000,1.0
2023-02-16,38.72,39.22,38.42,39.05,37.4416,2329700,0.0000,1.0
2023-02-15,38.17,39.21,38.0,38.77,37.1731,2687300,0.0000,1.0
2023-02-14,38.61,38.69,37.92,38.1,36.5307,1891700,0.0000,1.0
2023-02-13,38.06,38.78,38.04,38.61,37.0197,1883300,0.0000,1.0
2023-02-10,37.24,38.29,37.24,38.03,36.4636,1694700,0.0000,1.0
2023-02-09,38.06,38.09,37.3,37.43,35.8883,2177400,0.0000,1.0
2023-02-08,37.55,38.2,37.43,38.06,36.4924,1730900,0.0000,1.0
2023-02-07,38.2,38.34,37.24,37.36,35.8212,2399500,0.0000,1.0
2023-02-06,37.94,38.35,37.88,38.19,36.617,1534200,0.0000,1.0
2023-02-03,38.31,38.59,37.7,37.94,36.3773,1612900,0.0000,1.0
2023-02-02,38.74,38.97,38.22,38.42,36.8376,1608000,0.0000,1.0
2023-02-01,39.19,39.51,38.61,38.88,37.2786,2821700,0.0000,1.0
2023-01-31,38.82,39.62,38.82,39.35,37.7293,2100400,0.0000,1.0
