timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,44.28,44.81,43.92,44.17,44.17,2958700,0.0000,1.0
2023-06-15,44.12,45.1,43.91,44.55,44.55,1539500,0.0000,1.0
2023-06-14,44.34,44.75,43.73,44.44,44.44,4004500,0.0000,1.0
2023-06-13,44.73,45.03,43.71,43.73,43.73,2783700,0.0000,1.0
2023-06-12,43.51,45.06,43.22,44.61,44.61,4328600,0.0000,1.0
2023-06-09,42.63,43.68,42.52,43.21,43.21,2346300,0.0000,1.0
2023-06-07,42.74,43.01,42.19,42.32,42.32,2188000,0.0000,1.0
2023-06-06,40.92,42.72,40.81,42.47,42.47,2386900,0.0000,1.0
2023-06-05,41.12,41.16,40.54,40.81,40.81,979800,0.0000,1.0
2023-06-02,40.34,40.93,40.27,40.75,40.75,2087200,0.0000,1.0
2023-06-01,39.66,40.07,38.81,39.98,39.98,4141300,0.0000,1.0
2023-05-31,38.85,39.89,38.56,39.4,39.4,3512700,0.0000,1.0
2023-05-30,39.09,39.2,38.53,38.82,38.82,2285300,0.0000,1.0
2023-05-29,39.4,39.4,38.52,38.89,38.89,1148800,0.0000,1.0
2023-05-26,40.1,40.29,38.82,39.32,39.32,1654200,0.0000,1.0
2023-05-25,39.99,40.68,39.54,39.76,39.76,2970200,0.0000,1.0
2023-05-24,39.31,39.79,38.84,38.89,38.89,1350400,0.0000,1.0
2023-05-23,39.32,40.12,39.27,39.54,39.54,1249500,0.0000,1.0
2023-05-22,39.4,39.9,39.06,39.31,39.31,2280800,0.0000,1.0
2023-05-19,38.32,39.39,37.86,39.18,39.18,2292400,0.0000,1.0
2023-05-18,38.95,39.32,38.12,38.2,38.2,5814200,0.0000,1.0
2023-05-17,39.59,40.17,38.75,38.99,38.99,5398200,0.0000,1.0
2023-05-16,39.81,40.69,39.44,39.57,39.57,1376700,0.0000,1.0
2023-05-15,39.4,40.02,39.0,39.81,39.81,3119200,0.0000,1.0
2023-05-12,39.43,39.66,38.96,39.4,39.4,3388700,0.0000,1.0
2023-05-11,38.62,40.22,38.57,39.71,39.71,3522700,0.0000,1.0
2023-05-10,38.2,39.92,38.09,39.4,39.4,5963300,0.0000,1.0
2023-05-09,36.53,38.53,36.15,38.04,38.04,4762000,0.0000,1.0
2023-05-08,37.62,37.69,35.82,36.64,36.64,6634700,0.0000,1.0
2023-05-06,36.81,37.54,36.77,37.29,37.29,5067900,0.0000,1.0
2023-05-05,36.81,37.54,36.77,37.29,37.29,5067900,0.0000,1.0
2023-05-04,36.45,37.07,36.23,36.81,36.81,2894100,0.0000,1.0
2023-05-03,36.62,36.65,35.88,35.99,35.99,2035000,0.0000,1.0
2023-05-02,37.11,37.45,36.28,36.43,36.43,3334100,0.0000,1.0
2023-04-29,37.0,37.35,36.27,36.41,36.41,3399700,0.0000,1.0
2023-04-28,37.0,37.35,36.27,36.41,36.41,3399700,0.0000,1.0
2023-04-27,37.95,38.58,37.83,38.32,36.8263,2472000,1.4936,1.0
2023-04-26,38.16,38.82,37.95,38.01,36.5284,3194400,0.0000,1.0
2023-04-25,37.91,38.75,37.87,38.17,36.6822,3062300,0.0000,1.0
2023-04-24,37.65,38.96,37.21,38.48,36.9801,6388000,0.0000,1.0
