timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,20.55,20.58,19.9,20.13,20.13,10384300,0.0000,1.0
2023-06-15,20.36,20.62,20.28,20.55,20.55,8264200,0.0000,1.0
2023-06-14,20.1,20.41,20.05,20.4,20.4,12280300,0.0000,1.0
2023-06-13,19.66,20.28,19.66,20.08,20.08,11447900,0.0000,1.0
2023-06-12,19.57,19.88,19.33,19.67,19.67,6372400,0.0000,1.0
2023-06-09,19.36,19.72,19.27,19.51,19.51,6391100,0.0000,1.0
2023-06-07,19.48,19.75,19.17,19.24,19.24,6694500,0.0000,1.0
2023-06-06,19.58,19.78,19.42,19.55,19.55,5209700,0.0000,1.0
2023-06-05,19.64,19.7,19.2,19.45,19.45,5806300,0.0000,1.0
2023-06-02,19.68,19.95,19.4,19.49,19.49,8885500,0.0000,1.0
2023-06-01,18.96,19.58,18.88,19.46,19.46,11700100,0.0000,1.0
2023-05-31,18.87,19.51,18.56,19.02,19.02,10505900,0.0000,1.0
2023-05-30,18.99,19.16,18.68,18.88,18.88,7999900,0.0000,1.0
2023-05-29,18.58,18.94,18.57,18.81,18.81,3702300,0.0000,1.0
2023-05-26,18.01,18.56,18.01,18.48,18.48,7329900,0.0000,1.0
2023-05-25,17.51,18.16,17.51,18.08,18.08,7528400,0.0000,1.0
2023-05-24,17.73,17.86,17.24,17.39,17.39,6651100,0.0000,1.0
2023-05-23,18.0,18.08,17.71,17.76,17.76,5915700,0.0000,1.0
2023-05-22,18.02,18.2,17.89,18.03,18.03,6976500,0.0000,1.0
2023-05-19,17.98,18.28,17.84,18.02,18.02,8492100,0.0000,1.0
2023-05-18,18.26,18.44,17.93,18.08,18.08,8069600,0.0000,1.0
2023-05-17,18.03,18.22,17.97,18.1,18.1,6646500,0.0000,1.0
2023-05-16,17.7,18.0,17.67,17.85,17.85,6787700,0.0000,1.0
2023-05-15,17.66,17.7,17.17,17.65,17.65,7636400,0.0000,1.0
2023-05-12,17.94,18.33,17.24,17.55,17.55,22369300,0.0000,1.0
2023-05-11,16.56,17.09,16.56,17.08,17.08,10894400,0.0000,1.0
2023-05-10,16.57,16.98,16.46,16.81,16.81,20380300,0.0000,1.0
2023-05-09,16.27,16.57,16.16,16.45,16.45,11886400,0.0000,1.0
2023-05-08,16.67,16.7,16.14,16.4,16.4,14180800,0.0000,1.0
2023-05-06,17.14,17.2,16.11,16.5,16.5,22967500,0.0000,1.0
2023-05-05,17.14,17.2,16.11,16.5,16.5,22967500,0.0000,1.0
2023-05-04,18.44,18.44,16.62,16.92,16.92,29720200,0.0000,1.0
2023-05-03,19.16,19.28,18.64,18.74,18.74,8007800,0.0000,1.0
2023-05-02,19.36,19.41,18.94,19.22,19.22,6130400,0.0000,1.0
2023-04-29,19.25,19.53,19.01,19.42,19.42,8193500,0.0000,1.0
2023-04-28,19.25,19.53,19.01,19.42,19.42,8193500,0.0000,1.0
2023-04-27,19.69,19.69,18.71,19.19,19.19,10480200,0.0000,1.0
2023-04-26,19.66,19.81,19.4,19.66,19.66,13075800,0.0000,1.0
2023-04-25,20.05,20.05,19.65,19.82,19.82,6681800,0.0000,1.0
2023-04-24,20.25,20.5,20.08,20.19,20.19,4200600,0.0000,1.0
2023-04-20,20.89,20.92,20.06,20.25,20.25,6392200,0.0000,1.0
2023-04-19,20.5,21.04,20.43,20.76,20.76,9072800,0.0000,1.0
2023-04-18,20.46,20.73,20.43,20.59,20.59,5082000,0.0000,1.0
2023-04-17,20.49,20.57,20.15,20.43,20.43,6163500,0.0000,1.0
2023-04-14,20.27,20.66,20.21,20.47,20.47,8254900,0.0000,1.0
2023-04-13,20.24,20.55,20.17,20.27,20.27,7266500,0.0000,1.0
2023-04-12,20.6,20.76,19.96,20.21,20.21,9621600,0.0000,1.0
2023-04-11,20.1,20.57,19.92,20.5,20.5,10727100,0.0000,1.0
2023-04-10,19.5,20.09,19.5,19.88,19.88,6472000,0.0000,1.0
