timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,23.48,23.53,23.47,23.51,23.51,3464700,0.0000,1.0
2023-06-20,23.45,23.45,23.45,23.45,23.45,3043900,0.0000,1.0
2023-06-19,23.45,23.48,23.44,23.45,23.45,2330000,0.0000,1.0
2023-06-16,23.43,23.47,23.43,23.45,23.45,5074700,0.0000,1.0
2023-06-15,23.44,23.47,23.43,23.43,23.43,2515300,0.0000,1.0
2023-06-14,23.44,23.48,23.42,23.44,23.44,5956700,0.0000,1.0
2023-06-13,23.39,23.43,23.38,23.41,23.41,7453100,0.0000,1.0
2023-06-12,23.38,23.48,23.38,23.39,23.39,3151800,0.0000,1.0
2023-06-09,23.35,23.43,23.34,23.38,23.38,3298600,0.0000,1.0
2023-06-07,23.33,23.38,23.32,23.35,23.35,5227600,0.0000,1.0
2023-06-06,23.31,23.38,23.28,23.33,23.33,3847100,0.0000,1.0
2023-06-05,23.29,23.34,23.28,23.34,23.34,3516700,0.0000,1.0
2023-06-02,23.27,23.33,23.26,23.29,23.29,3370000,0.0000,1.0
2023-06-01,23.16,23.33,23.16,23.27,23.27,6423900,0.0000,1.0
2023-05-31,23.01,23.07,22.94,23.0,23.0,4242400,0.0000,1.0
2023-05-30,23.05,23.09,22.89,23.01,23.01,3239100,0.0000,1.0
2023-05-29,23.0,23.09,22.92,23.03,23.03,897100,0.0000,1.0
2023-05-26,22.94,23.11,22.84,23.01,23.01,2218600,0.0000,1.0
2023-05-25,22.85,22.98,22.83,22.83,22.83,4285200,0.0000,1.0
2023-05-24,22.73,22.87,22.73,22.76,22.76,1018800,0.0000,1.0
2023-05-23,22.74,22.78,22.7,22.78,22.78,1218500,0.0000,1.0
2023-05-22,22.67,22.84,22.64,22.7,22.7,1599200,0.0000,1.0
2023-05-19,22.7,22.77,22.65,22.71,22.71,1722300,0.0000,1.0
2023-05-18,22.6,22.69,22.57,22.68,22.68,2397000,0.0000,1.0
2023-05-17,22.63,22.7,22.56,22.67,22.67,2319200,0.0000,1.0
2023-05-16,22.56,22.66,22.53,22.57,22.57,1475700,0.0000,1.0
2023-05-15,22.62,22.62,22.51,22.61,22.61,1855700,0.0000,1.0
2023-05-12,22.65,22.65,22.52,22.62,22.62,1698100,0.0000,1.0
2023-05-11,22.57,22.65,22.54,22.65,22.65,1920900,0.0000,1.0
2023-05-10,22.52,22.65,22.42,22.62,22.62,1790800,0.0000,1.0
2023-05-09,22.52,22.61,22.51,22.57,22.57,1344900,0.0000,1.0
2023-05-08,22.57,22.61,22.48,22.58,22.58,1781900,0.0000,1.0
2023-05-05,22.55,22.69,22.45,22.58,22.58,1356100,0.0000,1.0
2023-05-04,22.44,22.7,22.4,22.58,22.58,1814100,0.0000,1.0
2023-05-03,22.38,22.48,22.26,22.46,22.46,1790600,0.0000,1.0
2023-05-02,22.39,22.49,22.31,22.49,22.49,1872700,0.0000,1.0
2023-04-28,22.52,22.7,22.34,22.5,22.5,1935200,0.0000,1.0
2023-04-27,22.39,22.6,22.35,22.55,22.55,1473200,0.0000,1.0
2023-04-26,22.45,22.49,22.34,22.4,22.4,1132600,0.0000,1.0
2023-04-25,22.41,22.47,22.33,22.46,22.46,1558100,0.0000,1.0
2023-04-24,22.45,22.5,22.29,22.42,22.42,2728300,0.0000,1.0
2023-04-20,22.34,22.46,22.25,22.46,22.46,3626800,0.0000,1.0
2023-04-19,22.24,22.39,22.2,22.34,22.34,5633300,0.0000,1.0
2023-04-18,22.42,22.44,22.18,22.33,22.33,3971300,0.0000,1.0
2023-04-17,22.2,22.45,22.18,22.43,22.43,2127200,0.0000,1.0
2023-04-14,22.08,22.25,21.95,22.22,22.22,2689400,0.0000,1.0
2023-04-13,21.93,22.26,21.76,22.18,22.18,5614700,0.0000,1.0
2023-04-12,22.12,22.38,21.93,21.93,21.93,3811400,0.0000,1.0
2023-04-11,22.26,22.4,22.24,22.34,22.0706,3709200,0.2694,1.0
2023-04-10,22.23,22.36,22.1,22.26,21.9916,1853700,0.0000,1.0
2023-04-06,22.15,22.26,22.08,22.26,21.9906,2350200,0.0000,1.0
2023-04-05,22.21,22.33,22.11,22.21,21.9412,3050800,0.0000,1.0
2023-04-04,22.27,22.37,22.19,22.3,22.0301,2383600,0.0000,1.0
2023-04-03,22.25,22.37,22.24,22.35,22.0795,3938500,0.0000,1.0
2023-03-31,22.36,22.39,22.29,22.34,22.0697,2824600,0.0000,1.0
2023-03-30,22.31,22.39,22.26,22.36,22.0894,3027100,0.0000,1.0
2023-03-29,22.28,22.4,22.15,22.35,22.0795,3802600,0.0000,1.0
2023-03-28,22.07,22.29,22.07,22.29,22.0203,2905000,0.0000,1.0
2023-03-27,22.09,22.23,22.04,22.16,21.8918,4514300,0.0000,1.0
2023-03-24,21.88,22.13,21.8,22.05,21.7832,2616800,0.0000,1.0
2023-03-23,21.83,22.0,21.75,21.89,21.6251,5938200,0.0000,1.0
2023-03-22,21.73,22.0,21.62,21.83,21.5658,3259400,0.0000,1.0
