timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,6.74,6.9,6.74,6.85,6.85,1230900,0.0000,1.0
2023-06-20,6.73,6.8,6.66,6.7,6.7,780100,0.0000,1.0
2023-06-19,6.58,6.75,6.53,6.74,6.74,1194000,0.0000,1.0
2023-06-16,6.65,6.7,6.51,6.59,6.59,643900,0.0000,1.0
2023-06-15,6.5,6.73,6.5,6.64,6.64,1512000,0.0000,1.0
2023-06-14,6.45,6.62,6.4,6.57,6.57,1127200,0.0000,1.0
2023-06-13,6.77,6.77,6.38,6.44,6.44,992100,0.0000,1.0
2023-06-12,6.77,6.8,6.64,6.69,6.69,594300,0.0000,1.0
2023-06-09,6.77,6.83,6.71,6.73,6.73,852000,0.0000,1.0
2023-06-07,6.74,6.78,6.57,6.7,6.7,1326100,0.0000,1.0
2023-06-06,6.59,6.69,6.54,6.64,6.64,578100,0.0000,1.0
2023-06-05,6.45,6.56,6.42,6.53,6.53,611200,0.0000,1.0
2023-06-02,6.5,6.67,6.44,6.51,6.51,978200,0.0000,1.0
2023-06-01,6.4,6.5,6.3,6.5,6.5,1397500,0.0000,1.0
2023-05-31,6.39,6.47,6.3,6.39,6.39,815500,0.0000,1.0
2023-05-30,6.5,6.5,6.24,6.36,6.36,489600,0.0000,1.0
2023-05-29,6.58,6.62,6.34,6.45,6.45,680800,0.0000,1.0
2023-05-26,6.33,6.73,6.31,6.59,6.59,3789500,0.0000,1.0
2023-05-25,6.27,6.39,6.2,6.33,6.33,2380500,0.0000,1.0
2023-05-24,6.15,6.23,6.08,6.15,6.15,649500,0.0000,1.0
2023-05-23,6.17,6.26,6.09,6.1,6.1,658500,0.0000,1.0
2023-05-22,6.32,6.32,6.15,6.15,6.15,873400,0.0000,1.0
2023-05-19,6.15,6.43,6.13,6.32,6.32,1671300,0.0000,1.0
2023-05-18,5.85,6.15,5.83,6.15,6.15,1370500,0.0000,1.0
2023-05-17,5.75,5.88,5.68,5.83,5.83,907000,0.0000,1.0
2023-05-16,5.63,5.95,5.63,5.75,5.75,2297700,0.0000,1.0
2023-05-15,5.48,5.61,5.45,5.58,5.58,514000,0.0000,1.0
2023-05-12,5.39,5.51,5.29,5.42,5.42,589600,0.0000,1.0
2023-05-11,5.33,5.39,5.23,5.33,5.33,519300,0.0000,1.0
2023-05-10,5.28,5.32,5.18,5.25,5.25,813300,0.0000,1.0
2023-05-09,5.25,5.3,5.2,5.25,5.25,496400,0.0000,1.0
2023-05-08,5.21,5.39,5.13,5.28,5.28,670000,0.0000,1.0
2023-05-06,4.95,5.25,4.95,5.21,5.21,617000,0.0000,1.0
2023-05-05,4.95,5.25,4.95,5.21,5.21,617000,0.0000,1.0
2023-05-04,4.9,5.08,4.87,4.98,4.98,662400,0.0000,1.0
2023-05-03,4.98,5.0,4.85,4.87,4.87,664300,0.0000,1.0
2023-05-02,5.03,5.04,4.88,5.0,5.0,949700,0.0000,1.0
2023-04-29,4.91,5.1,4.85,5.05,5.05,966500,0.0000,1.0
2023-04-28,4.91,5.1,4.85,5.05,5.05,966500,0.0000,1.0
2023-04-27,4.75,4.95,4.67,4.95,4.95,1017600,0.0000,1.0
2023-04-26,4.57,4.75,4.54,4.75,4.75,873500,0.0000,1.0
2023-04-25,4.64,4.67,4.55,4.62,4.62,459500,0.0000,1.0
2023-04-24,4.63,4.7,4.6,4.63,4.63,305600,0.0000,1.0
2023-04-20,4.77,4.77,4.61,4.69,4.69,472300,0.0000,1.0
2023-04-19,5.04,5.04,4.71,4.73,4.73,1238200,0.0000,1.0
2023-04-18,5.04,5.11,4.92,5.09,5.09,951500,0.0000,1.0
2023-04-17,4.96,5.08,4.94,5.02,5.02,553800,0.0000,1.0
2023-04-14,4.8,5.04,4.78,5.01,5.01,1903700,0.0000,1.0
2023-04-13,4.65,4.83,4.63,4.76,4.76,748800,0.0000,1.0
2023-04-12,4.57,4.79,4.57,4.64,4.64,827000,0.0000,1.0
2023-04-11,4.39,4.65,4.37,4.59,4.59,1163700,0.0000,1.0
2023-04-10,4.35,4.41,4.32,4.32,4.32,288700,0.0000,1.0
2023-04-06,4.32,4.41,4.31,4.31,4.31,499200,0.0000,1.0
2023-04-05,4.37,4.42,4.26,4.35,4.35,680400,0.0000,1.0
2023-04-04,4.43,4.48,4.32,4.4,4.4,1018800,0.0000,1.0
2023-04-03,4.41,4.51,4.35,4.44,4.44,936600,0.0000,1.0
2023-03-31,4.4,4.63,4.37,4.41,4.41,1495700,0.0000,1.0
2023-03-30,4.4,4.55,4.33,4.45,4.45,2121500,0.0000,1.0
2023-03-29,4.38,4.45,4.02,4.36,4.36,3463400,0.0000,1.0
2023-03-28,4.6,4.65,4.44,4.48,4.48,897400,0.0000,1.0
2023-03-27,4.54,4.7,4.54,4.6,4.6,636900,0.0000,1.0
