timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,25.86,26.1,25.6,25.95,25.95,14526600,0.0000,1.0
2023-06-15,26.14,26.3,25.76,25.92,25.92,8417400,0.0000,1.0
2023-06-14,25.48,26.19,25.38,26.04,26.04,15359000,0.0000,1.0
2023-06-13,25.4,25.49,25.04,25.15,25.15,8588800,0.0000,1.0
2023-06-12,25.24,25.25,24.66,25.13,25.13,6071900,0.0000,1.0
2023-06-09,25.4,25.67,25.1,25.3,25.3,7420900,0.0000,1.0
2023-06-07,25.14,25.25,24.77,25.19,25.19,12564400,0.0000,1.0
2023-06-06,25.19,25.27,24.91,25.0,25.0,9765400,0.0000,1.0
2023-06-05,25.25,25.36,24.86,25.06,25.06,5643000,0.0000,1.0
2023-06-02,25.05,25.6,24.91,25.08,25.08,15738300,0.0000,1.0
2023-06-01,24.25,24.58,23.87,24.29,24.29,9845300,0.0000,1.0
2023-05-31,24.12,24.35,23.85,23.97,23.97,15610900,0.0000,1.0
2023-05-30,25.17,25.17,24.22,24.32,24.32,8773600,0.0000,1.0
2023-05-29,25.23,25.47,24.9,24.95,24.95,4585900,0.0000,1.0
2023-05-26,24.82,25.16,24.73,24.96,24.96,12150800,0.0000,1.0
2023-05-25,24.87,25.07,24.1,24.21,24.21,15008400,0.0000,1.0
2023-05-24,24.55,24.79,24.25,24.46,24.46,10211100,0.0000,1.0
2023-05-23,25.0,25.35,24.71,25.04,25.04,11888500,0.0000,1.0
2023-05-22,24.05,25.19,24.01,25.09,25.09,12785500,0.0000,1.0
2023-05-19,24.33,24.35,23.67,24.08,24.08,16929700,0.0000,1.0
2023-05-18,24.08,24.3,23.78,24.2,24.2,9235000,0.0000,1.0
2023-05-17,23.79,24.35,23.6,24.12,24.12,12187500,0.0000,1.0
2023-05-16,24.03,24.27,23.15,23.35,23.35,13432500,0.0000,1.0
2023-05-15,24.57,25.0,24.37,24.42,23.91,9404400,0.5100,1.0
2023-05-12,24.12,24.55,23.81,24.26,23.7533,12012900,0.0000,1.0
2023-05-11,24.09,24.28,23.64,24.12,23.6163,13496000,0.0000,1.0
2023-05-10,25.2,25.34,24.06,24.37,23.8577,13609600,0.0000,1.0
2023-05-09,24.9,25.36,24.46,25.16,24.6311,7213800,0.0000,1.0
2023-05-08,25.2,25.3,24.67,25.02,24.494,7383200,0.0000,1.0
2023-05-06,23.8,24.85,23.7,24.79,24.2689,12416800,0.0000,1.0
2023-05-05,23.8,24.85,23.7,24.79,24.2689,12367800,0.0000,1.0
2023-05-04,25.05,25.3,23.64,23.69,23.192,13427800,0.0000,1.0
2023-05-03,24.63,25.03,23.76,24.71,24.1905,14360100,0.0000,1.0
2023-05-02,25.02,25.31,24.16,24.43,23.9164,11093100,0.0000,1.0
2023-04-29,24.5,25.28,24.37,25.18,24.6507,9264800,0.0000,1.0
2023-04-28,24.5,25.28,24.37,25.18,24.6507,9243100,0.0000,1.0
2023-04-27,24.2,24.74,23.99,24.44,23.9262,6664400,0.0000,1.0
2023-04-26,24.4,24.68,24.08,24.17,23.6619,5889600,0.0000,1.0
2023-04-25,24.79,24.86,24.05,24.26,23.75,8394300,0.0000,1.0
2023-04-24,25.21,25.46,24.79,25.14,24.6115,7100700,0.0000,1.0
2023-04-20,25.32,26.07,25.3,25.89,25.3457,9690500,0.0000,1.0
2023-04-19,25.7,25.84,25.18,25.57,25.0325,5995300,0.0000,1.0
2023-04-18,26.26,26.37,25.73,26.05,25.5024,5078300,0.0000,1.0
