timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-02-11,67.6,69.69,66.3,66.95,61.824,33458600,1.6130,1.0
2022-02-10,66.21,67.85,64.89,66.95,61.824,4459300,0.0000,1.0
2022-02-09,66.8,67.85,65.8,66.5,61.4084,4405000,0.0000,1.0
2022-02-08,67.53,67.55,64.51,65.57,60.5496,7183400,0.0000,1.0
2022-02-07,66.06,68.05,65.75,67.7,62.5166,15724900,0.0000,1.0
2022-02-04,71.98,71.98,69.39,71.02,65.5824,4244600,0.0000,1.0
2022-02-03,70.96,72.0,69.75,71.49,66.0164,4358700,0.0000,1.0
2022-02-02,71.44,71.6,70.17,70.86,65.4346,6259500,0.0000,1.0
2022-02-01,70.91,71.87,70.01,70.8,65.3792,3436400,0.0000,1.0
2022-01-31,69.29,71.65,69.22,71.2,65.7486,6829300,0.0000,1.0
2022-01-28,68.0,70.15,67.99,69.5,64.1787,11462000,0.0000,1.0
2022-01-27,69.0,69.28,67.11,68.4,63.163,28434699,0.0000,1.0
2022-01-26,69.51,72.7,69.51,71.77,66.2749,6732900,0.0000,1.0
2022-01-25,65.84,70.18,65.05,69.3,63.9941,5161400,0.0000,1.0
2022-01-24,67.34,68.82,64.97,66.0,60.9467,7058100,0.0000,1.0
2022-01-21,65.43,68.6,65.01,67.53,62.3596,5104000,0.0000,1.0
2022-01-20,63.26,66.37,62.74,65.29,60.2911,4938400,0.0000,1.0
2022-01-19,61.88,64.0,61.32,63.74,58.8598,2910700,0.0000,1.0
2022-01-18,60.77,62.38,60.18,61.5,56.7913,2915400,0.0000,1.0
2022-01-17,60.47,63.04,59.16,61.48,56.7728,4283600,0.0000,1.0
2022-01-14,58.84,61.19,58.03,60.47,55.8401,3033300,0.0000,1.0
2022-01-13,60.5,60.81,58.68,59.52,54.9629,2593900,0.0000,1.0
2022-01-12,58.51,61.89,57.81,60.99,56.3203,5246600,0.0000,1.0
2022-01-11,55.35,59.1,55.0,58.51,54.0302,5026100,0.0000,1.0
2022-01-10,57.91,58.12,54.89,55.53,51.2784,5305900,0.0000,1.0
2022-01-07,56.77,59.9,56.77,58.16,53.707,3181300,0.0000,1.0
2022-01-06,55.12,58.39,55.06,57.53,53.1252,5757700,0.0000,1.0
2022-01-05,58.28,58.55,55.33,55.49,51.2414,5863600,0.0000,1.0
2022-01-04,59.32,59.56,56.98,58.41,53.9379,4492200,0.0000,1.0
2022-01-03,59.7,60.88,57.27,58.75,54.2518,3960200,0.0000,1.0
2021-12-30,58.05,60.39,57.98,60.35,55.7293,2428600,0.0000,1.0
2021-12-29,59.41,59.66,57.71,58.0,53.5592,2494100,0.0000,1.0
2021-12-28,61.54,61.7,58.41,59.32,54.7782,3288300,0.0000,1.0
2021-12-27,61.45,62.15,60.5,61.15,56.4681,1899000,0.0000,1.0
2021-12-23,63.84,63.84,60.95,61.45,56.7451,2325800,0.0000,1.0
2021-12-22,65.16,66.14,63.11,63.51,58.6474,2241100,0.0000,1.0
2021-12-21,64.62,66.1,64.5,65.16,60.171,2130600,0.0000,1.0
2021-12-20,64.27,65.28,63.18,64.62,59.6724,2545800,0.0000,1.0
2021-12-17,65.5,65.99,63.77,65.2,60.208,7369500,0.0000,1.0
2021-12-16,71.0,71.96,65.24,66.03,60.9744,13413800,0.0000,1.0
2021-12-15,64.04,64.71,62.33,64.0,59.0999,2679200,0.0000,1.0
2021-12-14,66.41,66.78,63.69,63.94,59.0444,6213100,0.0000,1.0
2021-12-13,64.24,67.61,63.59,65.67,60.642,6516600,0.0000,1.0
2021-12-10,65.39,65.39,63.32,63.75,58.869,3182600,0.0000,1.0
2021-12-09,63.66,64.84,62.54,63.69,58.8136,2679700,0.0000,1.0
2021-12-08,63.79,65.39,63.01,64.42,59.4877,3996900,0.0000,1.0
2021-12-07,64.82,64.98,62.56,63.4,58.5458,3139700,0.0000,1.0
2021-12-06,64.54,65.18,63.18,64.04,59.1368,2595000,0.0000,1.0
2021-12-03,61.76,66.03,61.76,64.54,59.5985,4239300,0.0000,1.0
2021-12-02,59.15,62.55,58.88,62.0,57.253,4477300,0.0000,1.0
2021-12-01,62.1,62.37,58.29,58.48,54.0025,4055200,0.0000,1.0
2021-11-30,63.98,64.4,59.07,61.46,56.7543,8047400,0.0000,1.0
2021-11-29,66.01,67.06,63.78,64.05,59.146,3280900,0.0000,1.0
2021-11-26,67.0,67.95,64.5,65.26,60.2634,4004400,0.0000,1.0
2021-11-25,69.98,70.04,67.64,68.58,63.3292,4730800,0.0000,1.0
2021-11-24,71.16,72.37,69.71,70.1,64.7328,3092600,0.0000,1.0
2021-11-23,71.15,72.5,69.36,71.81,66.3119,2004200,0.0000,1.0
2021-11-22,72.02,72.78,70.58,70.91,65.4808,2156400,0.0000,1.0
2021-11-19,71.91,75.12,71.91,72.65,67.0876,3377600,0.0000,1.0
2021-11-18,69.73,72.88,69.66,72.12,66.5982,4744600,0.0000,1.0
2021-11-17,73.06,73.16,68.89,69.5,64.1787,4174200,0.0000,1.0
2021-11-16,73.25,73.66,70.2,71.43,65.961,2552200,0.0000,1.0
2021-11-12,76.29,77.11,72.85,73.31,67.697,3686800,0.0000,1.0
2021-11-11,73.48,77.55,71.35,76.62,70.7536,5678000,0.0000,1.0
2021-11-10,74.79,75.88,73.76,74.07,68.3988,4573600,0.0000,1.0
2021-11-09,71.56,76.14,71.56,73.79,68.1403,3023200,0.0000,1.0
2021-11-08,70.14,72.76,70.14,72.1,66.5797,2078700,0.0000,1.0
2021-11-05,69.04,71.89,68.88,71.5,66.0256,3493600,0.0000,1.0
2021-11-04,68.8,70.19,67.54,68.51,63.2645,3685500,0.0000,1.0
2021-11-03,64.2,70.09,64.2,68.85,63.5785,4533900,0.0000,1.0
2021-11-01,65.5,66.38,64.0,65.72,60.6882,2453500,0.0000,1.0
2021-10-29,65.81,66.18,63.74,64.18,59.2661,4027500,0.0000,1.0
2021-10-28,65.28,67.19,64.68,64.96,59.9864,3623400,0.0000,1.0
2021-10-27,65.28,67.5,65.18,66.28,61.2053,4737100,0.0000,1.0
2021-10-26,64.25,65.63,64.02,65.29,60.2911,3802900,0.0000,1.0
2021-10-25,64.71,67.93,64.24,66.24,61.1684,3071600,0.0000,1.0
2021-10-22,64.67,68.02,61.46,65.74,60.7066,6133400,0.0000,1.0
2021-10-21,65.0,66.8,63.33,65.35,60.3465,7313900,0.0000,1.0
2021-10-20,68.57,69.18,65.67,66.06,61.0021,4414500,0.0000,1.0
2021-10-19,69.41,70.0,67.1,68.2,62.9783,3645500,0.0000,1.0
2021-10-18,71.41,72.48,70.84,71.36,65.8963,3001200,0.0000,1.0
2021-10-15,70.59,73.4,70.07,72.95,67.3646,2734300,0.0000,1.0
2021-10-14,71.71,72.12,69.96,70.73,65.3146,2547700,0.0000,1.0
2021-10-13,72.4,73.64,71.16,71.7,66.2103,2991300,0.0000,1.0
2021-10-11,71.06,73.56,69.9,72.05,66.5335,3149800,0.0000,1.0
2021-10-08,71.27,73.42,70.8,72.0,66.4873,4901000,0.0000,1.0
2021-10-07,70.01,71.01,68.0,70.1,64.7328,7390500,0.0000,1.0
2021-10-06,70.05,71.55,68.55,70.5,65.1022,4330600,0.0000,1.0
2021-10-05,71.34,72.85,70.03,71.38,65.9148,4518900,0.0000,1.0
2021-10-04,72.88,73.32,70.72,71.2,65.7486,6818500,0.0000,1.0
2021-10-01,74.11,77.49,73.91,74.59,68.879,3425600,0.0000,1.0
2021-09-30,74.68,75.5,73.05,74.61,68.8975,3686300,0.0000,1.0
2021-09-29,74.1,75.0,72.98,73.85,68.1957,3309000,0.0000,1.0
2021-09-28,76.52,77.29,72.1,73.6,67.9648,6705800,0.0000,1.0
2021-09-27,78.69,79.27,76.79,78.2,72.2126,2770300,0.0000,1.0
2021-09-24,79.76,80.8,78.63,80.3,74.1519,1483100,0.0000,1.0
2021-09-23,79.62,80.7,77.96,80.53,74.3642,3758300,0.0000,1.0
2021-09-22,83.36,83.36,78.82,79.57,73.4777,5911900,0.0000,1.0
2021-09-21,80.72,84.17,80.5,82.78,76.442,1758500,0.0000,1.0
2021-09-20,82.38,83.25,80.15,80.71,74.5305,3186700,0.0000,1.0
2021-09-17,84.41,84.53,81.44,83.0,76.6451,3757000,0.0000,1.0
