timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,12.07,12.19,11.96,12.17,12.17,8458900,0.0000,1.0
2023-06-15,12.11,12.18,12.0,12.1,12.1,5624500,0.0000,1.0
2023-06-14,11.78,12.14,11.74,12.12,12.12,16292700,0.0000,1.0
2023-06-13,11.8,11.84,11.64,11.7,11.7,8068100,0.0000,1.0
2023-06-12,11.78,11.79,11.54,11.76,11.76,6547600,0.0000,1.0
2023-06-09,11.8,11.93,11.75,11.79,11.79,4860700,0.0000,1.0
2023-06-07,11.75,11.76,11.51,11.72,11.72,8936900,0.0000,1.0
2023-06-06,11.72,11.76,11.56,11.66,11.66,6217700,0.0000,1.0
2023-06-05,11.74,11.79,11.5,11.67,11.67,4273800,0.0000,1.0
2023-06-02,11.49,11.83,11.45,11.7,11.7,7233500,0.0000,1.0
2023-06-01,11.33,11.4,11.15,11.34,11.34,6024800,0.0000,1.0
2023-05-31,11.25,11.32,11.14,11.21,11.21,7098000,0.0000,1.0
2023-05-30,11.72,11.72,11.29,11.34,11.34,6444500,0.0000,1.0
2023-05-29,11.78,11.85,11.59,11.62,11.62,3574100,0.0000,1.0
2023-05-26,11.53,11.75,11.49,11.66,11.66,9081800,0.0000,1.0
2023-05-25,11.4,11.62,11.27,11.31,11.31,9511500,0.0000,1.0
2023-05-24,11.53,11.53,11.27,11.29,11.29,7296600,0.0000,1.0
2023-05-23,11.51,11.7,11.43,11.58,11.58,8141900,0.0000,1.0
2023-05-22,11.15,11.64,11.11,11.54,11.54,8319900,0.0000,1.0
2023-05-19,11.3,11.32,11.09,11.18,11.18,4655200,0.0000,1.0
2023-05-18,11.21,11.29,11.06,11.26,11.26,5074700,0.0000,1.0
2023-05-17,10.96,11.24,10.92,11.16,11.16,7066400,0.0000,1.0
2023-05-16,11.07,11.18,10.77,10.82,10.82,8812600,0.0000,1.0
2023-05-15,11.37,11.5,11.3,11.32,11.02,7198300,0.3000,1.0
2023-05-12,11.15,11.3,11.06,11.22,10.9227,7241300,0.0000,1.0
2023-05-11,11.23,11.23,11.03,11.18,10.8837,8795400,0.0000,1.0
2023-05-10,11.64,11.69,11.18,11.32,11.0173,9207200,0.0000,1.0
2023-05-09,11.5,11.69,11.33,11.61,11.2996,5922600,0.0000,1.0
2023-05-08,11.65,11.7,11.43,11.55,11.2412,9924200,0.0000,1.0
2023-05-06,11.13,11.54,10.95,11.5,11.1925,23329800,0.0000,1.0
2023-05-05,11.13,11.54,10.95,11.5,11.1925,23177300,0.0000,1.0
2023-05-04,11.39,11.7,10.91,11.0,10.7059,15688500,0.0000,1.0
2023-05-03,11.41,11.48,11.02,11.38,11.0757,12792800,0.0000,1.0
2023-05-02,11.61,11.66,11.18,11.27,10.9687,7695400,0.0000,1.0
2023-04-29,11.35,11.66,11.29,11.66,11.3482,6453000,0.0000,1.0
2023-04-28,11.35,11.66,11.29,11.66,11.3482,6445800,0.0000,1.0
2023-04-27,11.2,11.4,11.13,11.32,11.0173,3560000,0.0000,1.0
2023-04-26,11.2,11.38,11.14,11.2,10.9005,7787400,0.0000,1.0
2023-04-25,11.4,11.45,11.11,11.16,10.8616,8307100,0.0000,1.0
2023-04-24,11.64,11.64,11.38,11.54,11.2314,7340600,0.0000,1.0
