timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,11.05,11.59,11.0,11.34,11.34,15780400,0.0000,1.0
2023-06-15,11.04,11.52,10.9,11.12,11.12,17197600,0.0000,1.0
2023-06-14,10.11,11.19,10.08,11.18,11.18,26452500,0.0000,1.0
2023-06-13,10.55,10.68,9.92,10.0,10.0,13752600,0.0000,1.0
2023-06-12,10.51,10.66,10.16,10.53,10.53,17257500,0.0000,1.0
2023-06-09,9.85,10.57,9.78,10.31,10.31,26195900,0.0000,1.0
2023-06-07,9.89,10.41,9.53,9.61,9.61,22198500,0.0000,1.0
2023-06-06,9.05,9.76,8.95,9.76,9.76,25223100,0.0000,1.0
2023-06-05,8.92,9.05,8.7,8.98,8.98,10529300,0.0000,1.0
2023-06-02,9.0,9.44,8.71,8.91,8.91,20396700,0.0000,1.0
2023-06-01,8.35,8.81,8.22,8.8,8.8,15463800,0.0000,1.0
2023-05-31,8.0,8.33,7.92,8.32,8.32,14308800,0.0000,1.0
2023-05-30,8.32,8.46,7.94,8.04,8.04,10435200,0.0000,1.0
2023-05-29,8.36,8.37,8.1,8.21,8.21,9141100,0.0000,1.0
2023-05-26,7.9,8.44,7.88,8.33,8.33,18149100,0.0000,1.0
2023-05-25,7.84,8.26,7.72,7.81,7.81,18232000,0.0000,1.0
2023-05-24,7.75,7.78,7.44,7.6,7.6,11293500,0.0000,1.0
2023-05-23,8.0,8.24,7.77,7.81,7.81,11817700,0.0000,1.0
2023-05-22,7.79,8.42,7.78,8.06,8.06,18732400,0.0000,1.0
2023-05-19,8.03,8.07,7.69,7.77,7.77,11030500,0.0000,1.0
2023-05-18,8.06,8.09,7.87,7.98,7.98,11721300,0.0000,1.0
2023-05-17,7.46,8.16,7.45,8.1,8.1,16886900,0.0000,1.0
2023-05-16,7.7,7.86,7.35,7.43,7.43,10866200,0.0000,1.0
2023-05-15,7.43,7.73,7.11,7.67,7.67,15256400,0.0000,1.0
2023-05-12,7.49,7.53,7.21,7.37,7.37,11992200,0.0000,1.0
2023-05-11,7.26,7.58,7.2,7.49,7.49,11663000,0.0000,1.0
2023-05-10,7.12,7.48,7.11,7.29,7.29,11749900,0.0000,1.0
2023-05-09,6.98,7.27,6.93,7.11,7.11,9011700,0.0000,1.0
2023-05-08,7.01,7.32,6.99,7.02,7.02,12572500,0.0000,1.0
2023-05-06,6.85,7.12,6.76,6.96,6.96,11993200,0.0000,1.0
2023-05-05,6.85,7.12,6.76,6.96,6.96,11993200,0.0000,1.0
2023-05-04,6.94,7.07,6.69,6.82,6.82,10437100,0.0000,1.0
