timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,4.44,4.47,4.29,4.35,4.35,135058200,0.0000,1.0
2023-06-15,4.34,4.52,4.31,4.46,4.46,100776800,0.0000,1.0
2023-06-14,4.15,4.35,4.07,4.3,4.3,140415700,0.0000,1.0
2023-06-13,4.14,4.14,3.94,3.97,3.97,86747200,0.0000,1.0
2023-06-12,4.26,4.3,4.1,4.12,4.12,91707700,0.0000,1.0
2023-06-09,4.27,4.48,4.21,4.24,4.24,104027700,0.0000,1.0
2023-06-07,4.45,4.54,4.23,4.24,4.24,104453300,0.0000,1.0
2023-06-06,4.2,4.5,4.17,4.35,4.35,128485600,0.0000,1.0
2023-06-05,4.12,4.19,4.08,4.16,4.16,40254100,0.0000,1.0
2023-06-02,4.12,4.28,4.05,4.12,4.12,86904600,0.0000,1.0
2023-06-01,3.99,4.17,3.93,4.1,4.1,99851100,0.0000,1.0
2023-05-31,4.05,4.09,3.91,3.99,3.99,103450100,0.0000,1.0
2023-05-30,3.96,4.11,3.88,4.06,4.06,107987100,0.0000,1.0
2023-05-29,3.95,3.98,3.88,3.9,3.9,47908100,0.0000,1.0
2023-05-26,3.99,4.03,3.81,3.9,3.9,85718000,0.0000,1.0
2023-05-25,3.73,3.96,3.73,3.94,3.94,154973700,0.0000,1.0
2023-05-24,3.66,3.67,3.48,3.55,3.55,128934800,0.0000,1.0
2023-05-23,3.73,3.91,3.61,3.65,3.65,110399200,0.0000,1.0
2023-05-22,3.63,3.91,3.61,3.7,3.7,126693300,0.0000,1.0
2023-05-19,3.71,3.8,3.58,3.61,3.61,149090700,0.0000,1.0
2023-05-18,3.46,3.73,3.43,3.67,3.67,157527900,0.0000,1.0
2023-05-17,3.42,3.57,3.34,3.48,3.48,132394200,0.0000,1.0
2023-05-16,3.6,3.65,3.36,3.41,3.41,254510400,0.0000,1.0
2023-05-15,3.22,3.27,3.08,3.15,3.15,127430500,0.0000,1.0
2023-05-12,3.05,3.19,2.95,3.12,3.12,99940100,0.0000,1.0
2023-05-11,2.97,3.14,2.92,3.07,3.07,111144700,0.0000,1.0
2023-05-10,2.89,3.11,2.87,3.02,3.02,156523100,0.0000,1.0
2023-05-09,2.91,2.94,2.81,2.88,2.88,127339000,0.0000,1.0
2023-05-08,2.99,3.07,2.9,2.92,2.92,66448200,0.0000,1.0
2023-05-06,2.82,2.99,2.73,2.93,2.93,103619800,0.0000,1.0
2023-05-05,2.82,2.99,2.73,2.93,2.93,103619800,0.0000,1.0
2023-05-04,2.82,2.88,2.7,2.84,2.84,78879100,0.0000,1.0
2023-05-03,2.82,2.87,2.75,2.77,2.77,90442300,0.0000,1.0
2023-05-02,2.77,2.83,2.67,2.79,2.79,88634800,0.0000,1.0
2023-04-29,2.57,2.77,2.53,2.76,2.76,113249700,0.0000,1.0
2023-04-28,2.57,2.76,2.53,2.76,2.76,113249700,0.0000,1.0
2023-04-27,2.5,2.58,2.44,2.56,2.56,89019700,0.0000,1.0
2023-04-26,2.58,2.61,2.46,2.49,2.49,38169100,0.0000,1.0
2023-04-25,2.6,2.63,2.49,2.56,2.56,63579500,0.0000,1.0
2023-04-24,2.56,2.75,2.53,2.61,2.61,138484100,0.0000,1.0
2023-04-20,2.36,2.59,2.34,2.59,2.59,129035400,0.0000,1.0
2023-04-19,2.34,2.42,2.25,2.36,2.36,107137700,0.0000,1.0
2023-04-18,2.58,2.58,2.4,2.4,2.4,106907500,0.0000,1.0
2023-04-17,2.59,2.65,2.49,2.54,2.54,145855900,0.0000,1.0
2023-04-14,2.55,2.66,2.47,2.6,2.6,117874700,0.0000,1.0
2023-04-13,2.67,2.74,2.54,2.64,2.64,127494700,0.0000,1.0
2023-04-12,2.75,2.8,2.6,2.68,2.68,138906000,0.0000,1.0
2023-04-11,2.38,2.68,2.38,2.65,2.65,101611400,0.0000,1.0
2023-04-10,2.37,2.41,2.31,2.35,2.35,31086100,0.0000,1.0
2023-04-06,2.36,2.41,2.22,2.37,2.37,84516000,0.0000,1.0
2023-04-05,2.51,2.53,2.3,2.36,2.36,63337400,0.0000,1.0
2023-04-04,2.46,2.65,2.42,2.48,2.48,71762400,0.0000,1.0
2023-04-03,2.61,2.68,2.36,2.45,2.45,119539900,0.0000,1.0
2023-03-31,2.84,2.84,2.57,2.62,2.62,113117000,0.0000,1.0
2023-03-30,2.9,3.0,2.75,2.8,2.8,173633200,0.0000,1.0
2023-03-29,2.68,2.8,2.56,2.76,2.76,134815800,0.0000,1.0
2023-03-28,2.55,2.7,2.5,2.63,2.63,173248400,0.0000,1.0
2023-03-27,2.27,2.35,2.19,2.22,2.22,57702200,0.0000,1.0
2023-03-24,2.1,2.29,2.03,2.25,2.25,93990100,0.0000,1.0
2023-03-23,2.22,2.26,1.98,2.07,2.07,70141400,0.0000,1.0
2023-03-22,2.21,2.26,2.14,2.21,2.21,62007000,0.0000,1.0
2023-03-21,2.2,2.34,2.19,2.22,2.22,67838500,0.0000,1.0
2023-03-20,2.4,2.41,2.07,2.18,2.18,118261400,0.0000,1.0
2023-03-17,2.61,2.63,2.29,2.37,2.37,131974000,0.0000,1.0
2023-03-16,2.52,2.72,2.45,2.64,2.64,101963500,0.0000,1.0
2023-03-15,2.43,2.56,2.35,2.52,2.52,70280100,0.0000,1.0
2023-03-14,2.51,2.69,2.38,2.48,2.48,99190700,0.0000,1.0
2023-03-13,2.38,2.64,2.33,2.5,2.5,104176800,0.0000,1.0
2023-03-10,2.0,2.59,1.97,2.47,2.47,371062500,0.0000,1.0
2023-03-09,2.63,2.69,1.93,1.94,1.94,553080600,0.0000,1.0
