timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,3.72,3.78,3.62,3.65,3.65,4053200,0.0000,1.0
2023-06-20,3.78,3.9,3.67,3.76,3.76,9299100,0.0000,1.0
2023-06-19,3.78,3.86,3.7,3.79,3.79,6641600,0.0000,1.0
2023-06-16,3.47,3.75,3.45,3.75,3.75,6446700,0.0000,1.0
2023-06-15,3.31,3.48,3.3,3.48,3.48,3428100,0.0000,1.0
2023-06-14,3.28,3.35,3.26,3.3,3.3,3798600,0.0000,1.0
2023-06-13,3.34,3.38,3.22,3.26,3.26,3610800,0.0000,1.0
2023-06-12,3.24,3.32,3.17,3.32,3.32,4777400,0.0000,1.0
2023-06-09,3.41,3.48,3.19,3.24,3.24,8749500,0.0000,1.0
2023-06-07,3.61,3.68,3.32,3.41,3.41,7769700,0.0000,1.0
2023-06-06,3.52,3.66,3.47,3.61,3.61,5494900,0.0000,1.0
2023-06-05,3.43,3.5,3.36,3.49,3.49,4028800,0.0000,1.0
2023-06-02,3.32,3.5,3.32,3.44,3.44,5721100,0.0000,1.0
2023-06-01,3.11,3.3,3.09,3.3,3.3,5174100,0.0000,1.0
2023-05-31,3.17,3.18,3.08,3.08,3.08,5807100,0.0000,1.0
2023-05-30,3.21,3.22,3.11,3.2,3.2,3791700,0.0000,1.0
2023-05-29,3.27,3.27,3.15,3.19,3.19,3055000,0.0000,1.0
2023-05-26,3.03,3.26,3.02,3.25,3.25,6991600,0.0000,1.0
2023-05-25,3.0,3.08,2.99,3.0,3.0,6648500,0.0000,1.0
2023-05-24,2.97,3.03,2.91,2.94,2.94,4317200,0.0000,1.0
2023-05-23,2.9,3.1,2.9,2.99,2.99,7819900,0.0000,1.0
2023-05-22,2.99,3.01,2.9,2.92,2.92,4668000,0.0000,1.0
2023-05-19,2.88,2.99,2.86,2.93,2.93,5132800,0.0000,1.0
2023-05-18,2.77,2.88,2.77,2.88,2.88,4853900,0.0000,1.0
2023-05-17,2.75,2.81,2.74,2.78,2.78,5289000,0.0000,1.0
2023-05-16,2.77,2.83,2.71,2.75,2.75,4581800,0.0000,1.0
2023-05-15,2.82,2.88,2.78,2.79,2.79,3790200,0.0000,1.0
2023-05-12,2.86,2.99,2.78,2.82,2.82,10205000,0.0000,1.0
2023-05-11,2.69,2.8,2.64,2.76,2.76,4607100,0.0000,1.0
2023-05-10,2.66,2.72,2.61,2.69,2.69,5798800,0.0000,1.0
2023-05-09,2.68,2.74,2.65,2.68,2.68,3051600,0.0000,1.0
2023-05-08,2.68,2.73,2.66,2.69,2.69,3073500,0.0000,1.0
2023-05-06,2.61,2.71,2.58,2.68,2.68,3907200,0.0000,1.0
2023-05-05,2.61,2.71,2.58,2.68,2.68,3907200,0.0000,1.0
2023-05-04,2.65,2.67,2.56,2.6,2.6,3825800,0.0000,1.0
2023-05-03,2.56,2.66,2.56,2.64,2.64,3684700,0.0000,1.0
