timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-09-17,38.36,38.89,37.5,37.5,37.5,7519800,0.0000,1.0
2021-09-16,36.38,38.69,36.23,38.52,38.52,3619600,0.0000,1.0
2021-09-15,36.75,36.85,35.59,36.72,36.72,1480100,0.0000,1.0
2021-09-14,36.0,36.92,35.91,36.39,36.39,3674200,0.0000,1.0
2021-09-13,35.5,36.75,35.33,35.99,35.99,1606300,0.0000,1.0
2021-09-10,35.74,36.32,35.21,35.3,35.3,1170600,0.0000,1.0
2021-09-09,35.06,35.91,34.28,35.39,35.39,1922700,0.0000,1.0
2021-09-08,36.47,36.47,34.79,35.13,35.13,1457900,0.0000,1.0
2021-09-06,36.45,37.0,36.01,36.21,36.21,5104900,0.0000,1.0
2021-09-03,36.02,37.04,35.07,36.44,36.44,3789000,0.0000,1.0
2021-09-02,36.7,36.98,35.66,35.95,35.95,3195700,0.0000,1.0
2021-09-01,37.32,37.38,36.28,36.98,36.98,1401000,0.0000,1.0
2021-08-31,38.23,38.4,36.53,37.23,37.23,1727700,0.0000,1.0
2021-08-30,38.24,38.58,37.67,38.23,38.23,770900,0.0000,1.0
2021-08-27,38.04,38.47,37.66,38.38,38.38,849100,0.0000,1.0
2021-08-26,39.15,39.94,37.89,38.03,38.03,2291600,0.0000,1.0
2021-08-25,38.86,39.42,38.36,39.4,39.4,983600,0.0000,1.0
2021-08-24,38.97,39.6,38.82,39.1,39.1,1011900,0.0000,1.0
2021-08-23,39.44,39.7,38.5,38.62,38.62,1114900,0.0000,1.0
2021-08-20,37.51,39.6,37.51,39.26,39.26,1274800,0.0000,1.0
2021-08-19,37.6,38.89,37.1,38.35,38.35,1580700,0.0000,1.0
2021-08-18,38.4,39.1,37.18,38.16,38.16,1694700,0.0000,1.0
2021-08-17,38.42,38.56,36.84,38.45,38.45,2080100,0.0000,1.0
2021-08-16,40.53,40.53,38.51,38.88,38.88,1526600,0.0000,1.0
2021-08-13,38.88,41.02,38.59,40.57,40.57,4136900,0.0000,1.0
2021-08-12,37.69,39.61,37.59,38.49,38.49,2242300,0.0000,1.0
2021-08-11,36.51,37.92,36.14,37.81,37.81,1428200,0.0000,1.0
2021-08-10,37.26,37.41,36.44,36.52,36.52,645900,0.0000,1.0
2021-08-09,37.14,37.65,36.47,37.06,37.06,1047200,0.0000,1.0
2021-08-06,36.2,37.5,35.93,37.2,37.2,1615600,0.0000,1.0
2021-08-05,37.64,37.84,36.2,36.4,36.4,811800,0.0000,1.0
2021-08-04,37.67,37.67,36.69,37.23,37.23,812500,0.0000,1.0
2021-08-03,37.78,37.92,36.34,37.81,37.81,918600,0.0000,1.0
2021-08-02,37.31,38.19,37.26,37.75,37.75,1106200,0.0000,1.0
2021-07-30,38.06,38.14,36.8,37.2,37.2,1699900,0.0000,1.0
2021-07-29,39.16,39.83,38.1,38.25,38.25,1501000,0.0000,1.0
2021-07-28,38.05,39.11,37.74,38.98,38.98,2124400,0.0000,1.0
2021-07-27,38.7,38.76,37.13,37.91,37.91,1974700,0.0000,1.0
2021-07-26,38.95,38.99,38.07,38.88,38.88,1327900,0.0000,1.0
2021-07-23,39.83,40.25,38.77,38.95,38.95,881000,0.0000,1.0
2021-07-22,39.39,39.74,38.91,39.67,39.67,1766700,0.0000,1.0
2021-07-21,40.08,40.08,38.73,39.27,39.27,1591900,0.0000,1.0
2021-07-20,40.14,41.39,39.43,39.89,39.89,1831400,0.0000,1.0
2021-07-19,40.0,40.29,39.27,40.05,40.05,1975900,0.0000,1.0
2021-07-16,40.0,40.95,39.64,40.5,40.5,2000800,0.0000,1.0
2021-07-15,39.79,40.03,38.84,40.0,40.0,2629900,0.0000,1.0
2021-07-14,38.56,40.01,37.59,40.01,40.01,3212200,0.0000,1.0
2021-07-13,36.29,38.68,36.07,38.54,38.54,2996000,0.0000,1.0
2021-07-12,35.76,36.51,35.35,36.51,36.51,1073700,0.0000,1.0
2021-07-08,35.31,35.6,34.37,35.58,35.58,1424400,0.0000,1.0
2021-07-07,35.18,35.99,35.02,35.89,35.89,2067500,0.0000,1.0
2021-07-06,35.12,35.12,34.42,34.91,34.91,1159900,0.0000,1.0
2021-07-05,34.86,35.64,34.45,35.18,35.18,827900,0.0000,1.0
2021-07-02,33.89,35.08,33.61,34.86,34.86,1818100,0.0000,1.0
2021-07-01,34.22,35.0,33.81,33.87,33.87,2794900,0.0000,1.0
2021-06-30,34.06,34.44,33.35,34.21,34.21,1454700,0.0000,1.0
2021-06-29,34.6,35.13,33.88,34.17,34.17,905600,0.0000,1.0
2021-06-28,33.87,34.88,33.75,34.71,34.71,910800,0.0000,1.0
2021-06-25,35.1,35.16,33.63,33.92,33.92,1773200,0.0000,1.0
2021-06-24,34.59,35.74,34.59,35.2,35.2,1657200,0.0000,1.0
2021-06-23,34.9,35.19,34.05,34.43,34.43,938200,0.0000,1.0
2021-06-22,35.41,35.42,34.61,34.96,34.96,1145900,0.0000,1.0
2021-06-21,35.44,36.0,35.06,35.6,35.6,1341900,0.0000,1.0
2021-06-18,34.79,35.8,34.71,35.5,35.5,2577400,0.0000,1.0
2021-06-17,34.99,35.08,34.47,34.8,34.8,1574300,0.0000,1.0
2021-06-16,34.5,35.23,34.35,35.15,35.15,2161400,0.0000,1.0
2021-06-15,35.46,35.46,34.24,34.55,34.55,1447100,0.0000,1.0
2021-06-14,34.69,35.73,34.45,35.45,35.45,1738800,0.0000,1.0
2021-06-11,34.0,34.79,33.83,34.5,34.5,2500700,0.0000,1.0
2021-06-10,33.65,34.46,33.18,34.4,34.4,2167600,0.0000,1.0
2021-06-09,32.8,33.65,32.25,33.65,33.65,3540200,0.0000,1.0
2021-06-08,32.17,32.85,31.89,32.71,32.71,2472300,0.0000,1.0
2021-06-07,32.55,32.6,32.07,32.15,32.15,1573300,0.0000,1.0
2021-06-04,32.43,32.61,32.01,32.46,32.46,2030800,0.0000,1.0
2021-06-02,32.6,32.99,31.92,32.33,32.33,2958300,0.0000,1.0
2021-06-01,33.04,33.62,32.29,32.59,32.59,2748200,0.0000,1.0
2021-05-31,33.38,33.69,32.35,32.9,32.9,3310000,0.0000,1.0
2021-05-28,32.42,33.7,32.03,33.4,33.4,3255700,0.0000,1.0
2021-05-27,30.47,32.85,30.18,32.49,32.49,4200700,0.0000,1.0
2021-05-26,29.53,30.47,29.46,30.47,30.47,1844600,0.0000,1.0
2021-05-25,29.24,30.09,29.22,29.37,29.37,1423100,0.0000,1.0
2021-05-24,29.18,29.39,28.79,29.22,29.22,1540900,0.0000,1.0
2021-05-21,29.37,29.53,29.03,29.32,29.32,987900,0.0000,1.0
2021-05-20,28.71,29.55,28.4,29.44,29.44,1322800,0.0000,1.0
2021-05-19,29.28,29.7,28.46,28.63,28.63,2013800,0.0000,1.0
