timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,45.08,46.27,45.08,45.19,45.19,3571600,0.0000,1.0
2023-06-15,45.28,46.05,45.28,45.49,45.49,2309300,0.0000,1.0
2023-06-14,45.71,45.89,45.23,45.84,45.84,3672700,0.0000,1.0
2023-06-13,46.2,46.58,45.13,45.37,45.37,4272100,0.0000,1.0
2023-06-12,45.81,46.6,45.81,46.07,46.07,2805900,0.0000,1.0
2023-06-09,44.15,46.11,44.14,45.84,45.84,37794500,0.0000,1.0
2023-06-07,44.71,44.89,43.84,43.95,43.95,2702300,0.0000,1.0
2023-06-06,42.94,44.94,42.79,44.27,44.27,5809700,0.0000,1.0
2023-06-05,41.91,42.75,41.91,42.59,42.59,2736300,0.0000,1.0
2023-06-02,41.9,42.28,41.51,41.99,41.99,2081900,0.0000,1.0
2023-06-01,40.29,41.95,40.28,41.59,41.59,4675700,0.0000,1.0
2023-05-31,40.85,41.55,40.58,40.82,40.82,7577800,0.0000,1.0
2023-05-30,41.72,41.76,40.86,41.05,41.05,2748400,0.0000,1.0
2023-05-29,41.14,41.44,40.97,41.43,41.43,1525200,0.0000,1.0
2023-05-26,40.96,41.46,40.47,41.2,41.2,3902200,0.0000,1.0
2023-05-25,40.04,40.75,39.71,40.39,40.39,4052600,0.0000,1.0
2023-05-24,39.21,39.74,39.17,39.27,39.27,2093700,0.0000,1.0
2023-05-23,39.73,40.07,39.21,39.35,39.35,2901700,0.0000,1.0
2023-05-22,39.6,40.3,39.49,39.8,39.8,2804500,0.0000,1.0
2023-05-19,38.98,39.91,38.57,39.43,39.43,3446700,0.0000,1.0
2023-05-18,37.89,38.84,37.81,38.55,38.55,2703400,0.0000,1.0
2023-05-17,38.0,38.1,37.83,38.0,38.0,3438600,0.0000,1.0
2023-05-16,37.78,38.43,37.66,37.8,37.8,4326300,0.0000,1.0
2023-05-15,38.19,38.53,37.96,38.06,38.06,6097100,0.0000,1.0
2023-05-12,37.28,38.3,37.17,38.06,38.06,3104100,0.0000,1.0
2023-05-11,38.45,38.45,37.59,37.72,37.72,3593400,0.0000,1.0
2023-05-10,38.58,38.86,38.26,38.57,38.57,2379900,0.0000,1.0
2023-05-09,37.72,38.83,37.38,38.52,38.52,3234400,0.0000,1.0
2023-05-08,37.84,38.1,37.6,37.72,37.72,2266800,0.0000,1.0
2023-05-05,37.2,37.82,36.97,37.43,37.43,3007700,0.0000,1.0
2023-05-04,37.0,37.51,36.28,36.72,36.72,2366500,0.0000,1.0
2023-05-03,36.69,36.97,36.35,36.58,36.58,2586800,0.0000,1.0
2023-05-02,37.05,37.31,36.48,36.96,36.96,5004900,0.0000,1.0
2023-04-28,35.98,37.62,35.49,37.25,37.25,4594800,0.0000,1.0
2023-04-27,36.0,36.2,35.56,36.0,36.0,2829400,0.0000,1.0
2023-04-26,35.8,36.23,35.43,36.03,36.03,2884000,0.0000,1.0
2023-04-25,36.25,36.4,35.4,35.81,35.81,4717900,0.0000,1.0
2023-04-24,36.7,37.3,36.37,36.6,36.6,2855300,0.0000,1.0
2023-04-20,36.59,37.21,35.92,37.08,37.08,4015300,0.0000,1.0
2023-04-19,37.27,37.46,36.33,36.57,36.57,3691400,0.0000,1.0
2023-04-18,38.12,38.12,37.16,37.55,37.55,2936500,0.0000,1.0
2023-04-17,37.45,37.9,36.89,37.82,37.82,3757200,0.0000,1.0
2023-04-14,37.49,37.74,36.84,37.4,37.4,4327900,0.0000,1.0
2023-04-13,37.83,38.87,37.22,37.65,37.65,9786800,0.0000,1.0
2023-04-12,37.84,38.29,37.62,37.83,37.83,6459400,0.0000,1.0
2023-04-11,36.65,38.45,36.62,37.91,37.91,6734400,0.0000,1.0
2023-04-10,37.5,37.5,36.33,36.55,36.55,5382400,0.0000,1.0
2023-04-06,38.08,38.51,37.74,37.84,37.84,4522600,0.0000,1.0
2023-04-05,38.0,38.92,37.5,38.0,38.0,12124700,0.0000,1.0
2023-04-04,36.77,37.94,36.6,37.88,37.88,9422300,0.0000,1.0
2023-04-03,37.66,37.66,36.1,36.41,36.41,8850800,0.0000,1.0
