timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,38.0,38.68,37.83,38.5,38.5,1458700,0.0000,1.0
2023-06-15,38.23,38.75,37.59,38.2,38.2,1847200,0.0000,1.0
2023-06-14,37.6,38.95,37.33,38.23,38.23,2391900,0.0000,1.0
2023-06-13,37.86,38.0,37.29,37.35,37.35,1828000,0.0000,1.0
2023-06-12,38.06,38.71,37.56,37.71,37.71,2156900,0.0000,1.0
2023-06-09,38.64,39.28,37.12,37.99,37.99,3121200,0.0000,1.0
2023-06-07,41.35,41.56,38.12,38.29,38.29,4582900,0.0000,1.0
2023-06-06,39.4,41.5,39.38,40.84,40.84,3485100,0.0000,1.0
2023-06-05,38.95,39.56,38.25,39.21,39.21,1647700,0.0000,1.0
2023-06-02,39.5,40.74,38.16,38.95,38.95,3853000,0.0000,1.0
2023-06-01,38.25,39.08,37.2,39.08,39.08,2302800,0.0000,1.0
2023-05-31,38.74,39.6,37.12,38.0,38.0,3875300,0.0000,1.0
2023-05-30,37.24,39.07,36.93,38.71,38.71,3291200,0.0000,1.0
2023-05-29,36.4,37.64,36.0,37.11,37.11,1498900,0.0000,1.0
2023-05-26,36.69,37.1,36.05,36.53,36.53,2056000,0.0000,1.0
2023-05-25,35.7,36.68,35.6,36.29,36.29,2364800,0.0000,1.0
2023-05-24,35.28,36.0,34.2,35.05,35.05,2509400,0.0000,1.0
2023-05-23,35.82,36.08,34.8,35.37,35.37,2198900,0.0000,1.0
2023-05-22,35.4,36.69,35.16,35.67,35.67,2931200,0.0000,1.0
2023-05-19,34.25,36.1,34.02,35.33,35.33,2784500,0.0000,1.0
2023-05-18,32.58,34.98,32.47,34.11,34.11,3441600,0.0000,1.0
2023-05-17,36.2,36.51,32.12,32.61,32.61,5589200,0.0000,1.0
2023-05-16,35.8,38.05,34.53,35.6,35.6,4607900,0.0000,1.0
2023-05-15,36.1,37.74,35.76,36.0,36.0,3255300,0.0000,1.0
2023-05-12,36.2,36.36,34.9,35.93,35.93,2322100,0.0000,1.0
2023-05-11,35.28,36.89,34.8,36.06,36.06,3103700,0.0000,1.0
2023-05-10,33.06,35.89,32.86,35.4,35.4,3487800,0.0000,1.0
2023-05-09,32.99,34.74,32.07,34.74,34.74,3009400,0.0000,1.0
2023-05-08,33.22,33.8,32.74,32.93,32.93,2282200,0.0000,1.0
2023-05-06,30.86,33.39,30.71,33.0,33.0,4106200,0.0000,1.0
2023-05-05,30.86,33.39,30.71,33.0,33.0,4106200,0.0000,1.0
