timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-20,9.76,9.83,9.69,9.81,9.81,16260900,0.0000,1.0
2023-06-19,9.69,9.81,9.66,9.77,9.77,11512100,0.0000,1.0
2023-06-16,9.62,9.78,9.57,9.65,9.65,43901900,0.0000,1.0
2023-06-15,9.47,9.7,9.43,9.63,9.63,34099700,0.0000,1.0
2023-06-14,9.38,9.52,9.33,9.46,9.46,44714400,0.0000,1.0
2023-06-13,9.27,9.39,9.22,9.35,9.35,26307600,0.0000,1.0
2023-06-12,9.22,9.31,9.19,9.27,9.27,35834400,0.0000,1.0
2023-06-09,9.14,9.25,9.09,9.23,9.23,23905600,0.0000,1.0
2023-06-07,9.17,9.17,9.02,9.11,9.11,33425600,0.0000,1.0
2023-06-06,9.11,9.22,9.07,9.09,9.09,28657300,0.0000,1.0
2023-06-05,9.13,9.13,9.02,9.09,9.09,10236400,0.0000,1.0
2023-06-02,8.99,9.13,8.97,9.1,9.1,27292900,0.0000,1.0
2023-06-01,8.79,8.92,8.74,8.89,8.89,20354100,0.0000,1.0
2023-05-31,8.82,8.89,8.75,8.78,8.78,29239300,0.0235,1.0
2023-05-30,9.05,9.05,8.82,8.88,8.8565,23570400,0.0000,1.0
2023-05-29,8.95,9.01,8.89,8.97,8.9462,9857600,0.0000,1.0
2023-05-26,9.1,9.16,8.92,8.98,8.9562,14770000,0.0000,1.0
2023-05-25,9.0,9.09,8.94,9.03,9.0061,20669500,0.0000,1.0
2023-05-24,8.89,8.98,8.85,8.9,8.8764,17593500,0.0000,1.0
2023-05-23,8.88,9.03,8.84,8.91,8.8864,15534300,0.0000,1.0
2023-05-22,8.88,9.01,8.84,8.87,8.8465,16837200,0.0000,1.0
2023-05-19,8.98,9.0,8.87,8.93,8.9063,43580500,0.0000,1.0
2023-05-18,8.97,9.01,8.83,8.99,8.9662,25090900,0.0000,1.0
2023-05-17,9.02,9.1,8.95,9.01,8.9861,14606900,0.0000,1.0
2023-05-16,8.99,9.12,8.91,8.98,8.9562,14067900,0.0000,1.0
2023-05-15,8.97,9.03,8.91,9.0,8.9762,28554500,0.0000,1.0
2023-05-12,8.92,8.99,8.87,8.96,8.9363,14718100,0.0000,1.0
2023-05-11,8.9,9.06,8.87,9.0,8.9762,19175300,0.0000,1.0
2023-05-10,8.83,8.94,8.75,8.92,8.8964,19290300,0.0000,1.0
2023-05-09,8.78,8.94,8.77,8.85,8.8265,19111700,0.0000,1.0
2023-05-08,8.77,8.92,8.75,8.8,8.7767,16799100,0.0000,1.0
2023-05-06,8.52,8.8,8.49,8.74,8.7168,32964700,0.0000,1.0
2023-05-05,8.52,8.8,8.49,8.74,8.7168,32773200,0.0000,1.0
2023-05-04,8.41,8.54,8.32,8.48,8.4575,26358100,0.0000,1.0
2023-05-03,8.37,8.42,8.33,8.37,8.3478,15847300,0.0000,1.0
2023-05-02,8.67,8.7,8.31,8.38,8.3578,30946100,0.0000,1.0
2023-04-29,8.63,8.71,8.51,8.68,8.657,28906000,0.0000,1.0
2023-04-28,8.63,8.71,8.51,8.68,8.657,28778900,0.0000,1.0
2023-04-27,8.5,8.59,8.48,8.59,8.5672,17654900,0.0000,1.0
2023-04-26,8.6,8.6,8.45,8.48,8.4575,25599100,0.0000,1.0
2023-04-25,8.53,8.6,8.52,8.59,8.5672,26963200,0.0000,1.0
2023-04-24,8.51,8.67,8.48,8.57,8.5473,25928000,0.0000,1.0
2023-04-20,8.55,8.59,8.46,8.53,8.5074,15875300,0.0000,1.0
2023-04-19,8.55,8.6,8.49,8.54,8.5174,14489600,0.0000,1.0
2023-04-18,8.64,8.68,8.53,8.63,8.6071,15551000,0.0000,1.0
2023-04-17,8.69,8.7,8.58,8.63,8.6071,9807900,0.0000,1.0
2023-04-14,8.58,8.74,8.55,8.67,8.647,13767200,0.0000,1.0
2023-04-13,8.59,8.66,8.52,8.6,8.5772,20737100,0.0000,1.0
2023-04-12,8.45,8.72,8.44,8.59,8.5672,29413300,0.0000,1.0
2023-04-11,8.23,8.45,8.21,8.42,8.3977,20306100,0.0000,1.0
2023-04-10,8.14,8.23,8.13,8.15,8.1284,11051300,0.0000,1.0
2023-04-06,8.11,8.16,8.04,8.12,8.0985,13750000,0.0000,1.0
2023-04-05,8.2,8.22,8.07,8.13,8.1085,14427900,0.0000,1.0
2023-04-04,8.09,8.23,8.08,8.15,8.1284,10939700,0.0000,1.0
2023-04-03,8.17,8.2,8.01,8.09,8.0686,24119000,0.0000,1.0
2023-03-31,8.18,8.3,8.16,8.22,8.1982,20995000,0.0000,1.0
2023-03-30,8.07,8.19,8.02,8.16,8.1384,16991300,0.0000,1.0
2023-03-29,7.96,8.02,7.84,7.99,7.9688,20463800,0.0000,1.0
2023-03-28,7.94,7.98,7.88,7.91,7.889,53767900,0.0000,1.0
2023-03-27,7.89,7.99,7.89,7.94,7.919,35666100,0.0000,1.0
2023-03-24,7.8,7.89,7.65,7.85,7.8292,19833700,0.0000,1.0
2023-03-23,7.95,8.03,7.74,7.78,7.7594,26733100,0.0773,1.0
2023-03-22,7.99,8.04,7.88,7.9,7.802,22534900,0.0000,1.0
2023-03-21,7.96,8.05,7.95,8.0,7.9007,22822400,0.0000,1.0
2023-03-20,7.9,8.01,7.85,7.91,7.8118,15479100,0.0000,1.0
2023-03-17,8.02,8.03,7.86,7.86,7.7625,38446700,0.0000,1.0
2023-03-16,8.0,8.08,7.92,8.04,7.9402,25957000,0.0000,1.0
2023-03-15,7.9,8.02,7.8,7.98,7.881,38099200,0.0000,1.0
2023-03-14,7.97,8.02,7.91,7.95,7.8514,19860400,0.0000,1.0
2023-03-13,8.04,8.04,7.88,7.95,7.8514,25342700,0.0000,1.0
2023-03-10,8.21,8.22,8.01,8.07,7.9699,23220000,0.0000,1.0
2023-03-09,8.28,8.33,8.2,8.21,8.1081,20720400,0.0000,1.0
2023-03-08,8.15,8.36,8.14,8.3,8.197,25673300,0.0000,1.0
2023-03-07,8.18,8.19,8.06,8.13,8.0291,12019000,0.0000,1.0
2023-03-06,8.04,8.3,8.02,8.16,8.0587,23929200,0.0000,1.0
2023-03-03,8.04,8.07,7.94,7.99,7.8909,19123800,0.0000,1.0
2023-03-02,8.14,8.26,7.93,7.97,7.8711,26631900,0.0000,1.0
2023-03-01,8.23,8.23,8.04,8.15,8.0489,24392400,0.0000,1.0
2023-02-28,8.26,8.34,8.17,8.23,8.1279,19176800,0.0235,1.0
2023-02-27,8.32,8.37,8.23,8.25,8.1244,13178200,0.0000,1.0
2023-02-24,8.55,8.56,8.32,8.32,8.1933,17845300,0.0000,1.0
2023-02-23,8.57,8.76,8.53,8.56,8.4297,17056400,0.0000,1.0
2023-02-22,8.63,8.7,8.51,8.56,8.4297,17557900,0.0000,1.0
2023-02-17,8.71,8.78,8.66,8.74,8.6069,13569500,0.0000,1.0
2023-02-16,8.7,8.83,8.66,8.76,8.6266,14453100,0.0000,1.0
2023-02-15,8.64,8.83,8.62,8.74,8.6069,33152200,0.0000,1.0
2023-02-14,8.75,8.83,8.63,8.68,8.5478,20245700,0.0000,1.0
2023-02-13,8.53,8.82,8.53,8.74,8.6069,20072200,0.0000,1.0
2023-02-10,8.58,8.66,8.49,8.53,8.4001,17221300,0.0000,1.0
2023-02-09,8.85,8.9,8.52,8.62,8.4888,20851300,0.0000,1.0
2023-02-08,8.35,8.94,8.33,8.85,8.7153,47468000,0.0000,1.0
2023-02-07,8.26,8.29,8.09,8.16,8.0358,21464500,0.0000,1.0
2023-02-06,8.24,8.3,8.2,8.25,8.1244,18199200,0.0000,1.0
2023-02-03,8.28,8.33,8.19,8.24,8.1145,23868300,0.0000,1.0
2023-02-02,8.25,8.52,8.25,8.32,8.1933,34950900,0.0000,1.0
2023-02-01,8.52,8.55,8.23,8.28,8.1539,30490800,0.0000,1.0
2023-01-31,8.46,8.61,8.45,8.53,8.4001,30498300,0.0000,1.0
2023-01-30,8.46,8.5,8.39,8.5,8.3706,20246000,0.0000,1.0
2023-01-27,8.64,8.64,8.42,8.42,8.2918,19467500,0.0000,1.0
2023-01-26,8.6,8.68,8.55,8.62,8.4888,13110100,0.0000,1.0
2023-01-25,8.55,8.59,8.42,8.58,8.4494,13446500,0.0000,1.0
2023-01-24,8.41,8.58,8.41,8.56,8.4297,14085900,0.0000,1.0
2023-01-23,8.6,8.62,8.36,8.4,8.2721,22321300,0.0000,1.0
2023-01-20,8.68,8.71,8.54,8.58,8.4494,16365100,0.0000,1.0
