timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,28.49,28.84,28.25,28.65,28.65,41611300,0.0000,1.0
2023-06-15,28.1,28.6,28.08,28.56,28.56,26763200,0.0000,1.0
2023-06-14,27.97,28.22,27.77,28.19,28.19,49889400,0.0000,1.0
2023-06-13,27.64,27.9,27.54,27.81,27.81,33303000,0.0000,1.0
2023-06-12,27.93,28.04,27.42,27.5,27.5,29667500,0.0000,1.0
2023-06-09,27.57,27.8,27.33,27.8,27.8,29274500,0.0000,1.0
2023-06-07,27.5,27.62,27.18,27.42,27.42,28032100,0.0000,1.0
2023-06-06,27.33,27.45,27.15,27.34,27.34,26212500,0.0000,1.0
2023-06-05,27.15,27.28,26.83,27.15,27.15,24598600,0.0000,1.0
2023-06-02,27.0,27.22,26.86,27.09,27.09,25128400,0.0000,1.0
2023-06-01,26.47,26.91,26.31,26.7,26.7,25532300,0.0000,1.0
2023-05-31,26.49,26.56,26.2,26.33,26.3124,33918500,0.0176,1.0
2023-05-30,27.08,27.19,26.21,26.54,26.5222,43156800,0.0000,1.0
2023-05-29,26.96,27.05,26.7,26.92,26.902,9926900,0.0000,1.0
2023-05-26,27.4,27.76,26.79,27.04,27.022,29655801,0.0000,1.0
2023-05-25,26.87,27.36,26.68,27.25,27.2319,45478000,0.0000,1.0
2023-05-24,26.4,26.7,26.25,26.42,26.4024,28682699,0.0000,1.0
2023-05-23,26.49,26.97,26.26,26.57,26.5523,27714400,0.0000,1.0
2023-05-22,26.87,27.14,26.3,26.36,26.3425,26273100,0.0000,1.0
2023-05-19,26.91,27.0,26.57,26.87,26.8521,48408301,0.0000,1.0
2023-05-18,27.1,27.14,26.76,27.09,27.072,23643301,0.0000,1.0
2023-05-17,27.1,27.42,26.95,27.19,27.1719,23901400,0.0000,1.0
2023-05-16,27.03,27.32,26.83,26.92,26.9021,26310801,0.0000,1.0
2023-05-15,26.95,27.1,26.71,27.01,26.992,17887000,0.0000,1.0
2023-05-12,26.81,27.05,26.67,26.91,26.8921,17757000,0.0000,1.0
2023-05-11,26.76,27.34,26.61,27.16,27.1419,31626000,0.0000,1.0
2023-05-10,26.46,27.04,26.29,26.9,26.8821,30898000,0.0000,1.0
2023-05-09,26.28,26.79,26.23,26.51,26.4924,38094699,0.0000,1.0
2023-05-08,26.45,26.57,25.81,26.35,26.3325,52729602,0.0000,1.0
2023-05-05,25.35,25.99,25.02,25.99,25.9727,43414102,0.0000,1.0
2023-05-04,24.99,25.28,24.52,25.06,25.0433,39706898,0.0000,1.0
2023-05-03,24.95,25.13,24.68,24.86,24.8435,23381199,0.0000,1.0
2023-05-02,25.73,25.97,24.86,24.9,24.8834,43507699,0.0000,1.0
2023-04-28,25.93,25.93,25.51,25.92,25.9028,20395199,0.0176,1.0
2023-04-27,25.33,25.8,25.33,25.79,25.7552,20872000,0.0000,1.0
2023-04-26,25.53,25.66,25.3,25.34,25.3058,16954600,0.0000,1.0
2023-04-25,25.2,25.72,25.2,25.6,25.5655,22843000,0.0000,1.0
2023-04-24,25.59,25.78,25.18,25.37,25.3358,25225900,0.0000,1.0
2023-04-20,25.39,25.68,25.21,25.6,25.5655,21783400,0.0000,1.0
2023-04-19,25.75,25.85,25.49,25.53,25.4956,27369400,0.0000,1.0
2023-04-18,26.01,26.24,25.68,25.94,25.905,24048500,0.0000,1.0
2023-04-17,26.05,26.24,25.72,25.96,25.925,21308500,0.0000,1.0
