timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-20,4.77,4.94,4.77,4.93,4.93,7064900,0.0000,1.0
2023-06-19,4.99,4.99,4.84,4.84,4.84,6381100,0.0479,1.0
2023-06-16,4.92,4.98,4.88,4.95,4.9021,2679700,0.0000,1.0
2023-06-15,4.85,5.0,4.83,4.92,4.8724,3918300,0.0000,1.0
2023-06-14,4.88,4.93,4.78,4.85,4.803,4043500,0.0000,1.0
2023-06-13,4.97,4.98,4.81,4.84,4.7931,2779000,0.0000,1.0
2023-06-12,4.96,5.09,4.9,4.95,4.9021,3719700,0.0000,1.0
2023-06-09,5.04,5.05,4.91,4.95,4.9021,2873700,0.0000,1.0
2023-06-07,4.98,5.05,4.91,5.01,4.9615,3637200,0.0000,1.0
2023-06-06,4.77,5.08,4.77,4.94,4.8922,6744000,0.0000,1.0
2023-06-05,4.55,4.74,4.51,4.73,4.6842,2720200,0.0000,1.0
2023-06-02,4.67,4.8,4.52,4.55,4.5059,4548300,0.0000,1.0
2023-06-01,4.71,4.77,4.58,4.58,4.5356,3925200,0.0000,1.0
2023-05-31,4.58,4.72,4.49,4.72,4.6743,2437200,0.0000,1.0
2023-05-30,4.6,4.63,4.46,4.57,4.5257,1573700,0.0000,1.0
2023-05-29,4.68,4.7,4.56,4.56,4.5158,1686000,0.0000,1.0
2023-05-26,4.68,4.71,4.6,4.65,4.605,1735300,0.0000,1.0
2023-05-25,4.56,4.68,4.56,4.61,4.5654,2968800,0.0000,1.0
2023-05-24,4.44,4.53,4.38,4.45,4.4069,3131700,0.0000,1.0
2023-05-23,4.34,4.55,4.34,4.46,4.4168,4000100,0.0000,1.0
2023-05-22,4.34,4.45,4.29,4.36,4.3178,3208700,0.0000,1.0
2023-05-19,4.29,4.43,4.22,4.34,4.298,5753800,0.0000,1.0
2023-05-18,4.06,4.29,3.99,4.29,4.2485,5078900,0.0479,1.0
2023-05-17,3.83,4.06,3.83,4.06,3.9732,4708800,0.0000,1.0
2023-05-16,4.05,4.05,3.8,3.8,3.7188,5439000,0.0000,1.0
2023-05-15,4.05,4.09,3.98,4.07,3.983,2210300,0.0000,1.0
2023-05-12,4.06,4.11,4.0,4.04,3.9536,2068500,0.0000,1.0
2023-05-11,4.06,4.14,4.01,4.11,4.0221,2220300,0.0000,1.0
2023-05-10,3.96,4.1,3.93,4.1,4.0123,3127400,0.0000,1.0
2023-05-09,3.99,4.05,3.91,3.97,3.8851,2059400,0.0000,1.0
2023-05-08,4.01,4.09,3.94,3.99,3.9047,3525600,0.0000,1.0
2023-05-06,3.82,4.0,3.82,4.0,3.9145,3116100,0.0000,1.0
2023-05-05,3.82,4.0,3.82,4.0,3.9145,3104900,0.0000,1.0
2023-05-04,3.85,3.9,3.78,3.82,3.7383,2306500,0.0000,1.0
2023-05-03,3.81,3.86,3.77,3.83,3.7481,2088600,0.0000,1.0
2023-05-02,3.88,3.88,3.77,3.78,3.6992,2057200,0.0000,1.0
2023-04-29,3.75,3.89,3.72,3.88,3.7971,2823400,0.0000,1.0
2023-04-28,3.75,3.88,3.72,3.88,3.7971,2808000,0.0000,1.0
2023-04-27,3.65,3.73,3.63,3.73,3.6503,2088600,0.0000,1.0
2023-04-26,3.7,3.71,3.6,3.64,3.5622,2497600,0.0000,1.0
2023-04-25,3.67,3.73,3.64,3.7,3.6209,1568600,0.0000,1.0
2023-04-24,3.7,3.76,3.64,3.67,3.5915,3226500,0.0000,1.0
2023-04-20,3.8,3.82,3.7,3.73,3.6503,2869300,0.0000,1.0
2023-04-19,4.0,4.05,3.82,3.85,3.7677,4200500,0.0000,1.0
2023-04-18,4.2,4.24,4.03,4.08,3.9928,3019600,0.0479,1.0
2023-04-17,4.06,4.23,4.05,4.15,4.0144,3021000,0.0000,1.0
2023-04-14,4.05,4.08,3.96,4.02,3.8886,1337000,0.0000,1.0
2023-04-13,3.96,4.13,3.91,4.03,3.8983,5586400,0.0000,1.0
2023-04-12,3.95,4.09,3.92,3.95,3.8209,3044600,0.0000,1.0
2023-04-11,3.8,4.03,3.8,3.96,3.8306,3304000,0.0000,1.0
2023-04-10,3.67,3.8,3.67,3.75,3.6274,2169100,0.0000,1.0
2023-04-06,3.73,3.75,3.62,3.68,3.5597,1791900,0.0000,1.0
2023-04-05,3.71,3.79,3.65,3.7,3.5791,2309300,0.0000,1.0
2023-04-04,3.71,3.74,3.65,3.7,3.5791,2522100,0.0000,1.0
2023-04-03,3.73,3.74,3.62,3.7,3.5791,3349000,0.0000,1.0
2023-03-31,3.79,3.83,3.69,3.7,3.5791,3176200,0.0000,1.0
2023-03-30,3.78,3.9,3.77,3.8,3.6758,2179900,0.0000,1.0
2023-03-29,3.85,3.86,3.65,3.75,3.6274,2871200,0.0000,1.0
2023-03-28,3.68,3.83,3.65,3.8,3.6758,2276000,0.0000,1.0
2023-03-27,3.63,3.74,3.61,3.69,3.5694,2629800,0.0000,1.0
2023-03-24,3.51,3.6,3.47,3.57,3.4533,4058900,0.0000,1.0
2023-03-23,3.64,3.67,3.45,3.51,3.3953,3925300,0.0000,1.0
2023-03-22,3.68,3.77,3.62,3.63,3.5114,3341800,0.0000,1.0
2023-03-21,3.75,3.75,3.66,3.67,3.5501,2747400,0.0000,1.0
2023-03-20,3.89,3.94,3.72,3.72,3.5984,6264000,0.0000,1.0
