timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,22.95,23.08,22.69,22.88,22.88,9003600,0.0000,1.0
2023-06-15,22.45,23.13,22.36,22.91,22.91,7816800,0.0000,1.0
2023-06-14,22.23,22.81,22.23,22.54,22.54,7780000,0.0000,1.0
2023-06-13,22.15,22.51,21.94,22.22,22.22,6706800,0.0000,1.0
2023-06-12,21.33,22.03,21.3,21.97,21.97,6710000,0.0000,1.0
2023-06-09,21.52,21.66,21.08,21.27,21.27,4978500,0.0000,1.0
2023-06-07,21.7,21.7,21.38,21.41,21.41,3956200,0.0000,1.0
2023-06-06,21.41,21.68,21.23,21.57,21.57,5259500,0.0000,1.0
2023-06-05,21.32,21.49,21.18,21.33,21.33,4660200,0.0000,1.0
2023-06-02,21.03,21.49,20.86,21.23,21.23,5993500,0.0000,1.0
2023-06-01,21.09,21.12,20.48,20.83,20.83,9752300,0.0000,1.0
2023-05-31,21.33,21.37,20.81,21.04,21.04,10205800,0.0000,1.0
2023-05-30,21.37,21.43,21.11,21.3,21.3,3525500,0.0000,1.0
2023-05-29,21.55,21.59,21.19,21.28,21.28,2359700,0.0000,1.0
2023-05-26,21.46,21.68,21.32,21.55,21.55,4044100,0.0000,1.0
2023-05-25,21.53,21.67,21.17,21.31,21.31,2814900,0.0000,1.0
2023-05-24,21.7,21.74,21.17,21.3,21.3,4903000,0.0000,1.0
2023-05-23,22.21,22.7,21.74,21.76,21.76,7296400,0.0000,1.0
2023-05-22,21.9,22.11,21.67,21.89,21.89,5826500,0.0000,1.0
2023-05-19,21.72,22.08,21.66,21.98,21.98,7133900,0.0000,1.0
2023-05-18,20.83,21.67,20.76,21.55,21.55,7063800,0.0000,1.0
2023-05-17,20.7,20.87,20.51,20.83,20.83,5682300,0.0000,1.0
2023-05-16,20.96,21.22,20.58,20.59,20.59,8407600,0.0000,1.0
2023-05-15,20.06,21.17,20.04,20.96,20.96,11141500,0.0000,1.0
2023-05-12,19.97,20.19,19.79,20.05,20.05,7313600,0.0000,1.0
2023-05-11,20.04,20.06,19.78,19.92,19.92,6537700,0.0000,1.0
2023-05-10,20.25,20.31,19.97,20.04,20.04,6192300,0.0000,1.0
2023-05-09,19.89,20.24,19.79,20.24,20.24,3564200,0.0000,1.0
2023-05-08,19.79,20.09,19.73,19.94,19.94,6606000,0.0000,1.0
2023-05-06,19.61,20.04,19.38,19.91,19.91,0,0.0000,1.0
2023-05-05,19.61,20.04,19.38,19.91,19.91,4456000,0.3527,1.0
2023-05-04,19.9,20.18,19.45,19.53,19.1773,5368200,0.0000,1.0
2023-05-03,19.3,20.24,19.29,19.9,19.5406,13056100,0.0000,1.0
2023-05-02,19.13,19.48,19.07,19.18,18.8336,10550600,0.0000,1.0
2023-04-29,18.41,19.34,18.41,19.13,18.7845,12779400,0.0000,1.0
2023-04-28,18.41,19.34,18.41,19.13,18.7845,12770500,0.0000,1.0
2023-04-27,18.41,18.48,18.21,18.35,18.0186,4812200,0.0000,1.0
2023-04-26,18.34,18.44,18.15,18.33,17.999,6689100,0.0000,1.0
2023-04-25,18.63,18.63,18.26,18.34,18.0088,6532200,0.0000,1.0
2023-04-24,18.55,18.72,18.4,18.64,18.3034,7093500,0.0000,1.0
2023-04-20,18.89,18.92,18.54,18.58,18.2445,3889300,0.0000,1.0
2023-04-19,18.73,18.96,18.54,18.89,18.5489,7754900,0.0000,1.0
2023-04-18,18.68,18.85,18.46,18.79,18.4507,3879700,0.0000,1.0
2023-04-17,18.65,18.8,18.41,18.61,18.2739,5656500,0.0000,1.0
2023-04-14,18.73,18.75,18.37,18.5,18.1659,5763300,0.0000,1.0
2023-04-13,18.86,18.93,18.54,18.73,18.3917,7954100,0.0000,1.0
2023-04-12,18.67,18.97,18.42,18.83,18.4899,8864100,0.0000,1.0
2023-04-11,18.21,18.83,18.06,18.68,18.3427,10062200,0.0000,1.0
2023-04-10,18.01,18.25,17.86,18.12,17.7928,3303100,0.0000,1.0
2023-04-06,17.93,18.15,17.82,17.89,17.5669,5044300,0.0000,1.0
2023-04-05,18.48,18.5,17.74,17.86,17.5375,8653100,0.0000,1.0
2023-04-04,18.33,18.53,18.21,18.31,17.9793,5157000,0.0000,1.0
2023-04-03,18.1,18.32,17.97,18.23,17.9008,4081800,0.0000,1.0
2023-03-31,18.31,18.52,18.08,18.09,17.7633,6252600,0.0000,1.0
2023-03-30,18.37,18.53,18.19,18.26,17.9302,5087700,0.0000,1.0
2023-03-29,17.96,18.36,17.94,18.18,17.8517,5026000,0.0000,1.0
2023-03-28,17.83,17.99,17.77,17.93,17.6062,4463300,0.0000,1.0
2023-03-27,18.4,18.57,17.78,17.83,17.508,6652200,0.0000,1.0
2023-03-24,18.15,18.38,17.98,18.31,17.9793,5446500,0.0000,1.0
2023-03-23,18.05,18.41,17.91,18.06,17.7338,5915800,0.0000,1.0
2023-03-22,18.06,18.24,17.95,17.99,17.6651,6240200,0.0000,1.0
2023-03-21,18.1,18.28,18.01,18.06,17.7338,8009700,0.0000,1.0
2023-03-20,18.18,18.26,17.83,18.06,17.7338,6501300,0.0000,1.0
2023-03-17,18.01,18.2,17.92,18.18,17.8517,11036100,0.0000,1.0
2023-03-16,18.08,18.18,17.83,18.0,17.6749,10183500,0.0000,1.0
2023-03-15,18.33,18.39,17.9,17.92,17.5964,12018600,0.0000,1.0
2023-03-14,18.8,18.82,18.35,18.44,18.107,7673100,0.0000,1.0
2023-03-13,19.19,19.19,18.71,18.72,18.3819,7084800,0.0000,1.0
2023-03-10,19.43,19.49,19.15,19.19,18.8434,7751200,0.0000,1.0
2023-03-09,19.7,19.77,19.41,19.42,19.0693,5211500,0.0000,1.0
2023-03-08,19.4,19.78,19.39,19.7,19.3442,8603900,0.0000,1.0
2023-03-07,19.68,19.78,19.32,19.43,19.0791,6231300,0.0000,1.0
2023-03-06,19.75,19.89,19.5,19.53,19.1773,5234800,0.0000,1.0
2023-03-03,19.67,19.97,19.64,19.72,19.3639,4748900,0.0000,1.0
2023-03-02,19.61,19.88,19.51,19.64,19.2853,5110200,0.0000,1.0
2023-03-01,19.56,19.75,19.18,19.62,19.2657,8440500,0.0000,1.0
2023-02-28,19.09,19.58,19.04,19.46,19.1086,8597400,0.0000,1.0
2023-02-27,19.0,19.22,18.93,19.01,18.6667,3201000,0.0000,1.0
2023-02-24,19.0,19.14,18.86,18.94,18.598,2880300,0.0000,1.0
2023-02-23,18.95,19.18,18.82,18.96,18.6176,5272500,0.0000,1.0
