timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,20.96,21.02,20.32,20.33,20.33,27525000,0.0000,1.0
2023-06-15,21.7,22.0,21.04,21.07,21.07,18731300,0.0000,1.0
2023-06-14,21.58,21.76,20.94,21.49,21.49,30578900,0.0000,1.0
2023-06-13,23.01,23.12,21.33,21.5,21.5,19075900,0.0000,1.0
2023-06-12,21.99,23.16,21.84,22.82,22.82,20245000,0.0000,1.0
2023-06-09,21.86,22.47,21.77,21.83,21.83,16461500,0.0000,1.0
2023-06-07,21.51,22.15,21.24,21.65,21.65,18801200,0.0000,1.0
2023-06-06,20.73,21.44,20.66,21.12,21.12,25728700,0.0000,1.0
2023-06-05,20.5,20.76,20.18,20.52,20.52,8138200,0.0000,1.0
2023-06-02,20.8,21.41,20.33,20.47,20.47,31872300,0.0000,1.0
2023-06-01,19.55,20.74,19.23,20.56,20.56,25138400,0.0000,1.0
2023-05-31,19.39,19.63,18.98,19.45,19.45,20329900,0.0000,1.0
2023-05-30,19.91,20.03,19.1,19.32,19.32,15297600,0.0000,1.0
2023-05-29,20.12,20.19,19.47,19.69,19.69,7576300,0.0000,1.0
2023-05-26,19.83,20.45,19.69,20.04,20.04,23365200,0.0000,1.0
2023-05-25,19.13,19.65,18.81,19.5,19.5,21081000,0.0000,1.0
2023-05-24,18.53,18.68,17.99,18.39,18.39,21261300,0.0000,1.0
2023-05-23,18.95,19.6,18.49,18.62,18.62,33179300,0.0000,1.0
2023-05-22,19.25,19.54,18.9,18.93,18.93,22002000,0.0000,1.0
2023-05-19,18.99,20.11,18.64,19.41,19.41,51183700,0.0000,1.0
2023-05-18,18.41,19.17,18.27,18.85,18.85,31240200,0.0000,1.0
2023-05-17,17.06,18.67,17.05,18.62,18.62,38644400,0.0000,1.0
2023-05-16,17.3,17.58,16.91,16.98,16.98,12257000,0.0000,1.0
2023-05-15,16.95,17.48,16.51,17.34,17.34,16173600,0.0000,1.0
2023-05-12,16.8,17.02,16.57,16.82,16.82,11960600,0.0000,1.0
2023-05-11,17.18,17.36,16.8,16.92,16.92,19472000,0.0000,1.0
2023-05-10,17.53,17.81,17.42,17.5,17.5,19365400,0.0000,1.0
2023-05-09,16.86,17.79,16.86,17.5,17.5,27381700,0.0000,1.0
2023-05-08,16.99,17.64,16.78,16.8,16.8,22736700,0.0000,1.0
2023-05-06,15.43,17.07,15.41,16.9,16.9,36947600,0.0000,1.0
2023-05-05,15.43,17.07,15.41,16.9,16.9,36947600,0.0000,1.0
2023-05-04,15.36,15.76,14.97,15.46,15.46,35952200,0.0000,1.0
2023-05-03,14.95,14.95,14.37,14.57,14.57,24107300,0.0000,1.0
2023-05-02,15.7,15.72,14.85,14.92,14.92,25383700,0.0000,1.0
2023-04-29,15.14,15.86,15.01,15.84,15.84,22743400,0.0000,1.0
2023-04-28,15.14,15.86,15.01,15.84,15.84,22743400,0.0000,1.0
2023-04-27,14.9,15.03,14.46,15.01,15.01,17413100,0.0000,1.0
2023-04-26,14.85,15.25,14.6,14.98,14.98,18527800,0.0000,1.0
2023-04-25,14.77,14.92,14.45,14.77,14.77,20456200,0.0000,1.0
2023-04-24,15.14,15.46,14.97,15.1,15.1,18083100,0.0000,1.0
2023-04-20,15.17,15.48,14.94,15.18,15.18,22440000,0.0000,1.0
2023-04-19,15.81,15.81,15.06,15.17,15.17,21922000,0.0000,1.0
2023-04-18,16.81,16.81,15.94,16.05,16.05,18405300,0.0000,1.0
2023-04-17,16.44,16.94,16.3,16.74,16.74,24215400,0.0000,1.0
2023-04-14,16.72,16.8,16.17,16.3,16.3,28539400,0.0000,1.0
2023-04-13,17.25,17.31,16.62,16.85,16.85,15494000,0.0000,1.0
2023-04-12,17.31,18.0,17.15,17.19,17.19,34929000,0.0000,1.0
2023-04-11,15.9,17.22,15.85,16.9,16.9,46360000,0.0000,1.0
2023-04-10,15.82,15.99,15.43,15.46,15.46,12266200,0.0000,1.0
2023-04-06,15.16,15.73,14.92,15.71,15.71,26650900,0.0000,1.0
2023-04-05,15.42,15.49,14.85,14.97,14.97,29412600,0.0000,1.0
2023-04-04,15.53,15.94,15.39,15.39,15.39,22640600,0.0000,1.0
2023-04-03,16.63,16.63,15.18,15.41,15.41,51077800,0.0000,1.0
2023-03-31,17.5,17.73,16.38,16.57,16.57,50297100,0.0000,1.0
2023-03-30,17.65,18.1,17.37,17.64,17.64,24422300,0.0000,1.0
2023-03-29,17.75,17.8,16.64,17.0,17.0,18473900,0.0000,1.0
2023-03-28,17.3,17.94,16.96,17.87,17.87,19237600,0.0000,1.0
2023-03-27,17.14,17.33,16.84,17.28,17.28,12096400,0.0000,1.0
