timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,2.64,2.7,2.59,2.7,2.7,2804300,0.0000,1.0
2023-06-20,2.49,2.65,2.48,2.62,2.62,1782200,0.0000,1.0
2023-06-19,2.45,2.59,2.43,2.49,2.49,1957700,0.0000,1.0
2023-06-16,2.35,2.42,2.34,2.42,2.42,780500,0.0000,1.0
2023-06-15,2.27,2.39,2.27,2.36,2.36,751000,0.0000,1.0
2023-06-14,2.28,2.31,2.25,2.27,2.27,740100,0.0000,1.0
2023-06-13,2.36,2.37,2.24,2.24,2.24,886900,0.0000,1.0
2023-06-12,2.35,2.38,2.31,2.36,2.36,474000,0.0000,1.0
2023-06-09,2.32,2.44,2.32,2.33,2.33,1178800,0.0000,1.0
2023-06-07,2.39,2.45,2.29,2.3,2.3,1342200,0.0000,1.0
2023-06-06,2.24,2.39,2.22,2.34,2.34,1240000,0.0000,1.0
2023-06-05,2.22,2.24,2.17,2.24,2.24,530300,0.0000,1.0
2023-06-02,2.22,2.29,2.17,2.2,2.2,1061200,0.0000,1.0
2023-06-01,2.18,2.23,2.15,2.18,2.18,963400,0.0000,1.0
2023-05-31,2.17,2.19,2.14,2.18,2.18,365300,0.0000,1.0
2023-05-30,2.24,2.28,2.13,2.16,2.16,871400,0.0000,1.0
2023-05-29,2.2,2.24,2.17,2.21,2.21,660800,0.0000,1.0
2023-05-26,2.16,2.18,2.11,2.17,2.17,725900,0.0000,1.0
2023-05-25,2.06,2.24,2.06,2.14,2.14,1706600,0.0000,1.0
2023-05-24,2.11,2.13,2.04,2.06,2.06,956000,0.0000,1.0
2023-05-23,2.16,2.2,2.08,2.12,2.12,1314000,0.0000,1.0
2023-05-22,2.25,2.29,2.16,2.18,2.18,1523600,0.0000,1.0
2023-05-19,2.28,2.32,2.22,2.24,2.24,799900,0.0000,1.0
2023-05-18,2.19,2.29,2.16,2.29,2.29,687500,0.0000,1.0
2023-05-17,2.07,2.22,2.07,2.18,2.18,835200,0.0000,1.0
2023-05-16,2.24,2.26,2.08,2.08,2.08,947400,0.0000,1.0
2023-05-15,2.3,2.3,2.22,2.24,2.24,760900,0.0000,1.0
2023-05-12,2.25,2.34,2.23,2.3,2.3,709200,0.0000,1.0
2023-05-11,2.35,2.38,2.28,2.3,2.3,1127100,0.0000,1.0
2023-05-10,2.16,2.35,2.14,2.35,2.35,995300,0.0000,1.0
2023-05-09,2.13,2.21,2.13,2.17,2.17,534900,0.0000,1.0
2023-05-08,2.1,2.19,2.1,2.16,2.16,696300,0.0000,1.0
2023-05-06,2.06,2.14,2.06,2.13,2.13,1046500,0.0000,1.0
2023-05-05,2.06,2.14,2.06,2.13,2.13,1046500,0.0000,1.0
2023-05-04,2.1,2.11,2.05,2.08,2.08,718200,0.0000,1.0
2023-05-03,2.09,2.1,2.05,2.08,2.08,517800,0.0000,1.0
2023-05-02,2.12,2.14,2.06,2.11,2.11,585300,0.0000,1.0
2023-04-29,2.06,2.11,2.05,2.1,2.1,758200,0.0000,1.0
2023-04-28,2.06,2.11,2.05,2.1,2.1,758200,0.0000,1.0
2023-04-27,2.04,2.08,2.01,2.08,2.08,777200,0.0000,1.0
2023-04-26,1.94,2.04,1.94,2.04,2.04,891900,0.0000,1.0
2023-04-25,2.0,2.0,1.92,1.93,1.93,917600,0.0000,1.0
2023-04-24,1.99,2.07,1.98,2.0,2.0,479500,0.0000,1.0
2023-04-20,1.94,2.02,1.9,2.02,2.02,883900,0.0000,1.0
2023-04-19,2.08,2.08,1.93,1.93,1.93,1595400,0.0000,1.0
2023-04-18,2.14,2.15,2.07,2.1,2.1,493700,0.0000,1.0
2023-04-17,2.13,2.17,2.12,2.14,2.14,491500,0.0000,1.0
2023-04-14,2.18,2.2,2.11,2.14,2.14,500500,0.0000,1.0
2023-04-13,2.17,2.2,2.14,2.18,2.18,516500,0.0000,1.0
2023-04-12,2.15,2.24,2.12,2.18,2.18,1093000,0.0000,1.0
2023-04-11,1.98,2.15,1.98,2.15,2.15,1788100,0.0000,1.0
2023-04-10,1.96,1.99,1.94,1.96,1.96,423300,0.0000,1.0
2023-04-06,1.97,2.01,1.94,1.94,1.94,446700,0.0000,1.0
2023-04-05,2.04,2.06,1.98,1.98,1.98,614000,0.0000,1.0
2023-04-04,1.92,2.08,1.9,2.05,2.05,2091200,0.0000,1.0
2023-04-03,1.94,1.97,1.86,1.9,1.9,1797600,0.0000,1.0
2023-03-31,1.98,2.0,1.89,1.94,1.94,1281300,0.0000,1.0
2023-03-30,1.99,2.06,1.95,1.98,1.98,1413800,0.0000,1.0
2023-03-29,2.01,2.13,1.91,1.96,1.96,2989300,0.0000,1.0
2023-03-28,1.92,1.96,1.87,1.92,1.92,1038700,0.0000,1.0
2023-03-27,1.88,1.94,1.87,1.94,1.94,595000,0.0000,1.0
2023-03-24,1.82,1.91,1.82,1.88,1.88,533700,0.0000,1.0
2023-03-23,1.99,1.99,1.81,1.82,1.82,1688000,0.0000,1.0
2023-03-22,1.97,2.03,1.95,1.99,1.99,477500,0.0000,1.0
2023-03-21,2.02,2.04,1.95,1.97,1.97,485200,0.0000,1.0
2023-03-20,2.04,2.06,1.98,2.0,2.0,570000,0.0000,1.0
2023-03-17,2.11,2.14,2.04,2.04,2.04,493700,0.0000,1.0
2023-03-16,2.05,2.18,2.02,2.11,2.11,929200,0.0000,1.0
2023-03-15,2.01,2.05,1.99,2.04,2.04,618600,0.0000,1.0
2023-03-14,2.02,2.11,2.02,2.07,2.07,788900,0.0000,1.0
2023-03-13,1.97,2.05,1.92,2.02,2.02,825700,0.0000,1.0
2023-03-10,2.08,2.08,1.97,2.0,2.0,1362000,0.0000,1.0
2023-03-09,2.07,2.12,2.04,2.1,2.1,973000,0.0000,1.0
2023-03-08,2.0,2.1,1.99,2.09,2.09,971700,0.0000,1.0
2023-03-07,1.98,2.03,1.95,2.0,2.0,683400,0.0000,1.0
2023-03-06,1.97,2.04,1.95,1.95,1.95,723300,0.0000,1.0
2023-03-03,1.96,2.03,1.94,1.94,1.94,679000,0.0000,1.0
2023-03-02,1.99,2.01,1.89,1.96,1.96,1100800,0.0000,1.0
2023-03-01,2.01,2.01,1.85,2.0,2.0,1409200,0.0000,1.0
2023-02-28,1.98,2.01,1.96,1.99,1.99,514000,0.0000,1.0
2023-02-27,1.98,2.02,1.97,1.99,1.99,248000,0.0000,1.0
2023-02-24,2.0,2.03,1.97,1.98,1.98,332900,0.0000,1.0
2023-02-23,2.06,2.11,1.96,2.0,2.0,1002300,0.0000,1.0
2023-02-22,2.12,2.12,2.05,2.06,2.06,290300,0.0000,1.0
2023-02-17,2.14,2.15,2.1,2.11,2.11,253400,0.0000,1.0
2023-02-16,2.13,2.15,2.08,2.15,2.15,406000,0.0000,1.0
2023-02-15,2.05,2.14,2.04,2.13,2.13,635300,0.0000,1.0
2023-02-14,2.12,2.15,2.05,2.05,2.05,666200,0.0000,1.0
2023-02-13,2.1,2.15,2.06,2.12,2.12,579800,0.0000,1.0
2023-02-10,2.1,2.18,2.04,2.09,2.09,1028200,0.0000,1.0
2023-02-09,2.24,2.26,2.1,2.1,2.1,1060300,0.0000,1.0
2023-02-08,2.29,2.33,2.22,2.24,2.24,1046800,0.0000,1.0
2023-02-07,2.31,2.35,2.27,2.28,2.28,863400,0.0000,1.0
2023-02-06,2.32,2.35,2.3,2.31,2.31,641400,0.0000,1.0
2023-02-03,2.42,2.43,2.31,2.31,2.31,779100,0.0000,1.0
2023-02-02,2.36,2.54,2.32,2.43,2.43,1379300,0.0000,1.0
2023-02-01,2.54,2.55,2.34,2.35,2.35,2573200,0.0000,1.0
2023-01-31,2.48,2.54,2.48,2.51,2.51,533400,0.0000,1.0
2023-01-30,2.51,2.56,2.46,2.46,2.46,323000,0.0000,1.0
2023-01-27,2.56,2.56,2.5,2.5,2.5,637600,0.0000,1.0
2023-01-26,2.54,2.59,2.5,2.56,2.56,628100,0.0000,1.0
2023-01-25,2.5,2.55,2.45,2.53,2.53,718500,0.0000,1.0
2023-01-24,2.44,2.5,2.44,2.47,2.47,969900,0.0000,1.0
2023-01-23,2.46,2.51,2.43,2.45,2.45,842000,0.0000,1.0
2023-01-20,2.49,2.57,2.45,2.48,2.48,824100,0.0000,1.0
2023-01-19,2.47,2.53,2.45,2.47,2.47,638100,0.0000,1.0
2023-01-18,2.55,2.62,2.49,2.49,2.49,1138700,0.0000,1.0
2023-01-17,2.45,2.6,2.45,2.57,2.57,936400,0.0000,1.0
2023-01-16,2.6,2.64,2.46,2.49,2.49,1543900,0.0000,1.0
2023-01-13,2.84,2.86,2.64,2.64,2.64,2332500,0.0000,1.0
2023-01-12,2.95,2.95,2.84,2.84,2.84,1261500,0.0000,1.0
2023-01-11,3.01,3.06,2.91,2.96,2.96,1351000,0.0000,1.0
2023-01-10,2.87,3.06,2.81,3.01,3.01,2215100,0.0000,1.0
2023-01-09,2.75,2.9,2.72,2.85,2.85,1223600,0.0000,1.0
2023-01-06,2.74,2.85,2.67,2.81,2.81,1438100,0.0000,1.0
2023-01-05,2.66,2.73,2.57,2.73,2.73,1701600,0.0000,1.0
2023-01-04,2.7,2.74,2.62,2.65,2.65,766100,0.0000,1.0
2023-01-03,2.75,2.86,2.67,2.67,2.67,1653400,0.0000,1.0
2023-01-02,2.8,2.81,2.67,2.81,2.81,976900,0.0000,1.0
2022-12-29,2.72,2.87,2.72,2.8,2.8,2408000,0.0000,1.0
2022-12-28,2.73,2.77,2.69,2.73,2.73,642000,0.0000,1.0
2022-12-27,2.8,2.82,2.7,2.73,2.73,1366700,0.0000,1.0
2022-12-26,2.72,2.82,2.65,2.78,2.78,1497100,0.0000,1.0
2022-12-23,2.55,2.7,2.54,2.69,2.69,1117500,0.0000,1.0
2022-12-22,2.62,2.62,2.5,2.52,2.52,1158500,0.0000,1.0
2022-12-21,2.54,2.66,2.53,2.61,2.61,1383800,0.0000,1.0
2022-12-20,2.49,2.62,2.48,2.6,2.6,2524000,0.0000,1.0
2022-12-19,2.75,2.75,2.47,2.47,2.47,5414500,0.0000,1.0
2022-12-16,2.59,2.75,2.55,2.71,2.71,2377300,0.0000,1.0
2022-12-15,2.68,2.78,2.6,2.6,2.6,2758700,0.0000,1.0
2022-12-14,2.62,2.75,2.58,2.72,2.72,2851600,0.0000,1.0
2022-12-13,2.45,2.77,2.45,2.66,2.66,7006300,0.0000,1.0
2022-12-12,2.32,2.53,2.27,2.47,2.47,2994500,0.0000,1.0
2022-12-09,2.3,2.37,2.24,2.34,2.34,1067500,0.0000,1.0
2022-12-08,2.42,2.42,2.24,2.3,2.3,2929600,0.0000,1.0
2022-12-07,2.25,2.43,2.25,2.43,2.43,1615600,0.0000,1.0
2022-12-06,2.26,2.3,2.23,2.26,2.26,689500,0.0000,1.0
2022-12-05,2.27,2.28,2.21,2.25,2.25,674600,0.0000,1.0
2022-12-02,2.29,2.35,2.23,2.3,2.3,1049300,0.0000,1.0
2022-12-01,2.28,2.3,2.24,2.25,2.25,1274900,0.0000,1.0
2022-11-30,2.26,2.3,2.21,2.3,2.3,1163000,0.0000,1.0
2022-11-29,2.18,2.28,2.16,2.26,2.26,1119600,0.0000,1.0
2022-11-28,2.27,2.27,2.17,2.18,2.18,1422400,0.0000,1.0
2022-11-25,2.27,2.3,2.21,2.27,2.27,898200,0.0000,1.0
2022-11-24,2.29,2.36,2.24,2.25,2.25,992000,0.0000,1.0
2022-11-23,2.23,2.28,2.17,2.26,2.26,795700,0.0000,1.0
2022-11-22,2.31,2.38,2.21,2.23,2.23,1833300,0.0000,1.0
2022-11-21,2.16,2.32,2.16,2.32,2.32,1700400,0.0000,1.0
2022-11-18,2.22,2.33,2.16,2.17,2.17,2648200,0.0000,1.0
2022-11-17,2.19,2.22,2.09,2.2,2.2,2876400,0.0000,1.0
2022-11-16,2.27,2.4,2.21,2.24,2.24,3107900,0.0000,1.0
2022-11-14,2.16,2.3,2.16,2.28,2.28,1429000,0.0000,1.0
2022-11-11,2.16,2.26,2.0,2.17,2.17,3451800,0.0000,1.0
2022-11-10,2.32,2.32,2.04,2.09,2.09,5165800,0.0000,1.0
2022-11-09,2.45,2.49,2.34,2.34,2.34,1518600,0.0000,1.0
2022-11-08,2.5,2.54,2.42,2.47,2.47,1058100,0.0000,1.0
2022-11-07,2.66,2.66,2.45,2.5,2.5,1160200,0.0000,1.0
2022-11-04,2.68,2.68,2.57,2.65,2.65,1658900,0.0000,1.0
2022-11-03,2.56,2.7,2.49,2.64,2.64,1966300,0.0000,1.0
2022-11-01,2.58,2.67,2.46,2.59,2.59,4171200,0.0000,1.0
2022-10-31,2.26,2.47,2.25,2.47,2.47,3749200,0.0000,1.0
2022-10-28,2.19,2.34,2.16,2.34,2.34,2009100,0.0000,1.0
2022-10-27,2.12,2.22,2.07,2.19,2.19,1675100,0.0000,1.0
2022-10-26,2.18,2.21,2.08,2.1,2.1,2883200,0.0000,1.0
