timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-22,26.82,26.85,26.8,26.8,26.8,18400,0.0000,1.0
2019-04-18,26.84,26.86,26.82,26.84,26.84,11300,0.0000,1.0
2019-04-17,26.84,26.87,26.79,26.87,26.87,42200,0.0000,1.0
2019-04-16,26.79,26.9,26.73,26.84,26.84,100300,0.0000,1.0
2019-04-15,26.84,26.9,26.84,26.84,26.84,81900,0.0000,1.0
2019-04-12,26.84,26.88,26.84,26.85,26.85,33600,0.0000,1.0
2019-04-11,26.74,26.9,26.74,26.84,26.84,25000,0.0000,1.0
2019-04-10,26.74,26.91,26.73,26.86,26.86,1700400,0.0000,1.0
2019-04-09,26.84,26.85,26.84,26.84,26.84,251000,0.0000,1.0
2019-04-08,26.74,26.78,26.7,26.73,26.73,181100,0.0000,1.0
2019-04-05,26.75,26.82,26.72,26.74,26.74,104300,0.0000,1.0
2019-04-04,26.84,26.86,26.76,26.84,26.84,263100,0.0000,1.0
2019-04-03,26.84,26.86,26.84,26.84,26.84,557700,0.0000,1.0
2019-04-02,26.84,26.95,26.63,26.84,26.84,1123000,0.0000,1.0
2019-04-01,26.7,27.15,26.61,26.99,26.99,155100,0.0000,1.0
2019-03-29,26.66,26.89,26.66,26.84,26.84,220400,0.0000,1.0
2019-03-28,26.7,26.77,26.59,26.67,26.67,333700,0.0000,1.0
2019-03-27,26.69,26.7,26.59,26.7,26.7,176400,0.0000,1.0
2019-03-26,26.74,26.77,26.7,26.72,26.72,179600,0.0000,1.0
2019-03-25,26.66,26.76,26.65,26.76,26.76,280200,0.0000,1.0
2019-03-22,26.7,26.79,26.67,26.79,26.79,682100,0.0000,1.0
2019-03-21,26.74,26.79,26.65,26.78,26.78,463400,0.0000,1.0
2019-03-20,26.67,26.74,26.66,26.74,26.74,313000,0.0000,1.0
2019-03-19,26.74,26.79,26.69,26.7,26.7,2148100,0.0000,1.0
2019-03-18,26.68,26.8,26.66,26.76,26.76,214800,0.0000,1.0
2019-03-15,26.7,26.83,26.68,26.69,26.69,462900,0.0000,1.0
2019-03-14,26.62,26.89,26.55,26.76,26.76,196900,0.0000,1.0
2019-03-13,26.6,26.68,26.55,26.62,26.62,405700,0.0000,1.0
2019-03-12,26.6,26.7,26.54,26.6,26.6,363700,0.0000,1.0
2019-03-11,26.5,26.71,26.45,26.6,26.6,211800,0.0000,1.0
2019-03-08,26.45,26.68,26.44,26.68,26.68,186700,0.0000,1.0
2019-03-07,26.42,26.51,26.39,26.46,26.46,327600,0.0000,1.0
2019-03-06,26.57,26.59,26.34,26.46,26.46,184600,0.0000,1.0
2019-03-01,26.66,26.69,26.59,26.6,26.6,168400,0.0000,1.0
2019-02-28,26.45,26.7,26.44,26.67,26.67,272400,0.0000,1.0
2019-02-27,26.48,26.55,26.42,26.46,26.46,94400,0.0000,1.0
2019-02-26,26.46,26.68,26.44,26.5,26.5,347900,0.0000,1.0
2019-02-25,26.49,26.71,26.38,26.51,26.51,193300,0.0000,1.0
2019-02-22,26.3,26.58,26.25,26.45,26.45,492000,0.0000,1.0
2019-02-21,26.4,26.43,26.26,26.39,26.39,203500,0.0000,1.0
2019-02-20,26.34,26.43,26.2,26.39,26.39,418400,0.0000,1.0
2019-02-19,26.29,26.39,26.18,26.31,26.31,123500,0.0000,1.0
2019-02-18,26.33,26.36,26.1,26.29,26.29,145400,0.0000,1.0
2019-02-15,26.3,26.76,26.3,26.43,26.43,284500,0.0000,1.0
2019-02-14,26.37,26.5,26.26,26.27,26.27,173000,0.0000,1.0
2019-02-13,26.3,26.49,26.16,26.4,26.4,261000,0.0000,1.0
2019-02-12,26.27,26.54,26.22,26.39,26.39,214400,0.0000,1.0
2019-02-11,26.31,26.31,26.01,26.31,26.31,268200,0.0000,1.0
2019-02-08,26.4,26.4,26.16,26.31,26.31,100900,0.0000,1.0
2019-02-07,26.4,26.4,26.16,26.31,26.31,100900,0.0000,1.0
