timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,7.58,7.58,7.23,7.23,7.23,11487100,0.0000,1.0
2023-06-15,7.4,7.57,7.38,7.54,7.54,7502800,0.0000,1.0
2023-06-14,7.38,7.45,7.31,7.39,7.39,10223700,0.0000,1.0
2023-06-13,7.3,7.42,7.22,7.35,7.35,10996200,0.0000,1.0
2023-06-12,7.19,7.32,7.06,7.26,7.26,8792900,0.0000,1.0
2023-06-09,7.02,7.2,7.0,7.14,7.14,9429700,0.0000,1.0
2023-06-07,7.08,7.17,6.91,7.0,7.0,9064800,0.0000,1.0
2023-06-06,6.8,7.09,6.75,7.08,7.08,14735600,0.0000,1.0
2023-06-05,6.71,6.81,6.64,6.79,6.79,8118900,0.0000,1.0
2023-06-02,6.68,6.8,6.53,6.69,6.69,12253600,0.0000,1.0
2023-06-01,6.65,6.79,6.55,6.65,6.65,14741500,0.0000,1.0
2023-05-31,6.35,6.69,6.31,6.64,6.64,33505300,0.0000,1.0
2023-05-30,6.44,6.45,6.21,6.25,6.25,9557200,0.0000,1.0
2023-05-29,6.45,6.47,6.36,6.39,6.39,5740200,0.0000,1.0
2023-05-26,6.54,6.54,6.37,6.42,6.42,7573000,0.0000,1.0
2023-05-25,6.58,6.69,6.41,6.43,6.43,9401000,0.0000,1.0
2023-05-24,6.54,6.54,6.29,6.43,6.43,9821400,0.0000,1.0
2023-05-23,6.85,6.95,6.57,6.59,6.59,12359600,0.0000,1.0
2023-05-22,6.94,7.11,6.88,6.95,6.95,13047700,0.0000,1.0
2023-05-19,6.62,7.01,6.56,6.91,6.91,22116400,0.0000,1.0
2023-05-18,6.26,6.59,6.18,6.56,6.56,14891700,0.0000,1.0
2023-05-17,6.26,6.37,6.19,6.29,6.29,10553100,0.0000,1.0
2023-05-16,6.55,6.58,6.22,6.22,6.22,14185000,0.0000,1.0
2023-05-15,6.6,6.72,6.29,6.61,6.61,13875100,0.0000,1.0
2023-05-12,6.4,6.63,6.15,6.56,6.56,15603700,0.0000,1.0
2023-05-11,6.67,6.82,6.62,6.72,6.72,6749800,0.0000,1.0
2023-05-10,6.7,6.8,6.65,6.7,6.7,6721200,0.0000,1.0
2023-05-09,6.65,6.74,6.56,6.68,6.68,9014300,0.0000,1.0
2023-05-08,6.77,6.78,6.42,6.69,6.69,11559100,0.0000,1.0
2023-05-06,6.71,6.79,6.62,6.73,6.73,8577200,0.0000,1.0
2023-05-05,6.71,6.79,6.62,6.73,6.73,8577200,0.0000,1.0
2023-05-04,6.6,6.71,6.49,6.67,6.67,8204300,0.0000,1.0
2023-05-03,6.39,6.59,6.33,6.55,6.55,7330400,0.0000,1.0
2023-05-02,6.51,6.54,6.31,6.38,6.38,6342900,0.0000,1.0
2023-04-29,6.3,6.55,6.22,6.51,6.51,15505700,0.0000,1.0
2023-04-28,6.3,6.55,6.22,6.51,6.51,15505700,0.0000,1.0
2023-04-27,6.16,6.31,6.13,6.3,6.3,8428600,0.0000,1.0
2023-04-26,6.31,6.37,6.11,6.18,6.18,10188100,0.0000,1.0
2023-04-25,6.33,6.35,6.17,6.33,6.33,5296900,0.0000,1.0
2023-04-24,6.34,6.47,6.3,6.33,6.33,6823600,0.0000,1.0
2023-04-20,6.2,6.44,6.16,6.35,6.35,9505000,0.0000,1.0
2023-04-19,6.29,6.37,6.16,6.22,6.22,10443100,0.0000,1.0
2023-04-18,6.28,6.43,6.18,6.36,6.36,13292600,0.0000,1.0
2023-04-17,6.15,6.3,6.09,6.23,6.23,17502000,0.0000,1.0
2023-04-14,6.35,6.36,6.03,6.14,6.14,30528900,0.0000,1.0
2023-04-13,6.81,6.84,6.29,6.33,6.33,18861700,0.0000,1.0
2023-04-12,6.8,6.95,6.62,6.81,6.81,14824900,0.0000,1.0
2023-04-11,6.48,6.92,6.43,6.75,6.75,13354200,0.0000,1.0
2023-04-10,6.35,6.48,6.3,6.41,6.41,6805200,0.0000,1.0
2023-04-06,6.26,6.51,6.2,6.3,6.3,9582300,0.0000,1.0
2023-04-05,6.37,6.42,6.15,6.27,6.27,11513700,0.0000,1.0
2023-04-04,6.31,6.46,6.21,6.37,6.37,11438400,0.0000,1.0
2023-04-03,6.67,6.68,6.2,6.3,6.3,15668900,0.0000,1.0
2023-03-31,6.78,6.82,6.56,6.64,6.64,7104500,0.0000,1.0
2023-03-30,6.69,6.84,6.66,6.78,6.78,5584400,0.0000,1.0
2023-03-29,6.65,6.72,6.49,6.62,6.62,10585900,0.0000,1.0
2023-03-28,6.61,6.74,6.43,6.64,6.64,5999800,0.0000,1.0
2023-03-27,6.7,6.72,6.55,6.6,6.6,4908900,0.0000,1.0
2023-03-24,6.41,6.65,6.36,6.6,6.6,8151900,0.0000,1.0
2023-03-23,6.96,6.96,6.31,6.37,6.37,15244200,0.0000,1.0
2023-03-22,7.02,7.02,6.67,6.73,6.73,10639600,0.0000,1.0
2023-03-21,7.17,7.27,7.01,7.03,7.03,7633200,0.0000,1.0
2023-03-20,7.33,7.4,7.12,7.14,7.14,6142900,0.0000,1.0
2023-03-17,7.11,7.42,7.08,7.33,7.33,19029000,0.0000,1.0
2023-03-16,6.93,7.63,6.9,7.1,7.1,25564500,0.0000,1.0
2023-03-15,6.68,6.95,6.6,6.87,6.87,7415800,0.0000,1.0
2023-03-14,6.83,6.94,6.68,6.78,6.78,6375600,0.0000,1.0
2023-03-13,6.76,6.83,6.66,6.83,6.83,7336400,0.0000,1.0
2023-03-10,6.99,7.06,6.82,6.83,6.83,8541200,0.0000,1.0
2023-03-09,6.95,7.24,6.95,7.03,7.03,10434700,0.0000,1.0
2023-03-08,6.93,7.13,6.79,6.99,6.99,14768700,0.0000,1.0
2023-03-07,6.94,7.04,6.81,6.95,6.95,9869900,0.0000,1.0
2023-03-06,6.81,6.94,6.7,6.92,6.92,10672300,0.0000,1.0
2023-03-03,6.69,6.82,6.53,6.77,6.77,18477000,0.0000,1.0
2023-03-02,6.4,6.72,6.12,6.65,6.65,26594400,0.0000,1.0
2023-03-01,6.38,6.87,6.29,6.57,6.57,23108600,0.0000,1.0
2023-02-28,6.43,6.61,6.37,6.37,6.37,14796900,0.0000,1.0
2023-02-27,6.35,6.54,6.26,6.45,6.45,12981800,0.0000,1.0
2023-02-24,6.23,6.33,6.13,6.3,6.3,8930200,0.0000,1.0
2023-02-23,6.13,6.37,6.06,6.29,6.29,22215200,0.0000,1.0
2023-02-22,6.5,6.55,6.2,6.27,6.27,11977000,0.0000,1.0
2023-02-17,6.71,6.82,6.56,6.58,6.58,13647500,0.0000,1.0
2023-02-16,6.76,6.84,6.6,6.76,6.76,11750400,0.0000,1.0
2023-02-15,6.59,6.9,6.48,6.84,6.84,17977600,0.0000,1.0
2023-02-14,6.75,6.88,6.52,6.58,6.58,13741900,0.0000,1.0
2023-02-13,6.62,6.81,6.6,6.7,6.7,10507500,0.0000,1.0
2023-02-10,6.72,6.86,6.56,6.62,6.62,10631600,0.0000,1.0
2023-02-09,7.0,7.11,6.71,6.72,6.72,16618800,0.0000,1.0
2023-02-08,6.93,7.01,6.61,7.01,7.01,18743700,0.0000,1.0
2023-02-07,7.21,7.28,6.81,6.81,6.81,22705400,0.0000,1.0
2023-02-06,7.63,7.64,7.18,7.18,7.18,22503500,0.0000,1.0
2023-02-03,7.78,7.87,7.63,7.7,7.7,12438800,0.0000,1.0
2023-02-02,8.05,8.09,7.74,7.78,7.78,14013600,0.0000,1.0
2023-02-01,7.7,8.24,7.58,8.11,8.11,25539700,0.0000,1.0
2023-01-31,7.79,7.85,7.54,7.7,7.7,19714600,0.0000,1.0
2023-01-30,8.03,8.22,7.69,7.79,7.79,13483400,0.0000,1.0
2023-01-27,8.29,8.29,8.0,8.03,8.03,10470900,0.0000,1.0
2023-01-26,8.39,8.44,8.24,8.3,8.3,6040700,0.0000,1.0
2023-01-25,8.38,8.44,8.24,8.38,8.38,6552600,0.0000,1.0
2023-01-24,8.45,8.5,8.27,8.4,8.4,6942600,0.0000,1.0
2023-01-23,8.28,8.48,8.16,8.42,8.42,10830000,0.0000,1.0
2023-01-20,8.25,8.36,8.15,8.19,8.19,6806600,0.0000,1.0
2023-01-19,8.19,8.3,8.07,8.27,8.27,7215400,0.0000,1.0
2023-01-18,8.38,8.39,8.11,8.23,8.23,8469900,0.0000,1.0
2023-01-17,8.09,8.43,7.97,8.3,8.3,9449300,0.0000,1.0
2023-01-16,8.34,8.37,7.96,8.06,8.06,9926400,0.0000,1.0
2023-01-13,8.58,8.73,8.27,8.37,8.37,11191500,0.0000,1.0
2023-01-12,8.6,8.86,8.38,8.64,8.64,12954400,0.0000,1.0
2023-01-11,8.6,8.68,8.33,8.64,8.64,12582700,0.0000,1.0
2023-01-10,8.3,8.69,8.21,8.58,8.58,14513700,0.0000,1.0
2023-01-09,8.33,8.46,8.27,8.34,8.34,14593700,0.0000,1.0
2023-01-06,8.46,8.56,8.3,8.45,8.45,10988500,0.0000,1.0
2023-01-05,8.38,8.47,8.04,8.47,8.47,15022300,0.0000,1.0
2023-01-04,8.2,8.35,7.97,8.35,8.35,10294100,0.0000,1.0
2023-01-03,8.35,8.46,8.14,8.19,8.19,11517500,0.0000,1.0
2023-01-02,8.67,8.69,8.24,8.36,8.36,5620500,0.0000,1.0
2022-12-29,8.37,8.7,8.28,8.7,8.7,12983300,0.0000,1.0
2022-12-28,7.96,8.35,7.92,8.35,8.35,12287800,0.0000,1.0
2022-12-27,8.02,8.05,7.73,7.95,7.95,8480600,0.0000,1.0
2022-12-26,7.91,8.04,7.8,7.93,7.93,7069400,0.0000,1.0
2022-12-23,7.44,7.96,7.39,7.91,7.91,22787100,0.0000,1.0
2022-12-22,7.05,7.44,6.91,7.44,7.44,20988000,0.0000,1.0
2022-12-21,6.87,6.97,6.73,6.97,6.97,16158700,0.0000,1.0
2022-12-20,6.95,7.04,6.79,6.84,6.84,23186700,0.0000,1.0
2022-12-19,8.01,8.06,7.82,7.86,6.9505,25369300,0.9095,1.0
2022-12-16,7.86,8.12,7.66,7.74,6.8444,37584200,0.0000,1.0
2022-12-15,7.33,7.73,7.29,7.64,6.7559,34096000,0.0000,1.0
2022-12-14,7.28,7.29,7.01,7.16,6.3315,21701300,0.0000,1.0
2022-12-13,7.72,7.79,7.26,7.31,6.4641,19826500,0.0000,1.0
2022-12-12,7.52,7.74,7.29,7.68,6.7913,20487500,0.0000,1.0
2022-12-09,7.74,7.78,7.56,7.56,6.6852,6909800,0.0000,1.0
2022-12-08,8.02,8.05,7.59,7.62,6.7383,12222800,0.0000,1.0
2022-12-07,7.93,8.13,7.83,8.05,7.1185,13835600,0.0000,1.0
2022-12-06,7.93,8.1,7.77,7.93,7.0124,18869700,0.0000,1.0
2022-12-05,8.08,8.54,7.74,7.8,6.8974,19788300,0.0000,1.0
2022-12-02,8.22,8.62,8.09,8.09,7.1539,21447800,0.0000,1.0
2022-12-01,8.76,8.79,8.11,8.14,7.1981,24527900,0.0000,1.0
2022-11-30,9.08,9.15,8.57,8.75,7.7375,23692800,0.0000,1.0
2022-11-29,9.1,9.23,9.01,9.06,8.0116,11520900,0.0000,1.0
2022-11-28,9.59,9.64,8.97,9.05,8.0028,18545200,0.0000,1.0
2022-11-25,9.83,9.95,9.58,9.62,8.5068,6603400,0.0000,1.0
2022-11-24,9.86,9.95,9.7,9.84,8.7014,7531700,0.0000,1.0
2022-11-23,9.42,9.96,9.4,9.78,8.6483,10892800,0.0000,1.0
2022-11-22,9.88,10.0,9.37,9.48,8.383,13375300,0.0000,1.0
2022-11-21,10.09,10.09,9.53,9.8,8.666,15239000,0.0000,1.0
2022-11-18,10.29,10.64,9.88,9.9,8.7544,11500800,0.0000,1.0
2022-11-17,10.01,10.23,9.87,10.13,8.9578,16928100,0.0000,1.0
2022-11-16,10.89,10.98,10.08,10.15,8.9755,16330200,0.0000,1.0
2022-11-14,11.72,11.72,10.76,10.89,9.6299,16792400,0.0000,1.0
2022-11-11,10.6,11.89,10.36,11.76,10.3992,18582800,0.0000,1.0
2022-11-10,11.27,11.58,10.72,10.83,9.5768,10392500,0.0000,1.0
2022-11-09,11.36,11.75,11.32,11.43,10.1074,6097500,0.0000,1.0
2022-11-08,11.38,11.53,11.23,11.42,10.0985,6206700,0.0000,1.0
2022-11-07,11.51,11.71,11.28,11.41,10.0897,4908100,0.0000,1.0
2022-11-04,11.5,11.82,11.5,11.53,10.1958,9099500,0.0000,1.0
2022-11-03,10.91,11.38,10.77,11.3,9.9924,9611700,0.0000,1.0
