timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,11.93,11.93,11.61,11.7,11.7,5305300,0.0000,1.0
2023-06-15,11.99,12.3,11.62,11.92,11.92,12333700,0.0000,1.0
2023-06-14,11.2,11.83,11.15,11.83,11.83,19484500,0.0000,1.0
2023-06-13,11.72,11.86,10.79,11.04,11.04,11516000,0.0000,1.0
2023-06-12,11.63,11.71,11.47,11.6,11.6,8126500,0.0000,1.0
2023-06-09,11.74,12.06,11.59,11.65,11.65,11021900,0.0000,1.0
2023-06-07,11.92,11.98,11.12,11.69,11.69,19941600,0.0000,1.0
2023-06-06,10.97,11.81,10.97,11.81,11.81,13552400,0.0000,1.0
2023-06-05,10.75,11.07,10.62,10.9,10.9,6875100,0.0000,1.0
2023-06-02,10.74,11.03,10.6,10.75,10.75,10005600,0.0000,1.0
2023-06-01,10.1,10.8,10.06,10.7,10.7,14340600,0.0000,1.0
2023-05-31,9.81,10.16,9.7,10.08,10.08,8478700,0.0000,1.0
2023-05-30,10.06,10.14,9.68,9.83,9.83,6860300,0.0000,1.0
2023-05-29,10.02,10.06,9.8,9.93,9.93,3247500,0.0000,1.0
2023-05-26,10.11,10.24,9.87,9.92,9.92,8886300,0.0000,1.0
2023-05-25,9.3,10.09,9.3,10.04,10.04,21673800,0.0000,1.0
2023-05-24,9.26,9.27,8.98,9.1,9.1,15158200,0.0000,1.0
2023-05-23,9.46,9.83,9.28,9.28,9.28,10772600,0.0000,1.0
2023-05-22,9.9,9.95,9.46,9.5,9.5,8655300,0.0000,1.0
2023-05-19,9.15,9.95,9.0,9.83,9.83,19648800,0.0000,1.0
2023-05-18,8.89,9.25,8.81,9.14,9.14,7847600,0.0000,1.0
2023-05-17,8.9,9.02,8.81,8.9,8.9,7377700,0.0000,1.0
2023-05-16,8.83,9.04,8.72,8.81,8.81,8147600,0.0000,1.0
2023-05-15,8.9,8.99,8.74,8.84,8.84,9559700,0.0000,1.0
2023-05-12,9.2,9.3,8.83,8.87,8.87,15347600,0.0000,1.0
2023-05-11,8.71,9.12,8.57,9.11,9.11,19530400,0.0000,1.0
2023-05-10,8.26,8.81,8.24,8.8,8.8,15331900,0.0000,1.0
2023-05-09,8.07,8.48,7.99,8.26,8.26,11842300,0.0000,1.0
2023-05-08,8.1,8.16,7.87,8.16,8.16,12102100,0.0000,1.0
2023-05-06,7.44,8.15,7.36,8.12,8.12,15889200,0.0000,1.0
2023-05-05,7.44,8.15,7.36,8.12,8.12,15889200,0.0000,1.0
2023-05-04,7.05,7.52,7.05,7.39,7.39,13558300,0.0000,1.0
