timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,26.72,27.46,26.43,27.41,27.41,7654100,0.0000,1.0
2023-06-20,26.5,26.5,26.5,26.5,26.5,4069100,0.0000,1.0
2023-06-19,26.5,26.74,26.41,26.5,26.5,1874500,0.0000,1.0
2023-06-16,26.7,26.78,26.32,26.47,26.47,5722300,0.0000,1.0
2023-06-15,27.01,27.13,26.47,26.87,26.87,4330500,0.0000,1.0
2023-06-14,26.87,27.15,26.54,27.06,27.06,5674700,0.0000,1.0
2023-06-13,27.46,27.46,26.57,26.72,26.72,4550500,0.0000,1.0
2023-06-12,27.25,27.46,26.83,27.23,27.23,7720700,0.0000,1.0
2023-06-09,27.15,27.66,26.78,27.03,27.03,6991000,0.0000,1.0
2023-06-07,26.52,27.74,26.52,27.08,27.08,8170300,0.0000,1.0
2023-06-06,25.95,26.91,25.81,26.57,26.57,7668600,0.0000,1.0
2023-06-05,26.44,26.44,25.77,25.99,25.99,10852300,0.0000,1.0
2023-06-02,26.76,27.1,25.92,26.13,26.13,8769900,0.0000,1.0
2023-06-01,26.58,26.72,26.26,26.48,26.48,9663500,0.0000,1.0
2023-05-31,26.78,26.78,26.35,26.53,26.53,3485500,0.0000,1.0
2023-05-30,26.92,27.14,26.53,26.75,26.75,3690500,0.0000,1.0
2023-05-29,27.03,27.03,26.58,26.79,26.79,1788800,0.0000,1.0
2023-05-26,27.09,27.22,26.56,26.92,26.92,4220600,0.0000,1.0
2023-05-25,26.56,27.2,26.48,26.79,26.79,8656200,0.0000,1.0
2023-05-24,26.6,26.77,26.32,26.5,26.5,5598000,0.0000,1.0
2023-05-23,26.84,27.2,26.68,26.73,26.73,3727700,0.0000,1.0
2023-05-22,26.82,27.51,26.78,26.86,26.86,6560400,0.0000,1.0
2023-05-19,27.04,27.34,26.6,27.05,27.05,8010100,0.0000,1.0
2023-05-18,26.61,27.02,26.4,26.92,26.92,5907800,0.0000,1.0
2023-05-17,26.48,26.88,26.35,26.62,26.62,5483600,0.0000,1.0
2023-05-16,26.95,27.2,26.28,26.44,26.44,7953100,0.0000,1.0
2023-05-15,26.78,26.99,26.42,26.92,26.92,4118100,0.0000,1.0
2023-05-12,26.81,27.23,26.69,26.85,26.85,3976700,0.0000,1.0
2023-05-11,27.0,27.27,26.67,27.1,27.1,4742000,0.0000,1.0
2023-05-10,26.99,27.3,26.74,27.2,27.2,3775400,0.0000,1.0
2023-05-09,26.9,27.49,26.85,27.03,27.03,3617800,0.0000,1.0
2023-05-08,27.4,27.55,26.56,26.89,26.89,4121400,0.0000,1.0
2023-05-05,26.9,27.4,26.53,27.23,27.23,4317900,0.0000,1.0
2023-05-04,26.0,26.82,25.9,26.57,26.57,5346000,0.0000,1.0
2023-05-03,25.73,25.96,25.38,25.9,25.9,3085600,0.0000,1.0
2023-05-02,25.95,25.95,25.36,25.62,25.62,2467200,0.0000,1.0
2023-04-28,25.5,26.34,25.42,25.9,25.9,6596400,0.0000,1.0
2023-04-27,24.66,25.39,24.6,25.15,25.15,2625600,0.0000,1.0
2023-04-26,24.73,25.04,24.46,24.66,24.66,2887200,0.0000,1.0
2023-04-25,24.95,25.04,24.66,24.83,24.83,2711900,0.0000,1.0
2023-04-24,24.95,25.36,24.95,25.05,25.05,3465300,0.0000,1.0
2023-04-20,25.45,25.58,24.95,25.15,25.15,3090100,0.0000,1.0
2023-04-19,25.39,25.56,25.0,25.17,25.17,3225100,0.0000,1.0
2023-04-18,26.13,26.3,25.62,25.77,25.77,2250000,0.0000,1.0
2023-04-17,25.96,26.11,25.69,25.99,25.99,1574400,0.0000,1.0
2023-04-14,25.93,26.07,25.3,25.92,25.92,1563900,0.0000,1.0
2023-04-13,26.18,26.18,25.63,25.9,25.9,2873900,0.0000,1.0
2023-04-12,25.96,26.44,25.84,25.95,25.95,8202500,0.0000,1.0
2023-04-11,25.8,26.49,25.67,25.83,25.83,6451000,0.0000,1.0
2023-04-10,25.36,25.64,25.23,25.61,25.61,2399700,0.0000,1.0
2023-04-06,25.25,25.57,24.97,25.32,25.32,2376800,0.0000,1.0
2023-04-05,25.15,25.37,24.65,25.11,25.11,4289400,0.0000,1.0
2023-04-04,24.41,25.19,24.38,24.97,24.97,2827500,0.0000,1.0
2023-04-03,24.51,24.62,23.85,24.43,24.43,4673500,0.0000,1.0
2023-03-31,24.96,25.02,24.23,24.64,24.64,4551600,0.0000,1.0
2023-03-30,24.94,25.61,24.64,25.07,24.9419,4556400,0.1281,1.0
2023-03-29,24.63,24.75,24.18,24.52,24.3947,4033900,0.0000,1.0
2023-03-28,24.21,24.65,24.0,24.52,24.3947,2598000,0.0000,1.0
2023-03-27,24.14,24.32,23.95,24.18,24.0564,1746800,0.0000,1.0
2023-03-24,23.54,24.38,23.49,24.05,23.9243,2998600,0.0000,1.0
