timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-12-16,36.7,38.42,36.7,38.0,38.0,3426200,0.0000,1.0
2019-12-13,35.55,37.35,35.5,36.71,36.71,7873900,0.0000,1.0
2019-12-12,34.69,35.69,34.57,35.32,35.32,4706800,0.0000,1.0
2019-12-11,34.61,34.81,34.3,34.55,34.55,2822500,0.0000,1.0
2019-12-10,33.83,34.64,33.2,34.64,34.64,3855300,0.0000,1.0
2019-12-09,34.5,34.74,33.73,34.08,34.08,3244700,0.0000,1.0
2019-12-06,34.33,34.69,34.09,34.32,34.32,2006800,0.0000,1.0
2019-12-05,34.38,34.75,34.04,34.33,34.33,2912000,0.0000,1.0
2019-12-04,33.91,34.55,33.91,34.27,34.27,4513700,0.0000,1.0
2019-12-03,33.51,34.2,32.96,34.0,34.0,7233800,0.0000,1.0
2019-12-02,33.26,33.5,32.62,33.4,33.4,4681400,0.0000,1.0
2019-11-29,33.26,33.45,32.91,33.12,33.12,4705200,0.0000,1.0
2019-11-28,32.54,33.5,32.2,33.2,33.2,2403900,0.0000,1.0
2019-11-27,32.26,32.4,31.76,32.4,32.4,2381500,0.0000,1.0
2019-11-26,31.89,32.32,31.15,32.09,32.09,9144600,0.0000,1.0
2019-11-25,32.0,32.5,31.57,31.92,31.92,3100700,0.0000,1.0
2019-11-22,31.74,32.25,31.46,32.0,32.0,2660900,0.0000,1.0
2019-11-21,31.25,31.9,30.88,31.9,31.9,5312500,0.0000,1.0
2019-11-19,31.06,31.3,30.31,31.18,31.18,10535000,0.0000,1.0
2019-11-18,32.5,32.5,30.85,31.0,31.0,18184600,0.0000,1.0
2019-11-14,31.37,32.68,31.15,32.03,32.03,8189600,0.0000,1.0
2019-11-13,32.45,32.76,31.51,32.09,32.09,3987000,0.0000,1.0
2019-11-12,33.22,33.27,32.3,32.43,32.43,3609600,0.0000,1.0
2019-11-11,33.58,33.94,33.1,33.4,33.4,3512100,0.0000,1.0
2019-11-08,33.69,34.29,33.36,33.58,33.58,4727600,0.0000,1.0
2019-11-07,32.78,34.12,32.59,34.1,34.1,9965900,0.1278,1.0
2019-11-06,30.26,31.75,29.82,31.61,31.4822,8828400,0.0000,1.0
2019-11-05,31.27,31.49,30.17,30.2,30.0779,5266300,0.0000,1.0
2019-11-04,31.81,31.84,30.86,31.04,30.9145,4141600,0.0000,1.0
2019-11-01,31.15,32.0,31.05,31.8,31.6714,4434800,0.0000,1.0
2019-10-31,31.0,31.65,30.62,31.16,31.034,5250200,0.0000,1.0
2019-10-30,30.31,31.12,30.05,31.01,30.8846,7151400,0.0000,1.0
