timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,16.22,17.51,16.16,17.28,17.28,40624900,0.0000,1.0
2023-06-20,15.97,16.08,15.72,16.07,16.07,13492100,0.0000,1.0
2023-06-19,16.46,16.55,15.91,16.07,16.07,8628500,0.0000,1.0
2023-06-16,16.5,16.67,16.28,16.46,16.46,14064100,0.0000,1.0
2023-06-15,16.45,16.75,16.2,16.6,16.6,8182100,0.0000,1.0
2023-06-14,16.08,16.72,15.93,16.45,16.45,21100200,0.0000,1.0
2023-06-13,16.1,16.2,15.76,15.94,15.94,18351000,0.0000,1.0
2023-06-12,15.99,16.15,15.7,15.97,15.97,16053000,0.0000,1.0
2023-06-09,15.68,16.29,15.57,15.95,15.95,31456500,0.0000,1.0
2023-06-07,15.59,15.95,15.32,15.44,15.44,18454600,0.0000,1.0
2023-06-06,14.82,15.47,14.72,15.33,15.33,20459500,0.0000,1.0
2023-06-05,14.42,14.83,14.39,14.73,14.73,13246800,0.0000,1.0
2023-06-02,14.6,14.72,14.37,14.42,14.42,15278600,0.0000,1.0
2023-06-01,13.97,14.56,13.78,14.39,14.39,30210000,0.0000,1.0
2023-05-31,13.82,13.9,13.58,13.89,13.89,22798900,0.0000,1.0
2023-05-30,13.8,14.08,13.63,13.82,13.82,18785300,0.0000,1.0
2023-05-29,13.89,13.94,13.52,13.7,13.7,4980300,0.0000,1.0
2023-05-26,13.6,14.04,13.52,13.76,13.76,9488500,0.0000,1.0
2023-05-25,13.46,13.79,13.43,13.5,13.5,7275100,0.0000,1.0
2023-05-24,13.22,13.58,13.13,13.34,13.34,7686900,0.0000,1.0
2023-05-23,13.48,13.8,13.34,13.36,13.36,12967000,0.0000,1.0
2023-05-22,13.2,14.04,13.02,13.65,13.65,22085700,0.0000,1.0
2023-05-19,13.54,13.54,13.17,13.22,13.22,16716000,0.0000,1.0
2023-05-18,13.15,13.58,13.05,13.29,13.29,15815400,0.0000,1.0
2023-05-17,12.93,13.3,12.82,13.22,13.22,14558800,0.0000,1.0
2023-05-16,13.25,13.35,12.78,12.78,12.78,13688200,0.0000,1.0
2023-05-15,13.27,13.54,13.15,13.28,13.28,11648300,0.0000,1.0
2023-05-12,12.8,13.26,12.45,13.2,13.2,16246000,0.0000,1.0
2023-05-11,12.81,13.0,12.43,12.92,12.92,16439300,0.0000,1.0
2023-05-10,12.98,13.6,12.71,12.86,12.86,28273500,0.0000,1.0
