timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,11.68,12.11,11.57,12.1,12.1,2765100,0.0000,1.0
2023-06-20,11.49,11.7,11.44,11.66,11.66,1335700,0.0000,1.0
2023-06-19,11.55,11.68,11.42,11.54,11.54,1007100,0.0000,1.0
2023-06-16,11.8,11.83,11.55,11.55,11.55,8472800,0.0000,1.0
2023-06-15,12.19,12.21,11.75,11.86,11.86,4188800,0.0000,1.0
2023-06-14,11.9,12.35,11.81,12.21,12.21,2347300,0.0000,1.0
2023-06-13,12.16,12.16,11.52,11.85,11.85,2547400,0.0000,1.0
2023-06-12,11.99,12.16,11.84,12.13,12.13,2095600,0.0000,1.0
2023-06-09,11.67,11.89,11.64,11.82,11.82,2243800,0.0000,1.0
2023-06-07,11.41,11.77,11.34,11.67,11.67,3428600,0.0000,1.0
2023-06-06,11.5,11.69,11.42,11.45,11.45,1184600,0.0000,1.0
2023-06-05,11.11,11.45,10.89,11.4,11.4,3613700,0.0000,1.0
2023-06-02,11.11,11.32,11.0,11.15,11.15,1909500,0.0000,1.0
2023-06-01,10.7,11.05,10.7,11.05,11.05,2633300,0.0000,1.0
2023-05-31,11.37,11.39,10.57,10.63,10.63,5504300,0.0000,1.0
2023-05-30,11.74,11.8,11.33,11.37,11.37,1078600,0.0000,1.0
2023-05-29,11.81,11.86,11.38,11.74,11.74,1956300,0.0000,1.0
2023-05-26,11.77,11.91,11.77,11.84,11.84,1369200,0.0000,1.0
2023-05-25,11.55,11.73,11.46,11.7,11.7,1599700,0.0000,1.0
2023-05-24,11.36,11.58,11.36,11.37,11.37,1156500,0.0000,1.0
2023-05-23,11.45,11.56,11.32,11.44,11.44,1241500,0.0000,1.0
2023-05-22,11.59,11.68,11.45,11.45,11.45,2128400,0.0000,1.0
2023-05-19,11.35,11.59,11.32,11.58,11.58,1443200,0.0000,1.0
2023-05-18,11.11,11.28,11.11,11.28,11.28,864100,0.0000,1.0
2023-05-17,11.15,11.23,11.09,11.14,11.14,912700,0.0000,1.0
2023-05-16,11.35,11.49,11.06,11.14,11.14,2584100,0.0000,1.0
2023-05-15,11.08,11.35,11.08,11.28,11.28,1633000,0.0000,1.0
2023-05-12,11.06,11.23,10.92,11.08,11.08,1418300,0.0000,1.0
2023-05-11,10.69,11.33,10.63,11.07,11.07,6701000,0.0000,1.0
2023-05-10,10.31,10.52,10.26,10.47,10.47,2412400,0.0000,1.0
2023-05-09,10.27,10.35,10.19,10.28,10.28,1326600,0.0000,1.0
2023-05-08,10.39,10.42,10.19,10.27,10.27,1719600,0.0000,1.0
2023-05-06,9.99,10.38,9.89,10.27,10.27,14344200,0.0000,1.0
2023-05-05,9.99,10.38,9.89,10.27,10.27,14344200,0.0000,1.0
2023-05-04,9.95,9.99,9.87,9.92,9.92,961200,0.0000,1.0
2023-05-03,9.96,9.99,9.82,9.95,9.95,1573100,0.0000,1.0
2023-05-02,10.0,10.04,9.84,9.95,9.95,3188900,0.0000,1.0
2023-04-29,9.93,10.06,9.9,10.0,10.0,5599300,0.0000,1.0
2023-04-28,9.93,10.06,9.9,10.0,10.0,5599300,0.0000,1.0
2023-04-27,9.88,9.95,9.8,9.9,9.9,3518900,0.0000,1.0
2023-04-26,9.88,9.97,9.8,9.88,9.88,2980400,0.0000,1.0
2023-04-25,9.88,9.88,9.68,9.87,9.87,1254100,0.0000,1.0
2023-04-24,10.18,10.18,9.85,9.87,9.87,1736200,0.0000,1.0
2023-04-20,10.28,10.41,10.18,10.35,10.3064,1291200,0.2172,1.0
2023-04-19,10.36,10.45,10.21,10.28,10.2367,1550500,0.0000,1.0
2023-04-18,10.73,10.8,10.33,10.43,10.3861,1417000,0.0000,1.0
2023-04-17,10.59,10.78,10.5,10.64,10.5952,1792700,0.0000,1.0
2023-04-14,10.64,10.66,10.52,10.6,10.376,922500,0.0000,1.0
2023-04-13,10.81,10.84,10.64,10.69,10.4641,1446400,0.0000,1.0
2023-04-12,10.61,10.95,10.56,10.81,10.5816,4206000,0.0000,1.0
2023-04-11,10.86,11.28,10.75,10.77,10.5424,3478800,0.0000,1.0
2023-04-10,10.95,10.97,10.79,10.86,10.6305,659600,0.0000,1.0
2023-04-06,10.56,10.91,10.48,10.82,10.5914,1167300,0.0000,1.0
2023-04-05,10.91,11.05,10.36,10.46,10.239,1025700,0.0000,1.0
2023-04-04,10.96,11.19,10.87,11.04,10.8067,3922300,0.0000,1.0
2023-04-03,10.95,11.06,10.72,10.96,10.7284,1694600,0.0000,1.0
2023-03-31,11.05,11.1,10.91,11.0,10.7676,2467800,0.0000,1.0
2023-03-30,11.29,11.3,11.07,11.09,10.8557,1456500,0.0000,1.0
2023-03-29,11.3,11.3,10.99,11.17,10.934,1259000,0.0000,1.0
2023-03-28,11.01,11.27,10.95,11.2,10.9634,1380500,0.0000,1.0
2023-03-27,11.02,11.22,10.92,11.03,10.797,1068000,0.0000,1.0
2023-03-24,10.99,11.12,10.92,10.98,10.748,1103000,0.0000,1.0
2023-03-23,11.03,11.09,10.9,10.99,10.7578,2600200,0.0000,1.0
2023-03-22,10.95,11.15,10.94,11.03,10.797,967800,0.0000,1.0
2023-03-21,11.04,11.26,10.99,11.02,10.7872,1239600,0.0000,1.0
2023-03-20,10.92,11.05,10.84,10.97,10.7382,1378400,0.0000,1.0
2023-03-17,11.12,11.12,10.88,11.0,10.7676,5261400,0.0384,1.0
2023-03-16,11.15,11.27,10.98,11.16,10.8866,1082800,0.0000,1.0
2023-03-15,11.01,11.17,10.91,11.1,10.828,946300,0.0000,1.0
2023-03-14,11.57,11.64,11.05,11.12,10.8476,1624100,0.0000,1.0
2023-03-13,11.43,11.66,11.29,11.51,11.228,962200,0.0000,1.0
2023-03-10,11.57,11.65,11.2,11.51,11.228,1297100,0.0000,1.0
2023-03-09,11.71,11.93,11.6,11.66,11.3743,1412000,0.0000,1.0
2023-03-08,11.97,11.99,11.66,11.71,11.4231,1421400,0.0000,1.0
