timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-19,4.1,4.27,3.81,4.18,4.18,2334300,0.0000,1.0
2023-06-16,4.03,4.12,3.94,3.99,3.99,615200,0.0000,1.0
2023-06-15,4.01,4.04,3.94,4.04,4.04,296200,0.0000,1.0
2023-06-14,3.96,4.04,3.95,3.96,3.96,238700,0.0000,1.0
2023-06-13,4.09,4.09,3.93,3.98,3.98,231700,0.0000,1.0
2023-06-12,4.06,4.11,3.92,3.98,3.98,345700,0.0000,1.0
2023-06-09,4.22,4.23,4.06,4.06,4.06,320600,0.0000,1.0
2023-06-07,4.24,4.24,4.11,4.22,4.22,301300,0.0000,1.0
2023-06-06,4.07,4.21,4.04,4.21,4.21,391100,0.0000,1.0
2023-06-05,4.14,4.16,4.04,4.07,4.07,421500,0.0000,1.0
2023-06-02,4.15,4.15,4.02,4.15,4.15,770600,0.0000,1.0
2023-06-01,4.03,4.13,3.98,4.08,4.08,525900,0.0000,1.0
2023-05-31,4.04,4.07,3.92,4.03,4.03,169700,0.0000,1.0
2023-05-30,4.01,4.05,3.95,4.03,4.03,161000,0.0000,1.0
2023-05-29,4.1,4.1,3.94,3.98,3.98,300900,0.0000,1.0
2023-05-26,4.1,4.18,4.0,4.05,4.05,535700,0.0000,1.0
2023-05-25,3.98,4.1,3.97,4.1,4.1,1179800,0.0000,1.0
2023-05-24,4.0,4.09,3.94,4.0,4.0,313000,0.0000,1.0
2023-05-23,3.94,4.11,3.88,3.97,3.97,386900,0.0000,1.0
2023-05-22,3.95,4.06,3.86,3.88,3.88,486700,0.0000,1.0
2023-05-19,4.08,4.08,3.9,3.95,3.95,1234200,0.0000,1.0
2023-05-18,3.65,4.13,3.65,4.0,4.0,1868000,0.0000,1.0
2023-05-17,3.49,3.65,3.48,3.61,3.61,642200,0.0000,1.0
2023-05-16,3.37,3.49,3.37,3.49,3.49,186100,0.0000,1.0
2023-05-15,3.49,3.55,3.35,3.42,3.42,353600,0.0000,1.0
2023-05-12,3.29,3.55,3.2,3.49,3.49,1220900,0.0000,1.0
2023-05-11,3.13,3.35,3.13,3.35,3.35,1510200,0.0000,1.0
2023-05-10,3.18,3.2,3.15,3.2,3.2,58000,0.0000,1.0
2023-05-09,3.07,3.21,3.07,3.21,3.21,509600,0.0000,1.0
2023-05-08,3.15,3.17,3.03,3.09,3.09,379100,0.0000,1.0
2023-05-06,3.04,3.16,2.99,3.11,3.11,1049600,0.0000,1.0
2023-05-05,3.04,3.16,2.99,3.11,3.11,1049600,0.0000,1.0
2023-05-04,3.0,3.1,2.94,3.02,3.02,455900,0.0000,1.0
2023-05-03,2.93,3.05,2.91,2.98,2.98,283400,0.0000,1.0
2023-05-02,3.01,3.05,2.91,2.91,2.91,358600,0.0000,1.0
2023-04-29,2.84,3.03,2.78,3.02,3.02,896500,0.0000,1.0
2023-04-28,2.84,3.02,2.78,3.02,3.02,896500,0.0000,1.0
2023-04-27,2.86,2.86,2.8,2.82,2.82,302900,0.0000,1.0
2023-04-26,2.82,2.87,2.82,2.86,2.86,117200,0.0000,1.0
2023-04-25,2.78,2.86,2.78,2.81,2.81,85900,0.0000,1.0
2023-04-24,2.74,2.85,2.74,2.81,2.81,83700,0.0000,1.0
2023-04-20,2.77,2.83,2.73,2.77,2.77,255500,0.0000,1.0
2023-04-19,2.88,2.88,2.78,2.78,2.78,126100,0.0000,1.0
2023-04-18,2.94,2.94,2.87,2.88,2.88,254600,0.0000,1.0
2023-04-17,3.09,3.09,2.94,2.94,2.94,388400,0.0000,1.0
2023-04-14,2.99,3.1,2.96,3.1,3.1,127800,0.0000,1.0
2023-04-13,2.89,3.06,2.82,3.05,3.05,282400,0.0000,1.0
2023-04-12,2.87,2.93,2.85,2.85,2.85,232400,0.0000,1.0
2023-04-11,2.77,2.86,2.76,2.84,2.84,365700,0.0000,1.0
2023-04-10,2.74,2.78,2.72,2.72,2.72,185900,0.0000,1.0
2023-04-06,2.84,2.84,2.71,2.73,2.73,324700,0.0000,1.0
2023-04-05,2.87,2.87,2.79,2.84,2.84,259100,0.0000,1.0
2023-04-04,2.88,2.9,2.83,2.85,2.85,143400,0.0000,1.0
2023-04-03,3.0,3.0,2.84,2.84,2.84,1106000,0.0000,1.0
2023-03-31,2.95,3.0,2.85,3.0,3.0,236500,0.0000,1.0
2023-03-30,2.89,2.95,2.83,2.95,2.95,480800,0.0000,1.0
2023-03-29,2.85,2.89,2.75,2.89,2.89,411600,0.0000,1.0
2023-03-28,2.81,2.88,2.75,2.81,2.81,868600,0.0000,1.0
2023-03-27,2.85,2.85,2.79,2.79,2.79,157800,0.0000,1.0
