timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,17.69,17.85,17.28,17.3,17.3,1583400,0.0000,1.0
2023-06-20,17.8,17.93,17.45,17.79,17.79,1565400,0.0000,1.0
2023-06-19,17.42,17.7,17.24,17.7,17.7,814300,0.0000,1.0
2023-06-16,17.64,17.8,17.4,17.43,17.43,1836800,0.0000,1.0
2023-06-15,17.62,17.97,17.57,17.79,17.79,1706900,0.0000,1.0
2023-06-14,17.72,17.89,17.25,17.64,17.64,3176800,0.0000,1.0
2023-06-13,17.53,17.73,17.25,17.25,17.25,1500500,0.0000,1.0
2023-06-12,17.3,17.51,16.98,17.44,17.44,2464000,0.0000,1.0
2023-06-09,17.2,17.39,17.04,17.12,17.12,2158500,0.0000,1.0
2023-06-07,17.4,17.74,16.82,17.04,17.04,2339400,0.0000,1.0
2023-06-06,16.65,17.45,16.65,17.3,17.3,3118900,0.0000,1.0
2023-06-05,16.95,17.04,16.45,16.65,16.65,1720000,0.0000,1.0
2023-06-02,16.79,17.08,16.7,17.0,17.0,2016100,0.0000,1.0
2023-06-01,16.29,16.73,16.16,16.59,16.59,2157300,0.0000,1.0
2023-05-31,15.99,16.38,15.95,16.28,16.28,2217500,0.0000,1.0
2023-05-30,16.26,16.45,15.91,16.14,16.14,1766500,0.0000,1.0
2023-05-29,16.06,16.37,16.06,16.22,16.22,1236300,0.0000,1.0
2023-05-26,16.36,16.49,15.92,16.03,16.03,2253800,0.0000,1.0
2023-05-25,16.89,17.09,16.16,16.26,16.26,2807900,0.0000,1.0
2023-05-24,16.63,16.79,16.44,16.55,16.55,1502300,0.0000,1.0
2023-05-23,16.88,17.12,16.52,16.77,16.77,2491000,0.0000,1.0
2023-05-22,17.29,17.5,16.95,17.0,17.0,1640500,0.0000,1.0
2023-05-19,17.6,17.85,17.34,17.38,17.38,2277900,0.0000,1.0
2023-05-18,17.13,17.55,17.04,17.42,17.42,2126000,0.0000,1.0
2023-05-17,16.89,17.22,16.83,17.17,17.17,2319900,0.0000,1.0
2023-05-16,16.98,17.24,16.65,16.78,16.78,2363300,0.0000,1.0
2023-05-15,16.4,16.98,16.17,16.98,16.98,3434200,0.0000,1.0
2023-05-12,16.25,16.76,16.01,16.4,16.4,1934400,0.0000,1.0
2023-05-11,16.18,16.38,16.06,16.24,16.24,1328600,0.0000,1.0
2023-05-10,15.92,16.35,15.9,16.23,16.23,1767300,0.0000,1.0
2023-05-09,15.85,16.4,15.8,16.02,16.02,2423500,0.0000,1.0
2023-05-08,15.11,16.0,15.06,16.0,16.0,4615200,0.0000,1.0
2023-05-06,14.97,15.53,14.8,15.03,15.03,3958500,0.0000,1.0
2023-05-05,14.97,15.53,14.8,15.03,15.03,3958500,0.0000,1.0
2023-05-04,14.0,15.23,13.84,15.03,15.03,5901300,0.0000,1.0
2023-05-03,14.46,14.64,13.98,14.09,14.09,4454800,0.0000,1.0
2023-05-02,15.02,15.02,14.48,14.48,14.48,1626800,0.0000,1.0
2023-04-29,14.45,15.16,14.16,15.0,15.0,3948000,0.0000,1.0
2023-04-28,14.45,15.16,14.16,15.0,15.0,3948000,0.0000,1.0
2023-04-27,15.01,15.08,14.4,14.54,14.54,3009700,0.0000,1.0
2023-04-26,15.35,15.45,14.68,15.1,15.1,8264400,0.0000,1.0
2023-04-25,16.09,16.18,15.82,15.94,15.94,1918300,0.0000,1.0
2023-04-24,15.32,16.3,15.32,16.11,16.11,3990600,0.0000,1.0
2023-04-20,14.94,15.4,14.88,15.4,15.4,3806200,0.0000,1.0
2023-04-19,14.7,15.04,14.57,14.88,14.88,2697000,0.0000,1.0
2023-04-18,14.94,15.09,14.7,14.87,14.87,2381800,0.0000,1.0
2023-04-17,14.82,15.1,14.62,14.83,14.83,4110300,0.0000,1.0
2023-04-14,15.14,15.14,14.56,14.81,14.81,2256400,0.0000,1.0
2023-04-13,15.12,15.34,14.93,15.17,15.17,1353300,0.0000,1.0
2023-04-12,15.31,15.63,15.07,15.09,15.09,2483000,0.0000,1.0
2023-04-11,14.55,15.4,14.54,15.25,15.25,3105700,0.0000,1.0
2023-04-10,14.29,14.6,14.09,14.49,14.49,1668700,0.0000,1.0
2023-04-06,14.6,14.6,14.12,14.28,14.28,1124700,0.0000,1.0
2023-04-05,14.9,14.96,14.01,14.48,14.48,3522200,0.0000,1.0
2023-04-04,14.7,14.87,14.41,14.62,14.62,1738300,0.0000,1.0
2023-04-03,14.68,14.87,14.5,14.67,14.67,1254700,0.0000,1.0
2023-03-31,15.14,15.25,14.53,14.73,14.73,1977800,0.0000,1.0
2023-03-30,14.78,15.21,14.72,15.02,15.02,2393100,0.0000,1.0
2023-03-29,14.44,14.93,14.32,14.68,14.68,4805800,0.0000,1.0
2023-03-28,13.93,14.61,13.79,14.44,14.44,2386200,0.0000,1.0
2023-03-27,13.87,14.13,13.67,14.0,14.0,2473100,0.0000,1.0
2023-03-24,13.58,13.76,13.47,13.7,13.7,2254800,0.0000,1.0
2023-03-23,13.44,13.82,13.36,13.58,13.58,5638600,0.0000,1.0
2023-03-22,13.89,13.89,13.42,13.44,13.44,3110400,0.0000,1.0
2023-03-21,13.64,14.44,13.6,13.88,13.88,3743600,0.0000,1.0
2023-03-20,14.0,14.0,13.54,13.64,13.64,3041200,0.0000,1.0
2023-03-17,14.15,14.21,13.73,14.08,14.08,3482500,0.0000,1.0
2023-03-16,13.89,14.29,13.79,14.17,14.17,2659200,0.0000,1.0
2023-03-15,13.81,14.01,13.46,13.88,13.88,2695000,0.0000,1.0
2023-03-14,14.14,14.31,13.81,13.96,13.96,1927700,0.0000,1.0
2023-03-13,13.77,14.23,13.58,14.14,14.14,3441100,0.0000,1.0
2023-03-10,14.53,14.53,13.82,13.9,13.9,2742200,0.0000,1.0
2023-03-09,14.76,15.06,14.51,14.51,14.51,3415200,0.0000,1.0
2023-03-08,14.8,14.98,14.55,14.79,14.79,3510600,0.0000,1.0
2023-03-07,14.5,14.78,14.22,14.78,14.78,3519100,0.0000,1.0
2023-03-06,14.49,14.67,14.14,14.55,14.55,2257300,0.0000,1.0
2023-03-03,14.36,14.7,14.19,14.41,14.41,2631800,0.0000,1.0
2023-03-02,14.29,14.58,13.92,14.25,14.25,5121300,0.0000,1.0
2023-03-01,15.51,15.72,13.98,14.28,14.28,8717000,0.0000,1.0
2023-02-28,16.16,16.6,15.02,15.54,15.54,15781100,0.0000,1.0
2023-02-27,16.8,16.93,16.39,16.74,16.74,3897400,0.0000,1.0
2023-02-24,16.97,17.09,16.42,16.74,16.74,2564100,0.0000,1.0
2023-02-23,17.28,17.37,16.81,16.97,16.97,2916200,0.0000,1.0
2023-02-22,17.3,17.31,16.9,17.19,17.19,2357200,0.0000,1.0
2023-02-17,18.15,18.18,17.27,17.4,17.4,3161100,0.0000,1.0
2023-02-16,18.62,18.77,18.15,18.33,18.33,2562500,0.0000,1.0
2023-02-15,18.3,18.74,17.86,18.65,18.65,3582600,0.0000,1.0
2023-02-14,18.3,19.09,18.17,18.3,18.3,4991400,0.0000,1.0
2023-02-13,18.19,18.35,17.78,18.2,18.2,2403300,0.0000,1.0
2023-02-10,17.66,18.4,17.63,18.2,18.2,6585200,0.0000,1.0
2023-02-09,16.97,17.84,16.06,17.69,17.69,14214900,0.0000,1.0
2023-02-08,18.56,18.64,17.25,17.43,17.43,8712300,0.0000,1.0
2023-02-07,18.9,19.1,18.28,18.38,18.38,3008600,0.0000,1.0
2023-02-06,18.91,19.12,18.69,18.84,18.84,2297600,0.0000,1.0
2023-02-03,19.48,19.82,18.86,18.91,18.91,2515900,0.0000,1.0
2023-02-02,20.2,20.3,19.45,19.62,19.62,7240200,0.0000,1.0
2023-02-01,20.82,21.05,20.12,20.25,20.25,4763600,0.0000,1.0
2023-01-31,20.0,20.81,19.98,20.72,20.72,2762300,0.0000,1.0
2023-01-30,19.85,20.65,19.85,20.0,20.0,3797700,0.0000,1.0
2023-01-27,20.41,20.58,19.8,19.88,19.88,1514200,0.0000,1.0
2023-01-26,20.56,20.98,20.29,20.47,20.47,2712400,0.0000,1.0
2023-01-25,20.3,20.85,19.68,20.54,20.54,3450600,0.0000,1.0
2023-01-24,19.3,20.16,19.29,20.14,20.14,2957700,0.0000,1.0
2023-01-23,19.21,19.5,18.96,19.17,19.17,3576000,0.0000,1.0
2023-01-20,18.65,19.64,18.4,19.15,19.15,4894400,0.0000,1.0
2023-01-19,18.41,18.79,18.08,18.69,18.69,3928400,0.0000,1.0
2023-01-18,18.98,19.25,18.55,18.61,18.61,1831900,0.0000,1.0
2023-01-17,18.79,19.04,18.62,18.78,18.78,2113900,0.0000,1.0
2023-01-16,18.23,18.97,18.23,18.79,18.79,1880300,0.0000,1.0
2023-01-13,18.4,18.78,18.21,18.38,18.38,2139400,0.0000,1.0
2023-01-12,18.73,19.07,18.21,18.55,18.55,4730200,0.0000,1.0
2023-01-11,18.44,19.13,17.95,19.03,19.03,7431000,0.0000,1.0
2023-01-10,17.6,18.85,17.33,18.37,18.37,9632200,0.0000,1.0
2023-01-09,16.55,17.14,16.23,16.89,16.89,1626400,0.0000,1.0
2023-01-06,16.63,17.15,16.55,16.71,16.71,1999500,0.0000,1.0
2023-01-05,16.81,16.95,16.32,16.63,16.63,2633100,0.0000,1.0
2023-01-04,16.0,16.84,15.75,16.73,16.73,3535400,0.0000,1.0
2023-01-03,16.11,16.34,15.75,15.95,15.95,2090000,0.0000,1.0
2023-01-02,16.6,16.64,15.78,16.11,16.11,1905600,0.0000,1.0
2022-12-29,17.1,17.1,16.44,16.52,16.52,4084000,0.0000,1.0
2022-12-28,16.72,16.82,16.24,16.76,16.76,4855100,0.0000,1.0
2022-12-27,17.77,17.78,16.52,16.6,16.6,3869800,0.0000,1.0
2022-12-26,17.99,18.08,17.41,17.72,17.72,1097100,0.0000,1.0
2022-12-23,17.84,18.49,17.77,18.03,18.03,1558100,0.0000,1.0
2022-12-22,17.8,17.88,17.43,17.73,17.73,1196400,0.0000,1.0
2022-12-21,17.91,17.92,17.32,17.78,17.78,2126700,0.0000,1.0
