timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,7.24,7.3,7.09,7.29,7.29,7969200,0.0000,1.0
2023-06-20,7.24,7.24,7.24,7.24,7.24,10868100,0.0000,1.0
2023-06-19,7.23,7.34,7.19,7.24,7.24,5921600,0.0000,1.0
2023-06-16,7.3,7.41,7.23,7.23,7.23,7665200,0.0000,1.0
2023-06-15,7.33,7.45,7.26,7.35,7.35,8087500,0.0000,1.0
2023-06-14,7.34,7.42,7.15,7.37,7.37,8930600,0.0000,1.0
2023-06-13,7.54,7.65,7.11,7.2,7.2,8980600,0.0000,1.0
2023-06-12,7.67,7.67,7.42,7.48,7.48,8315200,0.0000,1.0
2023-06-09,7.55,7.79,7.52,7.59,7.59,9135800,0.0000,1.0
2023-06-07,7.7,7.97,7.28,7.47,7.47,14338100,0.0000,1.0
2023-06-06,7.3,7.82,7.3,7.6,7.6,18959500,0.0000,1.0
2023-06-05,7.39,7.55,7.24,7.26,7.26,9977900,0.0000,1.0
2023-06-02,7.69,7.94,7.22,7.38,7.38,13976400,0.0000,1.0
2023-06-01,7.3,7.67,7.21,7.6,7.6,8403400,0.0000,1.0
2023-05-31,7.19,7.27,7.06,7.25,7.25,6961700,0.0000,1.0
2023-05-30,7.63,7.65,7.18,7.24,7.24,7372200,0.0000,1.0
2023-05-29,7.64,7.69,7.39,7.52,7.52,5455100,0.0000,1.0
2023-05-26,7.7,7.77,7.53,7.64,7.64,5366400,0.0000,1.0
2023-05-25,7.68,8.0,7.49,7.56,7.56,7976300,0.0000,1.0
2023-05-24,7.29,7.57,7.18,7.5,7.5,10241800,0.0000,1.0
2023-05-23,7.42,7.65,7.3,7.3,7.3,7450200,0.0000,1.0
2023-05-22,7.42,7.67,7.38,7.45,7.45,8243300,0.0000,1.0
2023-05-19,7.52,7.61,7.31,7.42,7.42,9878100,0.0000,1.0
2023-05-18,7.46,7.7,7.38,7.48,7.48,10193300,0.0000,1.0
2023-05-17,7.2,7.63,7.2,7.46,7.46,14520600,0.0000,1.0
2023-05-16,7.38,7.43,7.09,7.15,7.15,11303900,0.0000,1.0
2023-05-15,7.28,7.51,7.21,7.44,7.44,6491100,0.0000,1.0
2023-05-12,7.31,7.49,7.16,7.28,7.28,7941100,0.0000,1.0
2023-05-11,7.14,7.5,7.04,7.37,7.37,10658400,0.0000,1.0
2023-05-10,7.18,7.65,7.15,7.19,7.19,20362400,0.0000,1.0
2023-05-09,6.9,7.35,6.85,7.17,7.17,14185900,0.0000,1.0
2023-05-08,6.89,7.26,6.86,6.98,6.98,15563500,0.0000,1.0
2023-05-05,6.11,7.0,6.1,6.89,6.89,30477000,0.0000,1.0
2023-05-04,5.83,6.03,5.73,5.94,5.94,12263100,0.0000,1.0
2023-05-03,5.79,5.87,5.65,5.76,5.76,8950400,0.0000,1.0
2023-05-02,6.12,6.13,5.76,5.77,5.77,11916100,0.0000,1.0
2023-04-28,6.05,6.17,5.84,6.17,6.17,9717800,0.0000,1.0
