timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,4.83,4.85,4.74,4.8,4.8,2781700,0.0000,1.0
2023-06-20,4.86,4.88,4.78,4.84,4.84,3665700,0.0000,1.0
2023-06-19,4.79,4.9,4.74,4.85,4.85,3339000,0.0000,1.0
2023-06-16,4.93,4.95,4.74,4.79,4.79,5911700,0.0000,1.0
2023-06-15,4.98,5.05,4.9,4.95,4.95,4623700,0.0000,1.0
2023-06-14,4.77,4.97,4.77,4.89,4.89,6016100,0.0000,1.0
2023-06-13,5.18,5.2,4.73,4.74,4.74,9951900,0.0000,1.0
2023-06-12,5.22,5.25,5.01,5.17,5.17,3806700,0.0000,1.0
2023-06-09,4.97,5.21,4.9,5.17,5.17,5352000,0.0000,1.0
2023-06-07,4.94,5.11,4.87,4.95,4.95,3753900,0.0000,1.0
2023-06-06,4.68,4.97,4.64,4.92,4.92,3990400,0.0000,1.0
2023-06-05,4.73,4.73,4.58,4.67,4.67,2877700,0.0000,1.0
2023-06-02,4.75,5.14,4.65,4.71,4.71,10053400,0.0000,1.0
2023-06-01,4.39,4.71,4.39,4.69,4.69,5277000,0.0000,1.0
2023-05-31,4.44,4.54,4.35,4.35,4.35,10250500,0.0000,1.0
2023-05-30,4.63,4.64,4.42,4.5,4.5,4747300,0.0000,1.0
2023-05-29,4.72,4.72,4.55,4.58,4.58,3762200,0.0000,1.0
2023-05-26,4.66,4.74,4.57,4.7,4.7,3477900,0.0000,1.0
2023-05-25,4.52,4.74,4.51,4.64,4.64,3918100,0.0000,1.0
2023-05-24,4.52,4.59,4.44,4.47,4.47,2502700,0.0000,1.0
2023-05-23,4.67,4.76,4.54,4.56,4.56,3004200,0.0000,1.0
2023-05-22,4.54,4.78,4.43,4.66,4.66,5247300,0.0000,1.0
2023-05-19,4.72,4.8,4.52,4.58,4.58,4834000,0.0000,1.0
2023-05-18,4.55,4.73,4.48,4.72,4.72,4318900,0.0000,1.0
2023-05-17,4.39,4.66,4.38,4.6,4.6,4762700,0.0000,1.0
2023-05-16,4.73,4.81,4.37,4.38,4.38,5670800,0.0000,1.0
2023-05-15,4.75,4.82,4.62,4.77,4.77,3846100,0.0000,1.0
2023-05-12,4.51,4.77,4.42,4.74,4.6608,6275500,0.0792,1.0
2023-05-11,4.27,4.58,4.12,4.51,4.4347,6460600,0.0000,1.0
2023-05-10,4.36,4.59,4.33,4.4,4.3265,5723300,0.0000,1.0
2023-05-09,4.25,4.4,4.18,4.34,4.2675,3147100,0.0000,1.0
2023-05-08,4.2,4.39,4.19,4.25,4.179,3784500,0.0000,1.0
2023-05-06,4.02,4.21,4.0,4.18,4.1066,4001700,0.0000,1.0
2023-05-05,4.02,4.21,4.0,4.18,4.1066,3875000,0.0000,1.0
2023-05-04,3.86,4.06,3.82,4.01,3.9396,6955100,0.0000,1.0
2023-05-03,3.79,3.93,3.72,3.86,3.7922,6635300,0.0000,1.0
2023-05-02,3.95,4.02,3.67,3.78,3.7136,6422900,0.0000,1.0
2023-04-29,3.77,3.99,3.68,3.97,3.9003,11551200,0.0000,1.0
2023-04-28,3.77,3.99,3.68,3.97,3.9003,11503700,0.0000,1.0
2023-04-27,3.73,3.85,3.67,3.78,3.7136,3495200,0.0000,1.0
2023-04-26,3.68,3.81,3.65,3.72,3.6547,3043900,0.0000,1.0
2023-04-25,3.74,3.74,3.62,3.7,3.635,3678400,0.0000,1.0
2023-04-24,3.69,3.79,3.67,3.73,3.6645,3096200,0.0000,1.0
2023-04-20,3.72,3.76,3.65,3.7,3.635,4736100,0.0000,1.0
2023-04-19,3.88,3.88,3.71,3.71,3.6449,4100300,0.0000,1.0
2023-04-18,4.08,4.1,3.84,3.9,3.8315,3985500,0.0000,1.0
2023-04-17,4.01,4.11,3.99,4.06,3.9887,4259700,0.0000,1.0
2023-04-14,4.04,4.08,3.95,4.02,3.9494,4916500,0.0000,1.0
2023-04-13,3.94,4.05,3.83,4.05,3.9789,6255600,0.0000,1.0
2023-04-12,3.96,4.13,3.92,3.94,3.8708,7504200,0.0000,1.0
2023-04-11,3.77,4.14,3.77,3.94,3.8708,8930800,0.0000,1.0
2023-04-10,3.71,3.89,3.68,3.75,3.6842,4029000,0.0000,1.0
2023-04-06,3.73,3.79,3.64,3.69,3.6252,3201600,0.0000,1.0
2023-04-05,3.65,3.73,3.59,3.71,3.6449,6385200,0.0000,1.0
2023-04-04,3.61,3.7,3.52,3.61,3.5466,4966400,0.0000,1.0
2023-04-03,3.68,3.75,3.6,3.6,3.5368,5166400,0.0000,1.0
2023-03-31,3.94,3.94,3.65,3.68,3.6154,6398900,0.0000,1.0
2023-03-30,3.81,4.05,3.81,3.93,3.861,7453600,0.0000,1.0
2023-03-29,3.97,3.98,3.68,3.78,3.7136,8841700,0.0000,1.0
2023-03-28,3.8,4.14,3.76,4.02,3.9494,7082700,0.0000,1.0
2023-03-27,3.73,3.94,3.67,3.78,3.7136,5234000,0.0000,1.0
2023-03-24,3.67,3.83,3.66,3.68,3.6154,5572700,0.0000,1.0
2023-03-23,3.94,3.98,3.58,3.64,3.5761,6092700,0.0000,1.0
2023-03-22,3.9,4.1,3.89,3.91,3.8414,3541800,0.0000,1.0
2023-03-21,3.9,4.09,3.87,3.91,3.8414,3383300,0.0000,1.0
2023-03-20,4.11,4.11,3.85,3.86,3.7922,6496900,0.0000,1.0
2023-03-17,4.32,4.32,4.06,4.13,4.0575,16238500,0.0000,1.0
2023-03-16,4.42,4.48,4.31,4.33,4.254,4647700,0.0000,1.0
2023-03-15,4.39,4.48,4.28,4.44,4.3621,4908500,0.0000,1.0
2023-03-14,4.73,4.85,4.5,4.52,4.4407,4530000,0.0000,1.0
2023-03-13,4.79,4.79,4.61,4.75,4.6666,4839000,0.0000,1.0
2023-03-10,4.86,4.96,4.65,4.85,4.7649,5664200,0.0000,1.0
2023-03-09,4.9,5.1,4.82,4.89,4.8042,6659600,0.0000,1.0
2023-03-08,4.54,4.98,4.54,4.93,4.8435,6349400,0.0000,1.0
2023-03-07,4.34,4.59,4.34,4.51,4.4308,6832600,0.0000,1.0
2023-03-06,4.28,4.43,4.18,4.33,4.254,4821900,0.0000,1.0
2023-03-03,4.49,4.5,4.25,4.25,4.1754,5032900,0.0000,1.0
2023-03-02,4.69,4.7,4.44,4.44,4.3621,5580100,0.0000,1.0
2023-03-01,4.67,4.84,4.62,4.68,4.5978,6768300,0.0000,1.0
2023-02-28,4.73,4.84,4.61,4.67,4.588,6298200,0.0000,1.0
2023-02-27,4.93,4.94,4.72,4.73,4.647,3613000,0.0000,1.0
2023-02-24,4.99,5.09,4.89,4.91,4.8238,4187200,0.0000,1.0
2023-02-23,5.23,5.25,4.98,5.01,4.9221,6384800,0.0000,1.0
2023-02-22,5.25,5.29,5.1,5.2,5.1087,3341600,0.0000,1.0
2023-02-17,5.2,5.48,5.19,5.4,5.3052,3301500,0.0000,1.0
2023-02-16,5.15,5.31,5.01,5.29,5.1971,5087800,0.0000,1.0
2023-02-15,5.03,5.32,4.91,5.19,5.0989,10583600,0.0000,1.0
2023-02-14,5.38,5.41,5.01,5.04,4.9515,8956400,0.0000,1.0
2023-02-13,5.39,5.51,5.21,5.34,5.2463,4862000,0.0000,1.0
2023-02-10,5.35,5.47,5.2,5.42,5.3249,8030000,0.0000,1.0
2023-02-09,5.51,5.71,5.36,5.38,5.2856,5119800,0.0000,1.0
2023-02-08,5.48,5.61,5.25,5.52,5.4231,6848400,0.0000,1.0
