timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,28.6,28.82,28.28,28.5,28.5,7109400,0.0000,1.0
2023-06-15,28.61,28.79,28.46,28.74,28.74,4441200,0.0000,1.0
2023-06-14,28.64,28.75,28.24,28.61,28.61,9203500,0.0000,1.0
2023-06-13,28.98,29.02,28.35,28.6,28.6,6330900,0.0000,1.0
2023-06-12,28.8,29.15,28.68,28.87,28.87,6884500,0.0000,1.0
2023-06-09,28.53,29.32,28.43,28.66,28.66,6992100,0.0000,1.0
2023-06-07,28.4,28.63,28.15,28.33,28.33,4759100,0.0000,1.0
2023-06-06,27.83,28.39,27.62,28.3,28.3,6331000,0.0000,1.0
2023-06-05,27.64,27.8,27.44,27.6,27.6,9150800,0.0000,1.0
2023-06-02,28.76,28.77,27.43,27.59,27.59,12033500,0.0000,1.0
2023-06-01,28.3,28.95,28.17,28.62,28.62,8470800,0.0000,1.0
2023-05-31,28.35,28.77,28.33,28.33,28.33,24672400,0.0000,1.0
2023-05-30,28.97,29.0,28.25,28.46,28.46,6823700,0.0000,1.0
2023-05-29,28.74,28.89,28.46,28.7,28.7,2340700,0.0000,1.0
2023-05-26,28.47,28.95,28.3,28.72,28.72,5996200,0.0000,1.0
2023-05-25,28.88,29.12,28.09,28.19,28.19,6818300,0.0000,1.0
2023-05-24,28.1,28.82,28.01,28.32,28.32,13545900,0.0000,1.0
2023-05-23,28.15,28.33,27.7,28.09,28.09,5588000,0.0000,1.0
2023-05-22,27.95,28.14,27.74,27.92,27.92,3878900,0.0000,1.04
2023-05-19,27.5481,27.9808,27.1442,27.5481,27.5481,7835568,0.0000,1.0
2023-05-18,27.0,27.4327,26.7981,27.4038,27.4038,4594512,0.0000,1.0
2023-05-17,28.21,28.44,27.89,28.08,27.0,3074400,0.0000,1.0
2023-05-16,28.14,28.61,28.12,28.12,27.0385,6385700,0.0000,1.0
2023-05-15,28.0,28.22,27.58,28.14,27.0577,3685300,0.0000,1.0
2023-05-12,27.72,28.02,27.51,27.95,26.875,4586100,0.0000,1.0
2023-05-11,27.51,28.0,27.45,27.88,26.8077,4832500,0.0000,1.0
2023-05-10,27.13,27.7,27.06,27.57,26.5096,5740100,0.0000,1.0
2023-05-09,26.8,27.36,26.75,27.13,26.0865,5000800,0.0000,1.0
2023-05-08,26.63,27.1,26.59,26.82,25.7885,5971600,0.0000,1.0
2023-05-06,26.5,26.62,25.85,26.58,25.5577,8885600,0.0000,1.0
2023-05-05,26.5,26.62,25.85,26.58,25.5577,8865500,0.0000,1.0
2023-05-04,26.2,26.64,26.15,26.39,25.375,6134400,0.0000,1.0
2023-05-03,26.78,26.96,25.9,26.18,25.1731,9878500,0.0000,1.0
2023-05-02,26.2,26.6,26.01,26.6,25.5769,7710500,0.0000,1.0
2023-04-29,26.22,26.47,26.07,26.28,25.2692,5730400,0.0000,1.0
2023-04-28,26.22,26.47,26.07,26.28,25.2692,5715100,0.0000,1.0
2023-04-27,26.38,26.53,25.93,26.22,25.2115,4778900,0.0000,1.0
2023-04-26,25.91,26.55,25.91,26.29,25.2788,5359300,0.0000,1.0
