timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,22.83,22.83,21.81,21.87,21.87,38915100,0.0000,1.0
2023-06-15,22.5,23.03,22.43,22.96,22.96,13631600,0.0000,1.0
2023-06-14,22.74,23.0,22.52,22.95,22.95,14005200,0.0000,1.0
2023-06-13,22.56,22.68,22.29,22.58,22.58,9351500,0.0000,1.0
2023-06-12,22.83,22.89,22.27,22.5,22.5,12035000,0.0000,1.0
2023-06-09,22.74,23.1,22.32,22.4,22.4,10676700,0.0000,1.0
2023-06-07,23.0,23.37,22.39,22.57,22.57,18550800,0.0000,1.0
2023-06-06,22.73,23.03,22.59,22.93,22.93,18087300,0.0000,1.0
2023-06-05,22.79,23.05,22.45,22.57,22.57,11783300,0.0000,1.0
2023-06-02,22.19,22.82,22.03,22.63,22.63,24898100,0.0000,1.0
2023-06-01,20.83,22.11,20.61,21.97,21.97,26217300,0.0000,1.0
2023-05-31,20.84,20.89,20.52,20.82,20.82,14056000,0.0000,1.0
2023-05-30,21.05,21.09,20.67,20.81,20.81,7339400,0.0000,1.0
2023-05-29,20.82,20.97,20.59,20.75,20.75,6165400,0.0000,1.0
2023-05-26,21.34,21.34,20.85,21.0,21.0,6963000,0.0000,1.0
2023-05-25,20.98,21.29,20.91,20.99,20.99,8709900,0.0000,1.0
2023-05-24,20.84,21.04,20.67,20.75,20.75,8234600,0.0000,1.0
2023-05-23,20.97,21.31,20.61,21.01,21.01,6534300,0.0000,1.0
2023-05-22,21.15,21.42,21.07,21.13,21.13,6997400,0.0000,1.0
2023-05-19,21.25,21.4,20.92,21.18,21.18,7922700,0.0000,1.0
2023-05-18,20.71,21.12,20.69,21.07,21.07,8211800,0.0000,1.0
2023-05-17,20.96,21.02,20.65,20.82,20.82,14863500,0.0000,1.0
2023-05-16,20.96,21.1,20.64,20.72,20.72,8046300,0.0000,1.0
2023-05-15,20.93,21.09,20.83,20.99,20.99,6521100,0.0000,1.0
2023-05-12,20.78,21.04,20.67,20.85,20.85,7343600,0.0000,1.0
2023-05-11,20.29,20.94,20.21,20.84,20.84,12856400,0.0000,1.0
2023-05-10,20.52,20.65,20.34,20.49,20.49,8677300,0.0000,1.0
2023-05-09,20.51,20.84,20.43,20.49,20.49,8150900,0.0000,1.0
2023-05-08,21.05,21.1,20.53,20.56,20.56,11991600,0.0000,1.0
2023-05-06,20.8,21.13,20.43,20.95,20.95,34269600,0.0000,1.0
2023-05-05,20.8,21.13,20.43,20.95,20.95,34269600,0.0000,1.0
2023-05-04,20.13,20.15,19.67,19.9,19.9,10324600,0.0000,1.0
2023-05-03,19.68,20.12,19.54,19.94,19.94,13781300,0.0000,1.0
2023-05-02,19.6,19.85,19.43,19.68,19.68,10396200,0.0000,1.0
2023-04-29,19.5,19.85,19.39,19.7,19.7,8418500,0.0000,1.0
2023-04-28,19.5,19.85,19.39,19.7,19.7,8418500,0.0000,1.0
2023-04-27,19.49,19.59,19.22,19.47,19.47,6567000,0.0000,1.0
2023-04-26,19.6,19.82,19.39,19.5,19.5,5163000,0.0000,1.0
2023-04-25,19.72,19.89,19.49,19.7,19.7,9164000,0.0000,1.0
2023-04-24,19.84,19.91,19.48,19.75,19.75,8068800,0.0000,1.0
2023-04-20,19.24,19.83,19.06,19.64,19.64,10821300,0.0000,1.0
2023-04-19,19.43,19.53,19.19,19.31,19.244,7262300,0.0660,1.0
2023-04-18,19.67,19.77,19.23,19.62,19.5529,11991200,0.0000,1.0
2023-04-17,19.29,19.79,19.26,19.7,19.6326,14134500,0.0000,1.0
2023-04-14,19.2,19.29,18.85,19.29,19.224,15650400,0.0000,1.0
2023-04-13,19.5,19.56,19.14,19.24,19.1753,9094700,0.0000,1.0
2023-04-12,19.1,19.65,18.95,19.32,19.255,13470500,0.0000,1.0
2023-04-11,19.0,19.15,18.61,19.04,18.9759,12286600,0.0000,1.0
2023-04-10,18.81,18.82,18.49,18.59,18.5274,5151400,0.0000,1.0
2023-04-06,18.63,18.8,18.5,18.66,18.5972,5240300,0.0000,1.0
2023-04-05,19.3,19.5,18.43,18.65,18.5872,11757800,0.0000,1.0
2023-04-04,19.05,19.58,19.03,19.21,19.1454,13225200,0.0000,1.0
2023-04-03,18.96,19.09,18.7,18.97,18.9062,9770800,0.0000,1.0
