timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,11.95,12.19,11.94,12.1,12.1,3515800,0.0000,1.0
2023-06-20,11.83,12.0,11.76,11.92,11.92,2134800,0.0000,1.0
2023-06-19,11.81,11.89,11.69,11.88,11.88,1189200,0.0000,1.0
2023-06-16,11.88,11.95,11.79,11.82,11.82,1855000,0.0000,1.0
2023-06-15,11.93,11.99,11.74,11.89,11.89,2068400,0.0000,1.0
2023-06-14,11.69,12.02,11.57,11.94,11.94,5262800,0.0000,1.0
2023-06-13,11.78,11.92,11.57,11.69,11.69,3432000,0.0000,1.0
2023-06-12,11.9,11.9,11.63,11.8,11.8,3888500,0.0000,1.0
2023-06-09,11.84,12.16,11.8,11.88,11.88,4409600,0.0000,1.0
2023-06-07,11.4,11.88,11.4,11.78,11.78,3986900,0.0000,1.0
2023-06-06,11.12,11.3,11.08,11.25,11.25,5449700,0.0000,1.0
2023-06-05,10.99,11.16,10.99,11.1,11.1,3005800,0.0000,1.0
2023-06-02,11.0,11.25,10.92,11.02,11.02,2413200,0.0000,1.0
2023-06-01,10.73,11.02,10.52,10.96,10.96,2780500,0.0000,1.0
2023-05-31,10.68,10.92,10.58,10.76,10.76,2869700,0.0000,1.0
2023-05-30,10.79,10.88,10.51,10.66,10.66,1835400,0.0000,1.0
2023-05-29,10.69,10.78,10.5,10.7,10.7,1300900,0.0000,1.0
2023-05-26,10.64,10.77,10.51,10.68,10.68,1664200,0.0000,1.0
2023-05-25,10.35,10.67,10.33,10.52,10.52,1884500,0.0000,1.0
2023-05-24,10.38,10.55,10.24,10.38,10.38,1549200,0.0000,1.0
2023-05-23,10.29,10.55,10.16,10.38,10.38,3095300,0.0000,1.0
2023-05-22,10.38,10.51,10.33,10.36,10.36,1771300,0.0000,1.0
2023-05-19,10.22,10.54,10.16,10.38,10.38,2734100,0.0000,1.0
2023-05-18,10.01,10.26,10.01,10.21,10.21,2477000,0.0000,1.0
2023-05-17,9.87,10.14,9.87,10.13,10.13,2118100,0.0000,1.0
2023-05-16,10.04,10.26,9.97,9.98,9.98,2655300,0.0000,1.0
2023-05-15,10.06,10.27,9.86,10.12,10.12,3579300,0.0000,1.0
2023-05-12,9.88,10.15,9.76,10.09,10.09,5124300,0.0000,1.0
2023-05-11,9.47,9.97,9.43,9.89,9.89,4700800,0.0000,1.0
2023-05-10,9.17,9.61,9.15,9.51,9.51,4549200,0.0000,1.0
2023-05-09,9.06,9.24,9.03,9.17,9.17,2050500,0.0000,1.0
2023-05-08,8.9,9.22,8.9,9.02,9.02,2244100,0.0000,1.0
2023-05-06,8.6,8.92,8.54,8.88,8.88,2644100,0.0000,1.0
2023-05-05,8.6,8.92,8.54,8.88,8.88,2644100,0.0000,1.0
2023-05-04,8.6,8.82,8.6,8.68,8.68,2745300,0.0000,1.0
2023-05-03,8.38,8.77,8.27,8.65,8.65,3351100,0.0000,1.0
2023-05-02,8.25,8.43,8.21,8.32,8.32,3086700,0.0000,1.0
2023-04-29,8.12,8.29,8.1,8.26,8.26,1821000,0.0000,1.0
2023-04-28,8.12,8.29,8.1,8.26,8.26,1821000,0.0000,1.0
2023-04-27,8.0,8.14,7.93,8.12,8.12,1644900,0.0000,1.0
2023-04-26,8.06,8.06,7.93,7.99,7.99,1562200,0.0000,1.0
2023-04-25,8.02,8.11,7.89,8.0,8.0,2987700,0.0000,1.0
2023-04-24,8.15,8.19,7.97,8.01,8.01,3354700,0.0000,1.0
2023-04-20,7.75,8.12,7.72,8.12,8.12,3757300,0.0000,1.0
2023-04-19,7.83,7.88,7.71,7.73,7.73,2266000,0.0000,1.0
2023-04-18,7.91,7.99,7.82,7.93,7.93,2784700,0.0000,1.0
2023-04-17,7.77,7.89,7.73,7.86,7.86,2495500,0.0000,1.0
2023-04-14,7.68,7.84,7.57,7.76,7.76,3005000,0.0000,1.0
2023-04-13,7.62,7.79,7.6,7.69,7.69,2205700,0.0000,1.0
2023-04-12,7.61,7.85,7.6,7.62,7.62,4215500,0.0000,1.0
2023-04-11,7.26,7.63,7.26,7.59,7.59,3351400,0.0000,1.0
2023-04-10,7.2,7.27,7.1,7.23,7.23,2580100,0.0000,1.0
2023-04-06,7.2,7.3,7.16,7.16,7.16,1694300,0.0000,1.0
2023-04-05,7.44,7.46,7.16,7.23,7.23,3041800,0.0000,1.0
2023-04-04,7.4,7.51,7.39,7.4,7.4,1868700,0.0000,1.0
2023-04-03,7.45,7.47,7.31,7.4,7.4,2475600,0.0000,1.0
2023-03-31,7.53,7.68,7.42,7.51,7.51,2770900,0.0000,1.0
2023-03-30,7.52,7.64,7.44,7.53,7.53,4038500,0.0000,1.0
2023-03-29,7.57,7.57,7.33,7.44,7.44,2649500,0.0000,1.0
2023-03-28,7.43,7.53,7.38,7.51,7.51,2415900,0.0000,1.0
2023-03-27,7.35,7.49,7.34,7.43,7.43,1939700,0.0000,1.0
2023-03-24,7.14,7.38,7.09,7.32,7.32,2259800,0.0000,1.0
2023-03-23,7.3,7.4,7.07,7.13,7.13,4405700,0.0000,1.0
2023-03-22,7.22,7.48,7.17,7.31,7.31,3810000,0.0000,1.0
2023-03-21,7.42,7.46,7.18,7.21,7.21,3071400,0.0000,1.0
2023-03-20,7.48,7.58,7.36,7.37,7.37,1915700,0.0000,1.0
2023-03-17,7.48,7.51,7.32,7.46,7.46,3724800,0.0000,1.0
2023-03-16,7.57,7.6,7.4,7.49,7.49,3089800,0.0000,1.0
2023-03-15,7.67,7.68,7.47,7.53,7.53,4734800,0.0000,1.0
2023-03-14,7.88,7.96,7.66,7.74,7.74,5870900,0.0000,1.0
2023-03-13,7.97,7.97,7.8,7.88,7.88,2958700,0.0000,1.0
2023-03-10,8.27,8.27,7.99,8.02,8.02,1818200,0.0000,1.0
2023-03-09,8.26,8.46,8.26,8.31,8.31,3217400,0.0000,1.0
2023-03-08,8.05,8.35,8.01,8.27,8.27,3855200,0.0000,1.0
2023-03-07,7.97,8.06,7.88,8.02,8.02,2730600,0.0000,1.0
2023-03-06,7.76,8.02,7.76,7.97,7.97,2588900,0.0000,1.0
2023-03-03,7.67,7.79,7.63,7.76,7.76,2957600,0.0000,1.0
2023-03-02,7.78,7.84,7.48,7.67,7.67,4138900,0.0000,1.0
2023-03-01,7.95,7.95,7.54,7.79,7.79,4218000,0.0000,1.0
2023-02-28,7.9,8.12,7.84,7.96,7.96,5910800,0.0000,1.0
2023-02-27,7.87,7.9,7.74,7.88,7.88,1625600,0.0000,1.0
2023-02-24,7.9,7.93,7.73,7.83,7.83,1895500,0.0000,1.0
2023-02-23,7.88,7.94,7.8,7.9,7.9,2614300,0.0000,1.0
2023-02-22,7.92,7.94,7.79,7.83,7.83,3110700,0.0000,1.0
2023-02-17,7.96,7.99,7.89,7.92,7.92,1644900,0.0000,1.0
2023-02-16,7.98,8.08,7.82,7.96,7.96,1482200,0.0000,1.0
2023-02-15,7.89,8.15,7.87,7.99,7.99,2401400,0.0000,1.0
2023-02-14,8.09,8.13,7.84,7.87,7.87,2372000,0.0000,1.0
2023-02-13,7.8,8.08,7.8,8.04,8.04,2185000,0.0000,1.0
2023-02-10,7.69,7.85,7.66,7.79,7.79,2858600,0.0000,1.0
2023-02-09,7.94,8.04,7.66,7.71,7.71,3580900,0.0000,1.0
2023-02-08,7.84,7.98,7.77,7.93,7.93,4115000,0.0000,1.0
2023-02-07,7.81,7.96,7.71,7.77,7.77,2864200,0.0000,1.0
2023-02-06,7.79,7.84,7.61,7.73,7.73,3020200,0.0000,1.0
2023-02-03,7.85,7.94,7.75,7.79,7.79,2774900,0.0000,1.0
2023-02-02,7.95,8.22,7.8,7.88,7.88,2582800,0.0000,1.0
2023-02-01,8.06,8.12,7.87,7.94,7.94,2945500,0.0000,1.0
2023-01-31,8.06,8.23,8.04,8.1,8.1,3054100,0.0000,1.0
2023-01-30,8.3,8.37,8.01,8.05,8.05,1450700,0.0000,1.0
2023-01-27,8.35,8.52,8.31,8.31,8.31,2997300,0.0000,1.0
2023-01-26,8.22,8.45,8.22,8.37,8.37,2845500,0.0000,1.0
2023-01-25,8.04,8.2,7.97,8.19,8.19,1655500,0.0000,1.0
2023-01-24,7.92,8.05,7.92,7.99,7.99,1165000,0.0000,1.0
2023-01-23,7.98,8.09,7.85,7.89,7.89,7787300,0.0000,1.0
2023-01-20,7.9,8.01,7.78,7.98,7.98,1840600,0.0000,1.0
2023-01-19,7.86,7.98,7.7,7.9,7.9,3211100,0.0000,1.0
2023-01-18,7.95,8.03,7.86,7.88,7.88,3739400,0.0000,1.0
2023-01-17,7.93,8.01,7.9,7.91,7.91,1879600,0.0000,1.0
2023-01-16,8.23,8.27,7.9,7.92,7.92,1649100,0.0000,1.0
2023-01-13,8.38,8.45,8.27,8.27,8.27,1855800,0.0000,1.0
2023-01-12,8.35,8.51,8.29,8.4,8.4,2688300,0.0000,1.0
2023-01-11,8.22,8.4,8.15,8.38,8.38,3338800,0.0000,1.0
2023-01-10,8.04,8.26,8.03,8.22,8.22,2837200,0.0000,1.0
2023-01-09,7.89,8.19,7.68,8.08,8.08,8443100,0.0000,1.0
2023-01-06,7.91,8.13,7.87,7.93,7.93,5480100,0.0000,1.0
2023-01-05,7.84,7.96,7.65,7.95,7.95,3226900,0.0000,1.0
2023-01-04,7.95,7.99,7.76,7.84,7.84,3253300,0.0000,1.0
2023-01-03,8.01,8.1,7.9,7.91,7.91,3913600,0.0000,1.0
2022-12-29,8.27,8.34,8.15,8.21,8.21,2190000,0.0000,1.0
2022-12-28,8.09,8.28,8.07,8.23,8.23,2254200,0.0000,1.0
2022-12-27,8.3,8.3,8.05,8.06,8.06,1439400,0.0000,1.0
2022-12-26,8.29,8.36,8.1,8.2,8.2,1359700,0.0000,1.0
2022-12-23,8.06,8.3,7.98,8.29,8.29,4180300,0.0000,1.0
2022-12-22,8.4,8.42,8.22,8.3,8.3,3337200,0.2893,1.0
2022-12-21,8.42,8.5,8.25,8.33,8.33,2090200,0.0000,1.0
2022-12-20,8.49,8.68,8.35,8.38,8.38,3297400,0.0000,1.0
2022-12-19,8.35,8.53,8.18,8.43,8.43,2514700,0.0000,1.0
2022-12-16,8.15,8.47,8.15,8.24,8.24,2716400,0.0000,1.0
2022-12-15,8.16,8.33,8.07,8.13,8.13,2787300,0.0000,1.0
2022-12-14,8.22,8.28,8.04,8.21,8.21,2642700,0.0000,1.0
2022-12-13,8.31,8.52,8.16,8.21,8.21,2553300,0.0000,1.0
2022-12-12,8.5,8.53,7.99,8.26,8.26,2834800,0.0000,1.0
2022-12-09,8.76,8.77,8.5,8.56,8.56,1140300,0.0000,1.0
2022-12-08,9.1,9.12,8.65,8.67,8.67,1986200,0.0000,1.0
2022-12-07,9.06,9.27,9.06,9.13,9.13,1243900,0.0000,1.0
2022-12-06,9.19,9.25,8.95,9.1,9.1,1564800,0.0000,1.0
2022-12-05,9.41,9.44,9.05,9.11,9.11,1225200,0.0000,1.0
2022-12-02,9.4,9.52,9.27,9.47,9.47,1068900,0.0000,1.0
2022-12-01,9.3,9.5,9.25,9.35,9.35,968800,0.0000,1.0
2022-11-30,9.36,9.4,9.12,9.33,9.33,1740900,0.0000,1.0
2022-11-29,9.23,9.42,9.18,9.33,9.33,839000,0.0000,1.0
2022-11-28,9.26,9.27,9.12,9.2,9.2,1088500,0.0000,1.0
2022-11-25,9.66,9.66,9.22,9.28,9.28,1582000,0.0000,1.0
2022-11-24,9.59,9.7,9.48,9.65,9.65,1922500,0.0000,1.0
2022-11-23,9.41,9.53,9.29,9.52,9.52,1096300,0.0000,1.0
2022-11-22,9.54,9.67,9.42,9.49,9.49,1454200,0.0000,1.0
2022-11-21,9.4,9.55,9.35,9.53,9.53,1353800,0.0000,1.0
2022-11-18,9.55,9.78,9.33,9.35,9.35,2379600,0.0000,1.0
2022-11-17,9.3,9.46,9.1,9.45,9.45,2245800,0.0000,1.0
2022-11-16,9.79,9.91,9.42,9.43,9.43,1703600,0.0000,1.0
2022-11-14,9.83,10.06,9.65,9.78,9.78,1626500,0.0000,1.0
2022-11-11,9.39,9.85,9.08,9.72,9.72,3112600,0.0000,1.0
2022-11-10,9.89,9.89,9.31,9.38,9.38,4738900,0.0000,1.0
2022-11-09,9.97,10.19,9.85,9.91,9.91,1536700,0.0000,1.0
2022-11-08,9.86,10.12,9.68,10.02,10.02,1062600,0.0000,1.0
2022-11-07,10.11,10.38,9.9,9.92,9.92,2265600,0.0000,1.0
2022-11-04,10.36,10.45,10.02,10.15,10.15,2258200,0.0000,1.0
2022-11-03,9.89,10.33,9.85,10.25,10.25,1732100,0.0000,1.0
2022-11-01,9.98,10.2,9.88,10.03,10.03,2188900,0.0000,1.0
2022-10-31,9.35,10.13,9.35,9.94,9.94,3429400,0.0000,1.0
2022-10-28,9.49,9.67,9.41,9.62,9.62,3829000,0.0000,1.0
2022-10-27,9.37,9.69,9.27,9.56,9.56,2279300,0.0000,1.0
2022-10-26,9.33,9.51,9.27,9.35,9.35,3042100,0.0000,1.0
2022-10-25,9.64,9.71,9.38,9.38,9.38,2271700,0.0000,1.0
2022-10-24,9.73,9.73,9.53,9.65,9.65,1188100,0.0000,1.0
2022-10-21,9.62,9.89,9.51,9.81,9.81,2356900,0.0000,1.0
2022-10-20,10.0,10.03,9.59,9.7,9.7,2285100,0.0000,1.0
2022-10-19,9.95,9.95,9.84,9.91,9.91,753200,0.0000,1.0
2022-10-18,9.72,10.02,9.72,9.95,9.95,1980500,0.0000,1.0
2022-10-17,9.52,9.72,9.45,9.62,9.62,1596800,0.0000,1.0
2022-10-14,9.68,9.71,9.42,9.46,9.46,1891600,0.0000,1.0
2022-10-13,9.62,9.88,9.57,9.68,9.68,1272800,0.0000,1.0
2022-10-11,9.82,9.86,9.67,9.73,9.73,2426600,0.0000,1.0
2022-10-10,9.95,9.99,9.75,9.9,9.9,1269100,0.0000,1.0
2022-10-07,9.95,10.04,9.77,9.93,9.93,2969500,0.0000,1.0
2022-10-06,9.89,10.12,9.67,10.02,10.02,2915400,0.0000,1.0
2022-10-05,10.0,10.0,9.67,9.87,9.87,2589700,0.0000,1.0
2022-10-04,10.26,10.37,9.93,10.0,10.0,2160900,0.0000,1.0
2022-10-03,9.71,10.21,9.66,10.18,10.18,4036200,0.0000,1.0
2022-09-30,9.35,9.6,9.24,9.5,9.5,2099400,0.0000,1.0
2022-09-29,9.42,9.44,9.19,9.35,9.35,2034200,0.0000,1.0
2022-09-28,9.47,9.6,9.35,9.52,9.52,2220300,0.0000,1.0
2022-09-27,9.5,9.56,9.38,9.48,9.48,1654700,0.0000,1.0
2022-09-26,9.68,9.68,9.33,9.36,9.36,1107300,0.0000,1.0
2022-09-23,9.75,9.87,9.64,9.75,9.75,1358600,0.0000,1.0
2022-09-22,9.65,9.94,9.6,9.91,9.91,2109800,0.0000,1.0
2022-09-21,9.61,9.74,9.44,9.51,9.51,1618100,0.0000,1.0
