timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,64.5,65.97,64.31,65.08,65.08,17449200,0.0000,1.0
2023-06-15,67.03,67.66,66.48,66.64,66.64,7569500,0.0000,1.0
2023-06-14,66.18,67.19,65.71,67.08,67.08,9045800,0.0000,1.0
2023-06-13,67.7,67.7,65.25,65.82,65.82,11148900,0.0000,1.0
2023-06-12,68.61,69.0,67.1,67.23,67.23,6739600,0.0000,1.0
2023-06-09,68.25,70.02,67.82,68.18,68.18,10729100,0.0000,1.0
2023-06-07,67.59,68.89,66.76,67.55,67.55,6836600,0.0000,1.0
2023-06-06,66.4,68.36,66.21,67.8,67.8,8581300,0.0000,1.0
2023-06-05,65.72,66.8,65.58,66.49,66.49,4659800,0.0000,1.0
2023-06-02,66.08,68.53,65.84,66.15,66.15,7434300,0.0000,1.0
2023-06-01,62.76,66.3,62.5,65.53,65.53,8843900,0.0000,1.0
2023-05-31,63.41,63.41,62.04,62.04,62.04,20488200,0.0000,1.0
2023-05-30,65.0,65.33,62.81,63.21,63.21,8568100,0.0000,1.0
2023-05-29,64.24,64.45,63.68,64.23,64.23,2553600,0.0000,1.0
2023-05-26,64.91,65.25,63.32,64.24,64.24,5827900,0.0000,1.0
2023-05-25,64.31,66.32,63.23,63.94,63.94,11914400,0.0000,1.0
2023-05-24,62.59,63.59,61.95,62.68,62.68,9473200,0.0000,1.0
2023-05-23,62.96,64.2,62.22,63.0,63.0,7863400,0.0000,1.0
2023-05-22,63.13,64.77,63.13,63.31,63.31,9465100,0.0000,1.0
2023-05-19,63.3,63.66,62.43,63.31,63.31,11514800,0.0000,1.0
2023-05-18,62.2,63.12,61.61,62.94,62.94,7541500,0.0000,1.0
2023-05-17,61.89,62.46,61.52,62.25,62.25,6460300,0.0000,1.0
2023-05-16,60.62,62.64,59.92,61.13,61.13,10476000,0.0000,1.0
2023-05-15,61.62,62.24,60.9,61.26,61.26,6057300,0.0000,1.0
2023-05-12,61.84,62.49,61.08,61.53,61.53,6644000,0.0000,1.0
2023-05-11,59.7,62.38,59.7,61.84,61.84,12898000,0.0000,1.0
2023-05-10,59.01,60.36,58.94,60.05,60.05,10381400,0.0000,1.0
2023-05-09,57.75,59.87,57.72,58.93,58.93,4165500,0.0000,1.0
2023-05-08,58.61,59.39,57.96,58.18,58.18,3792100,0.0000,1.0
2023-05-06,57.69,59.25,57.44,58.35,58.35,5512300,0.0000,1.0
2023-05-05,57.69,59.25,57.44,58.35,58.35,5512300,0.0000,1.0
2023-05-04,57.7,58.4,56.7,57.6,57.6,4789100,0.0000,1.0
2023-05-03,56.02,57.09,55.51,56.65,56.65,3405200,0.0000,1.0
2023-05-02,57.43,57.77,55.54,56.03,56.03,5964600,0.0000,1.0
2023-04-29,57.73,58.5,57.16,58.01,58.01,6071300,0.0000,1.0
2023-04-28,57.73,58.5,57.16,58.01,58.01,6071300,0.0000,1.0
2023-04-27,56.6,57.69,56.57,57.64,57.64,4425700,0.0000,1.0
2023-04-26,56.2,57.05,55.48,56.6,56.6,4125400,0.0000,1.0
2023-04-25,56.08,56.49,55.64,56.2,56.2,4480100,0.0000,1.0
2023-04-24,56.6,57.31,56.0,56.5,56.5,4951700,0.0000,1.0
2023-04-20,55.13,56.62,54.79,56.52,56.52,8746700,0.0000,1.0
2023-04-19,56.14,56.14,54.29,54.85,54.85,9720900,0.0000,1.0
2023-04-18,58.16,58.34,56.38,56.87,56.87,5026100,0.0000,1.0
2023-04-17,57.57,58.37,57.17,57.88,57.88,5486400,0.0000,1.0
2023-04-14,57.4,58.37,56.8,57.43,57.43,5546500,0.0000,1.0
2023-04-13,58.28,58.8,56.88,57.95,57.95,8645500,0.0000,1.0
2023-04-12,57.07,60.18,56.93,57.5,57.5,18543400,0.0000,1.0
2023-04-11,53.31,57.1,53.31,56.8,56.8,16507400,0.0000,1.0
2023-04-10,52.2,52.99,51.72,52.03,52.03,3877300,0.0000,1.0
2023-04-06,52.5,53.32,51.89,52.24,52.24,5567000,0.0000,1.0
2023-04-05,53.0,53.53,52.22,52.81,52.81,5675500,0.0000,1.0
2023-04-04,52.47,54.15,52.3,53.19,53.19,6664000,0.0000,1.0
2023-04-03,53.21,53.3,51.7,52.1,52.1,9552500,0.0000,1.0
2023-03-31,54.95,55.42,53.01,53.4,53.4,10633700,0.0000,1.0
2023-03-30,54.3,57.19,54.27,55.02,55.02,15582800,0.0000,1.0
2023-03-29,53.18,53.74,52.0,53.12,53.12,4913900,0.0000,1.0
2023-03-28,51.7169,53.5151,51.3074,53.3952,53.026,6511775,0.3692,1.0
2023-03-27,51.7869,52.4762,50.8079,51.8168,51.4586,5962912,0.0000,1.0
2023-03-24,50.4582,51.5471,49.9288,51.2374,50.8832,6900473,0.0000,1.0
2023-03-23,52.07,52.35,49.21,50.06,49.7037,8562200,0.0000,1.0
2023-03-22,51.76,53.42,51.39,52.0,51.6299,6232600,0.0000,1.0
2023-03-21,53.17,53.76,51.84,52.07,51.6994,5016200,0.0000,1.0
2023-03-20,53.71,54.24,52.4,53.06,52.6824,5524700,0.0000,1.0
2023-03-17,55.06,55.3,52.89,53.74,53.3575,13981400,0.0000,1.0
2023-03-16,52.93,56.17,52.88,55.79,55.3929,11650300,0.0000,1.0
2023-03-15,48.97,53.58,47.6,52.9,52.5235,22178700,0.0000,1.0
2023-03-14,54.65,55.06,52.44,52.51,52.1363,7885300,0.0000,1.0
