timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,55.44,55.92,54.63,55.6,55.6,1946500,0.0000,1.0
2023-06-20,54.59,55.58,54.16,55.44,55.44,2332100,0.0000,1.0
2023-06-19,53.81,54.97,53.76,54.59,54.59,1174000,0.0000,1.0
2023-06-16,53.22,54.44,52.9,53.77,53.77,4973900,0.0000,1.0
2023-06-15,54.09,54.09,52.89,53.39,53.39,3021700,0.0000,1.0
2023-06-14,53.99,54.58,53.07,53.78,53.78,4810000,0.0000,1.0
2023-06-13,54.9,55.09,53.4,53.72,53.72,1757000,0.0000,1.0
2023-06-12,55.1,55.37,53.94,54.7,54.7,2679400,0.0000,1.0
2023-06-09,53.65,54.89,53.33,54.48,54.48,2596400,0.0000,1.0
2023-06-07,54.5,55.07,53.14,53.31,53.31,2650200,0.0000,1.0
2023-06-06,52.44,53.96,52.44,53.75,53.75,2031500,0.0000,1.0
2023-06-05,53.41,53.46,51.85,52.24,52.24,2068700,0.0000,1.0
2023-06-02,52.97,53.84,52.39,53.11,53.11,2816800,0.0000,1.0
2023-06-01,52.7,52.8,51.17,52.3,52.3,2591300,0.0000,1.0
2023-05-31,52.9,53.28,52.03,52.55,52.55,5769400,0.0000,1.0
2023-05-30,53.34,53.76,52.28,52.51,52.51,2155700,0.0000,1.0
2023-05-29,53.7,53.7,52.7,52.94,52.94,1435900,0.0000,1.0
2023-05-26,51.69,53.91,51.59,53.49,53.49,6575600,0.0000,1.0
2023-05-25,51.04,51.37,50.17,51.33,51.33,2425900,0.0000,1.0
2023-05-24,50.11,50.57,49.7,50.03,50.03,1883000,0.0000,1.0
2023-05-23,50.57,51.6,49.97,50.48,50.48,1298500,0.0000,1.0
2023-05-22,51.48,51.6,50.52,50.84,50.84,1058200,0.0000,1.0
2023-05-19,50.91,51.54,50.66,51.03,51.03,3454900,0.0000,1.0
2023-05-18,50.5,51.15,49.95,50.99,50.99,2881600,0.0000,1.0
2023-05-17,51.26,51.97,50.31,50.56,50.56,1820600,0.0000,1.0
2023-05-16,52.1,52.53,50.75,50.92,50.92,2814600,0.0000,1.0
2023-05-15,52.18,53.14,51.99,52.37,52.37,2347800,0.0000,1.0
2023-05-12,50.0,52.46,49.2,51.98,51.98,9152300,1.2760,1.0
2023-05-11,47.51,49.2,47.51,48.46,48.46,3899500,0.0000,1.0
2023-05-10,45.88,48.25,45.82,48.01,48.01,5025000,0.0000,1.0
2023-05-09,45.78,46.67,45.78,46.14,46.14,1355700,0.0000,1.0
2023-05-08,46.25,46.42,45.18,45.95,45.95,3089900,0.0000,1.0
2023-05-06,46.35,46.63,45.04,45.84,44.633,4057800,0.0000,1.0
2023-05-05,46.35,46.63,45.04,45.84,44.633,4029900,0.0000,1.0
2023-05-04,44.6,46.42,44.54,46.13,44.9154,4070900,0.0000,1.0
2023-05-03,44.1,44.6,43.78,44.12,42.9583,2338200,0.0000,1.0
2023-05-02,45.01,45.53,43.95,44.48,43.3088,2563800,0.0000,1.0
2023-04-29,46.69,46.69,45.32,46.13,44.9154,5178200,0.0000,1.0
2023-04-28,46.69,46.69,45.32,46.13,44.9154,5162200,0.0000,1.0
2023-04-27,47.93,48.06,45.91,46.43,45.2075,6100000,0.0000,1.0
2023-04-26,48.51,49.13,47.9,47.93,46.668,3930700,0.0000,1.0
2023-04-25,48.21,49.05,47.91,48.79,47.5053,3879200,0.0000,1.0
2023-04-24,48.47,49.47,48.2,48.67,47.3885,4079600,0.0000,1.0
2023-04-20,48.31,48.67,47.67,48.55,47.2716,3601600,0.0000,1.0
2023-04-19,47.45,48.3,46.76,48.11,46.8432,3649400,0.0000,1.0
2023-04-18,49.23,49.23,47.56,47.56,46.3077,2940600,0.0000,1.0
2023-04-17,49.69,49.71,48.19,48.96,47.6708,3544100,0.0000,1.0
2023-04-14,51.05,51.14,49.39,49.63,48.3232,6132700,0.0000,1.0
2023-04-13,51.6,51.76,50.77,51.33,49.9784,2143700,0.0000,1.0
2023-04-12,51.1,52.07,50.82,51.37,50.0174,2709500,0.0000,1.0
2023-04-11,50.25,51.58,49.98,51.0,49.6571,3980200,0.0000,1.0
2023-04-10,50.45,50.6,48.56,49.27,47.9727,5986200,0.0000,1.0
2023-04-06,49.86,50.75,49.76,50.2,48.8782,1885600,0.0000,1.0
2023-04-05,50.7,50.7,48.99,49.87,48.5569,5350500,0.0000,1.0
2023-04-04,50.88,51.45,50.46,50.79,49.4526,1671200,0.0000,1.0
2023-04-03,50.85,51.15,49.74,50.4,49.0729,4288200,0.0000,1.0
2023-03-31,51.0,51.23,50.04,50.61,49.2774,1994800,0.0000,1.0
2023-03-30,50.64,51.6,50.04,50.94,49.5987,2971900,0.0000,1.0
2023-03-29,49.67,50.12,48.81,49.89,48.5763,3267800,0.0000,1.0
2023-03-28,48.52,50.07,48.27,49.67,48.3621,3433300,0.0000,1.0
2023-03-27,47.52,48.99,47.31,48.64,47.3593,4019200,0.0000,1.0
2023-03-24,48.21,48.29,45.0,47.32,46.074,7637400,0.0000,1.0
2023-03-23,49.92,50.2,47.45,48.21,46.9406,2669900,0.0000,1.0
2023-03-22,49.45,50.4,49.05,49.6,48.294,2978400,0.0000,1.0
2023-03-21,50.65,50.65,49.08,49.44,48.1382,3276400,0.0000,1.0
2023-03-20,51.43,51.65,50.16,50.48,49.1508,2260600,0.0000,1.0
2023-03-17,53.0,53.06,51.36,51.75,50.3874,5357700,0.0000,1.0
2023-03-16,53.41,54.06,52.85,53.5,52.0913,3005900,0.0000,1.0
2023-03-15,51.92,53.75,51.42,53.37,51.9647,2576700,0.0000,1.0
2023-03-14,51.71,52.92,51.64,52.48,51.0981,2022000,0.0000,1.0
2023-03-13,50.45,52.14,49.94,51.78,50.4166,4554800,0.0000,1.0
2023-03-10,51.75,52.05,50.24,50.81,49.4721,2973300,0.0000,1.0
2023-03-09,53.11,53.4,51.54,52.13,50.7574,3124600,0.0000,1.0
2023-03-08,52.23,53.25,51.9,53.16,51.7602,3009800,0.0000,1.0
2023-03-07,51.21,52.12,51.16,51.9,50.5334,1290400,0.0000,1.0
2023-03-06,51.52,52.04,50.52,51.54,50.1829,2127200,0.0000,1.0
2023-03-03,51.9,52.25,51.25,51.42,50.0661,1060100,0.0000,1.0
2023-03-02,51.85,53.04,51.69,51.87,50.5042,1960400,0.0000,1.0
2023-03-01,52.98,53.02,51.34,52.08,50.7087,3510300,0.0000,1.0
2023-02-28,53.35,53.76,51.7,51.75,50.3874,5924400,0.0000,1.0
2023-02-27,52.71,53.7,52.46,53.36,51.955,2389600,0.0000,1.0
2023-02-24,52.82,53.2,52.29,52.69,51.3026,2110000,0.0000,1.0
2023-02-23,53.68,53.76,52.21,52.71,51.3221,2540200,0.0000,1.0
2023-02-22,54.68,54.97,52.82,53.38,51.9745,2179900,0.0000,1.0
2023-02-17,54.78,55.78,54.51,55.05,53.6005,3135000,0.0000,1.0
2023-02-16,53.94,55.1,53.23,55.04,53.5907,2960400,0.0000,1.0
2023-02-15,54.2,55.65,53.8,54.4,52.9676,3737500,0.0000,1.0
2023-02-14,53.57,55.77,53.44,54.5,53.065,4773800,0.0000,1.0
2023-02-13,52.97,53.8,52.7,53.5,52.0913,1879700,0.0000,1.0
2023-02-10,51.76,53.22,51.76,53.0,51.6045,1800600,0.0000,1.0
2023-02-09,52.64,53.64,51.72,52.08,50.7087,9534500,0.0000,1.0
2023-02-08,52.0,53.03,51.7,52.55,51.1663,3821300,0.0000,1.0
2023-02-07,53.92,53.92,51.39,51.67,50.3095,3271800,0.0000,1.0
2023-02-06,53.6,53.6,52.18,53.52,52.1108,2647100,0.0000,1.0
2023-02-03,55.53,55.58,53.25,53.5,52.0913,3043400,0.0000,1.0
2023-02-02,55.43,56.62,55.2,55.71,54.2431,2712600,0.0000,1.0
2023-02-01,55.37,56.43,54.83,55.6,54.136,2993900,0.0000,1.0
2023-01-31,54.35,55.86,54.35,55.66,54.1944,4467300,0.0000,1.0
2023-01-30,53.71,55.05,53.58,54.06,52.6365,2037500,0.0000,1.0
2023-01-27,54.48,54.61,53.2,53.6,52.1887,2335400,0.0000,1.0
2023-01-26,54.7,54.96,53.71,54.06,52.6365,1808000,0.0000,1.0
2023-01-25,53.68,54.54,53.23,54.54,53.1039,2918300,0.0000,1.0
2023-01-24,52.7,53.83,52.42,53.83,52.4126,3152800,0.0000,1.0
2023-01-23,53.56,53.9,51.95,52.39,51.0105,4645500,0.0000,1.0
2023-01-20,55.26,55.47,52.9,53.6,52.1887,4792000,0.0000,1.0
2023-01-19,54.74,55.78,54.71,55.34,53.8828,1925400,0.0000,1.0
2023-01-18,55.68,55.98,54.88,55.19,53.7368,4605400,0.0000,1.0
