timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-23,21.6,23.03,21.5,22.34,22.34,5580800,0.0000,1.0
2022-12-22,21.76,22.25,21.29,21.41,21.41,2884300,0.0000,1.0
2022-12-21,20.8,22.44,20.8,21.8,21.8,10368700,0.0000,1.0
2022-12-20,19.61,21.0,19.45,20.57,20.5102,2915000,0.0598,1.0
2022-12-19,18.74,19.74,18.55,19.64,19.5829,2766800,0.0000,1.0
2022-12-16,19.34,19.52,18.61,18.67,18.6158,2969200,0.0000,1.0
2022-12-15,18.83,19.71,18.62,19.43,19.3736,4008800,0.0000,1.0
2022-12-14,18.06,19.27,17.57,19.09,19.0346,7843100,0.0000,1.0
2022-12-13,18.96,19.19,18.17,18.17,18.1173,5837300,0.0000,1.0
2022-12-12,19.65,19.74,18.65,18.96,18.905,4011200,0.0000,1.0
2022-12-09,20.41,20.53,19.7,19.74,19.6827,1930000,0.0000,1.0
2022-12-08,20.76,20.8,20.27,20.43,20.3707,3748200,0.0000,1.0
2022-12-07,21.08,21.4,20.74,20.84,20.7795,1650700,0.0000,1.0
2022-12-06,21.15,21.31,20.5,21.19,21.1285,3046500,0.0000,1.0
2022-12-05,22.01,22.01,20.91,21.06,20.9989,1665200,0.0000,1.0
2022-12-02,22.08,23.17,21.64,22.08,22.0159,2800000,0.0000,1.0
2022-12-01,22.44,22.58,21.48,21.8,21.7367,2866100,0.0000,1.0
2022-11-30,21.86,22.61,21.39,22.52,22.4546,3345700,0.0000,1.0
2022-11-29,21.42,22.36,20.93,21.89,21.8265,6120000,0.0000,1.0
2022-11-28,21.74,21.74,21.23,21.51,21.4476,2705300,0.0000,1.0
2022-11-25,22.97,22.97,21.22,21.69,21.627,3285500,0.0000,1.0
2022-11-24,21.91,23.38,21.74,23.03,22.9631,3804800,0.0000,1.0
2022-11-23,20.88,21.98,20.52,21.65,21.5872,4436600,0.0000,1.0
2022-11-22,21.48,21.8,20.57,21.03,20.969,3119400,0.0000,1.0
2022-11-21,21.32,21.69,21.03,21.38,21.3179,2778800,0.0000,1.0
2022-11-18,22.25,22.84,21.11,21.2,21.1385,2723200,0.0000,1.0
2022-11-17,21.66,22.02,21.0,22.0,21.9361,2889700,0.0000,1.0
