timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-16,48.04,48.52,47.67,48.3,48.3,12730200,0.0000,1.0
2023-06-15,46.65,48.8,46.0,48.34,48.34,13590400,0.0000,1.0
2023-06-14,47.5,48.24,46.38,46.65,46.65,12879100,0.0000,1.0
2023-06-13,46.82,47.41,46.45,47.05,47.05,5613000,0.0000,1.0
2023-06-12,45.53,46.85,45.23,46.7,46.7,4914600,0.0000,1.0
2023-06-09,46.23,46.23,45.09,45.24,45.24,8779200,0.0000,1.0
2023-06-07,47.3,47.31,45.78,45.83,45.83,8261400,0.0000,1.0
2023-06-06,46.75,47.21,46.43,46.94,46.94,5521700,0.0000,1.0
2023-06-05,47.05,47.43,46.27,46.81,46.81,4688600,0.0000,1.0
2023-06-02,45.31,46.9,45.23,46.42,46.42,8920100,0.0000,1.0
2023-06-01,45.02,45.18,44.51,45.0,45.0,11094200,0.0000,1.0
2023-05-31,45.39,45.74,44.78,44.78,44.78,7379200,0.0000,1.0
2023-05-30,45.93,46.1,44.83,45.12,45.12,4525700,0.0000,1.0
2023-05-29,45.67,45.82,45.16,45.38,45.38,1394400,0.0000,1.0
2023-05-26,44.63,45.7,44.62,45.35,45.35,3857200,0.0000,1.0
2023-05-25,44.83,45.1,44.09,44.12,44.12,5183100,0.0000,1.0
2023-05-24,45.5,45.5,44.46,44.59,44.59,5916400,0.0000,1.0
2023-05-23,46.85,47.56,45.86,45.86,45.86,11779200,0.0000,1.0
2023-05-22,45.62,45.9,45.06,45.18,45.18,3412000,0.0000,1.0
2023-05-19,45.6,45.98,45.09,45.42,45.42,7789600,0.0000,1.0
2023-05-18,44.2,45.47,44.14,45.35,45.35,9660700,0.0000,1.0
2023-05-17,44.15,44.51,43.64,43.73,43.73,5387300,0.0000,1.0
2023-05-16,42.92,43.85,42.82,43.71,43.71,7694300,0.0000,1.0
2023-05-15,42.77,43.82,42.6,42.91,42.91,5975200,0.0000,1.0
2023-05-12,41.38,42.81,41.09,42.44,42.44,10181600,0.0000,1.0
2023-05-11,41.76,41.94,40.86,41.57,41.57,10242800,0.0000,1.0
2023-05-10,41.7,41.97,41.21,41.69,41.69,6433400,0.0000,1.0
2023-05-09,41.56,41.97,41.35,41.5,41.5,4728300,0.0000,1.0
2023-05-08,41.75,42.45,41.65,41.87,41.87,9030600,0.0000,1.0
2023-05-06,40.0,41.98,39.76,41.61,41.61,11447900,0.0000,1.0
2023-05-05,40.0,41.98,39.76,41.61,41.61,11447900,0.0000,1.0
2023-05-04,40.12,40.88,39.53,39.6,39.6,8838400,0.0000,1.0
2023-05-03,40.97,41.63,40.05,40.1,40.1,10622600,0.0000,1.0
2023-05-02,40.35,41.5,40.1,40.68,40.68,15230400,0.0000,1.0
2023-04-29,37.55,39.88,37.15,39.8,39.8,22999700,0.0000,1.0
2023-04-28,37.55,39.88,37.15,39.8,39.8,22999700,0.0000,1.0
2023-04-27,38.36,38.76,37.81,38.0,38.0,7234200,0.0000,1.0
2023-04-26,39.02,39.24,38.25,38.26,38.26,10993300,0.0000,1.0
2023-04-25,39.75,39.8,38.64,38.8,38.8,6623200,0.0000,1.0
2023-04-24,40.0,40.21,39.01,39.67,39.67,9412300,0.0000,1.0
2023-04-20,41.0,41.28,40.22,40.3,40.3,4829200,0.0000,1.0
2023-04-19,41.2,41.79,40.96,41.19,41.19,4932800,0.0000,1.0
2023-04-18,40.6,41.42,40.46,41.17,41.17,4333100,0.0000,1.0
2023-04-17,40.51,40.72,40.06,40.46,40.46,5217800,0.0000,1.0
2023-04-14,41.0,41.22,40.41,40.49,40.49,6878700,0.0000,1.0
2023-04-13,42.29,42.46,41.15,41.31,41.31,7988400,0.0000,1.0
2023-04-12,42.56,43.0,41.96,42.2,42.2,6321400,0.0000,1.0
2023-04-11,41.27,42.66,41.27,42.55,42.55,7859000,0.0000,1.0
2023-04-10,40.25,41.56,39.9,41.14,41.14,4491400,0.0000,1.0
2023-04-06,40.99,41.41,40.26,40.36,40.36,6208300,0.0000,1.0
2023-04-05,42.43,42.62,40.36,40.98,40.98,11084000,0.0000,1.0
2023-04-04,42.9,43.36,42.35,42.35,42.35,4745000,0.0000,1.0
2023-04-03,41.8,42.86,41.41,42.74,42.74,6884200,0.0000,1.0
2023-03-31,43.27,43.61,41.6,41.6,41.6,14261800,0.0000,1.0
2023-03-30,43.7,44.0,42.85,43.05,43.05,5943600,0.0000,1.0
2023-03-29,42.5,43.39,42.5,43.07,43.07,3955700,0.0000,1.0
2023-03-28,42.1,42.8,41.94,42.28,42.28,2977900,0.0000,1.0
2023-03-27,42.63,42.88,41.92,41.99,41.99,4360200,0.0000,1.0
2023-03-24,42.34,42.84,41.85,42.63,42.63,4105500,0.0000,1.0
2023-03-23,42.95,43.77,41.92,42.24,42.24,5575800,0.0000,1.0
2023-03-22,42.83,43.38,42.68,42.88,42.88,2754200,0.0000,1.0
2023-03-21,43.14,43.52,42.81,42.95,42.95,3103800,0.0000,1.0
2023-03-20,43.73,43.85,42.89,43.23,43.23,2246700,0.0000,1.0
2023-03-17,43.93,44.14,43.32,43.59,43.59,7159900,0.0000,1.0
2023-03-16,44.3,44.98,43.84,43.99,43.99,3508700,0.0000,1.0
2023-03-15,44.51,44.73,43.92,44.22,44.22,4386500,0.0000,1.0
2023-03-14,44.71,45.3,44.58,44.97,44.97,3000100,0.0000,1.0
2023-03-13,44.9,45.55,44.38,44.58,44.58,3928600,0.0000,1.0
2023-03-10,46.38,46.65,45.01,45.07,45.07,5318900,0.0000,1.0
2023-03-09,47.32,47.62,46.26,46.47,46.47,5103500,0.0000,1.0
2023-03-08,47.91,48.09,47.0,47.44,47.44,4883200,0.0000,1.0
2023-03-07,47.92,48.24,47.3,47.75,47.75,3577300,0.0000,1.0
2023-03-06,48.38,48.68,47.42,47.78,47.78,5421300,0.0000,1.0
2023-03-03,46.79,48.38,46.7,48.2,48.2,9987500,0.0000,1.0
2023-03-02,46.81,47.76,46.56,46.7,46.7,4397500,0.0000,1.0
2023-03-01,48.09,48.43,45.76,46.77,46.77,7406800,0.0000,1.0
2023-02-28,46.14,47.95,46.14,47.74,47.74,5470300,0.0000,1.0
2023-02-27,46.15,46.8,46.02,46.34,46.34,1891700,0.0000,1.0
2023-02-24,46.15,46.49,45.64,46.15,46.15,3122400,0.0000,1.0
2023-02-23,45.94,46.68,45.72,46.15,46.15,1821800,0.0000,1.0
2023-02-22,46.66,46.66,45.72,46.04,46.04,3791400,0.0000,1.0
2023-02-17,47.77,48.23,46.6,46.96,46.96,3877300,0.0000,1.0
2023-02-16,48.18,48.84,47.4,47.76,47.76,5488500,0.0000,1.0
2023-02-15,47.06,48.18,46.62,48.18,48.18,6688500,0.0000,1.0
