timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-10-09,13.5,13.8,13.27,13.46,13.46,11073900,0.0000,1.0
2020-10-08,13.25,13.64,13.02,13.58,13.58,12769900,0.0000,1.0
2020-10-07,13.25,13.26,12.89,13.15,13.15,7729400,0.0000,1.0
2020-10-06,13.27,13.42,13.16,13.18,13.18,6382000,0.0000,1.0
2020-10-05,12.85,13.29,12.78,13.16,13.16,4979300,0.0000,1.0
2020-10-02,12.96,13.15,12.7,12.97,12.97,19082700,0.0000,1.0
2020-10-01,13.01,13.16,12.82,13.07,13.07,6948800,0.0000,1.0
2020-09-30,13.2,13.25,12.99,13.06,13.06,8607800,0.0000,1.0
2020-09-29,13.04,13.28,12.91,13.14,13.14,17196100,0.0000,1.0
2020-09-28,13.59,13.65,13.08,13.13,13.13,7985800,0.0000,1.0
2020-09-25,13.5,13.62,13.29,13.58,13.58,8261100,0.0000,1.0
2020-09-24,13.38,13.66,13.26,13.54,13.54,6533800,0.0000,1.0
2020-09-23,13.73,13.82,13.37,13.38,13.38,5551500,0.0000,1.0
2020-09-22,13.88,13.94,13.63,13.85,13.85,6475500,0.0000,1.0
2020-09-21,13.8,13.87,13.64,13.86,13.86,5618700,0.0000,1.0
2020-09-18,14.12,14.22,13.91,14.03,14.03,8021500,0.0000,1.0
2020-09-17,14.1,14.33,14.03,14.25,14.25,7624000,0.0000,1.0
2020-09-16,14.39,14.5,14.15,14.23,14.23,6165500,0.0000,1.0
2020-09-15,14.5,14.63,14.35,14.4,14.4,4686500,0.0000,1.0
2020-09-14,14.52,14.61,14.38,14.52,14.52,4208500,0.0000,1.0
2020-09-11,14.69,14.7,14.27,14.44,14.44,6868000,0.0000,1.0
2020-09-10,15.22,15.29,14.68,14.77,14.77,6866700,0.0000,1.0
2020-09-09,15.15,15.52,14.94,15.28,15.28,12383300,0.0000,1.0
2020-09-08,15.23,15.44,14.83,14.99,14.99,12297500,0.0000,1.0
2020-09-04,14.95,14.95,14.49,14.74,14.74,5247900,0.0000,1.0
2020-09-03,15.06,15.17,14.59,14.81,14.81,7639400,0.0000,1.0
2020-09-02,15.13,15.13,14.8,15.02,15.02,6500700,0.0000,1.0
2020-09-01,14.8,15.2,14.66,15.0,15.0,15050200,0.0000,1.0
2020-08-31,14.51,14.63,14.32,14.32,14.32,9523100,0.0000,1.0
2020-08-28,14.64,14.8,14.51,14.73,14.73,4783700,0.0000,1.0
2020-08-27,14.55,14.75,14.45,14.53,14.53,3884000,0.0000,1.0
2020-08-26,14.8,14.86,14.39,14.62,14.62,6139200,0.0000,1.0
2020-08-25,14.89,14.89,14.55,14.75,14.75,6287400,0.0000,1.0
2020-08-24,14.74,14.9,14.68,14.82,14.82,2563300,0.0000,1.0
2020-08-21,14.68,14.75,14.44,14.75,14.75,2793400,0.0000,1.0
2020-08-20,14.31,14.71,14.23,14.71,14.71,4817600,0.0000,1.0
2020-08-19,14.7,14.82,14.54,14.71,14.71,5266300,0.0000,1.0
2020-08-18,14.99,15.0,14.73,14.87,14.87,5432200,0.0000,1.0
2020-08-17,15.18,15.18,14.52,14.66,14.66,7170500,0.0000,1.0
2020-08-14,15.03,15.31,15.03,15.24,15.24,3735600,0.0000,1.0
2020-08-13,15.35,15.6,15.09,15.11,15.11,8102200,0.0000,1.0
2020-08-12,15.47,15.69,15.2,15.29,15.29,5874000,0.0000,1.0
2020-08-11,15.8,15.94,15.51,15.52,15.52,6878300,0.0000,1.0
2020-08-10,15.89,15.93,15.44,15.8,15.8,12706300,0.0000,1.0
2020-08-07,15.01,15.56,14.91,15.42,15.42,11341400,0.0000,1.0
2020-08-06,14.93,15.27,14.83,15.2,15.2,6519200,0.0000,1.0
2020-08-05,15.24,15.39,14.86,14.88,14.88,9484200,0.0000,1.0
2020-08-04,15.1,15.65,14.94,15.07,15.07,14008800,0.0000,1.0
2020-08-03,15.67,15.67,15.16,15.28,15.28,15033400,0.0000,1.0
2020-07-31,14.8,16.04,14.47,15.75,15.75,16920800,0.0000,1.0
2020-07-30,14.75,14.88,14.47,14.8,14.8,10352500,0.0000,1.0
2020-07-29,14.96,15.01,14.62,14.89,14.89,9477700,0.0000,1.0
2020-07-28,15.1,15.27,14.7,14.88,14.88,19574700,0.0000,1.0
2020-07-27,14.39,14.68,14.39,14.57,14.57,11304700,0.0000,1.0
2020-07-24,14.74,14.78,14.27,14.41,14.41,10076100,0.0000,1.0
2020-07-23,15.02,15.63,14.67,14.77,14.77,34849800,0.0000,1.0
2020-07-22,16.53,16.69,15.86,16.13,16.13,22976600,0.0000,1.0
2020-07-21,16.86,17.12,16.53,16.6,16.6,15836400,0.0000,1.0
2020-07-20,16.37,17.5,16.31,16.8,16.8,30024100,0.0000,1.0
2020-07-17,15.61,15.83,15.53,15.83,15.83,8269100,0.0000,1.0
2020-07-16,15.22,15.73,15.16,15.55,15.55,14845900,0.0000,1.0
2020-07-15,14.94,15.29,14.72,15.16,15.16,20858400,0.0000,1.0
2020-07-14,14.69,14.87,14.57,14.82,14.82,10706600,0.0000,1.0
2020-07-13,15.02,15.07,14.7,14.79,14.79,9546300,0.0000,1.0
2020-07-10,14.8,14.93,14.53,14.91,14.91,9309200,0.0000,1.0
2020-07-09,15.28,15.49,14.72,14.72,14.72,10316400,0.0000,1.0
2020-07-08,15.03,15.47,15.01,15.26,15.26,13045400,0.0000,1.0
2020-07-07,15.29,15.29,14.9,14.93,14.93,7699700,0.0000,1.0
2020-07-06,15.44,15.54,15.15,15.3,15.3,9406800,0.0000,1.0
2020-07-03,14.6,15.3,14.45,15.25,15.25,8120100,0.0000,1.0
2020-07-02,14.7,14.73,14.32,14.55,14.55,10006800,0.0000,1.0
2020-07-01,14.2,14.68,14.02,14.47,14.47,8250100,0.0000,1.0
2020-06-30,13.8,14.2,13.71,14.2,14.2,9082600,0.0000,1.0
2020-06-29,14.16,14.16,13.71,13.77,13.77,9955700,0.0000,1.0
2020-06-26,14.18,14.24,13.89,14.03,14.03,6249000,0.0000,1.0
2020-06-25,14.0,14.23,13.86,14.2,14.2,5686900,0.0000,1.0
2020-06-24,14.19,14.26,13.76,13.99,13.99,8071700,0.0000,1.0
2020-06-23,14.6,14.6,14.09,14.2,14.2,8055500,0.0000,1.0
2020-06-22,14.5,14.67,14.33,14.4,14.4,4517700,0.0000,1.0
2020-06-19,14.87,14.91,14.37,14.48,14.48,9339800,0.0000,1.0
2020-06-18,14.6,14.91,14.35,14.61,14.61,5479300,0.0000,1.0
2020-06-17,14.76,14.92,14.6,14.63,14.63,10753200,0.0000,1.0
2020-06-16,14.92,15.19,14.58,14.75,14.75,13787300,0.0000,1.0
2020-06-15,14.06,14.4,13.88,14.34,14.34,9793500,0.0000,1.0
2020-06-12,13.86,14.34,13.65,14.34,14.34,9818500,0.0000,1.0
2020-06-10,14.69,14.73,14.22,14.3,14.3,10382700,0.0000,1.0
2020-06-09,14.3,14.48,13.92,14.48,14.48,7599600,0.0000,1.0
2020-06-08,14.61,14.77,14.34,14.44,14.44,7377100,0.0000,1.0
2020-06-05,14.46,14.99,14.22,14.6,14.6,12748300,0.0000,1.0
2020-06-04,13.74,14.13,13.61,14.13,14.13,6516200,0.0000,1.0
2020-06-03,13.82,13.98,13.58,13.67,13.67,8044300,0.0000,1.0
2020-06-02,13.63,13.86,13.53,13.77,13.77,6583700,0.0000,1.0
2020-06-01,13.38,13.61,13.26,13.51,13.51,5619100,0.0000,1.0
2020-05-29,13.46,13.62,13.16,13.62,13.62,10895300,0.0000,1.0
2020-05-28,13.46,13.54,13.19,13.41,13.41,6217200,0.0000,1.0
2020-05-27,13.57,13.63,13.3,13.6,13.6,5042900,0.0000,1.0
2020-05-26,13.53,13.73,13.28,13.43,13.43,6278900,0.0000,1.0
2020-05-25,13.15,13.55,12.98,13.55,13.55,3405200,0.0000,1.0
2020-05-22,13.11,13.11,12.58,12.8,12.8,7056500,0.0000,1.0
2020-05-21,12.88,13.17,12.76,13.17,13.17,6900300,0.0000,1.0
2020-05-20,12.52,12.93,12.39,12.88,12.88,5428000,0.0000,1.0
2020-05-19,12.89,12.89,12.43,12.47,12.47,5833800,0.0000,1.0
2020-05-18,12.51,12.91,12.28,12.91,12.91,6249200,0.0000,1.0
2020-05-15,12.83,12.84,12.2,12.2,12.2,8449600,0.0000,1.0
2020-05-14,12.55,12.82,12.27,12.82,12.82,9046200,0.0000,1.0
2020-05-13,12.69,12.74,12.2,12.7,12.7,9199300,0.0000,1.0
2020-05-12,12.77,13.22,12.63,12.64,12.64,6431000,0.0000,1.0
2020-05-11,13.05,13.32,12.94,12.96,12.96,5933400,0.0000,1.0
2020-05-08,13.36,13.7,13.04,13.16,13.16,8576400,0.0000,1.0
2020-05-07,13.5,13.91,13.0,13.0,13.0,11861300,0.0000,1.0
2020-05-06,14.1,14.66,13.45,13.59,13.59,15560300,0.0000,1.0
2020-05-05,13.55,13.9,13.41,13.9,13.9,9174200,0.0000,1.0
2020-05-04,12.25,13.53,12.18,13.45,13.45,12982300,0.0000,1.0
2020-04-30,12.79,13.03,12.52,12.76,12.76,7378500,0.0000,1.0
