timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-06-21,18.07,18.47,18.07,18.33,18.33,4756600,0.0000,1.0
2023-06-20,17.9,18.18,17.74,18.18,18.18,6443500,0.0000,1.0
2023-06-19,17.63,17.95,17.54,17.91,17.91,2265100,0.0000,1.0
2023-06-16,17.75,17.93,17.6,17.64,17.64,8666900,0.0000,1.0
2023-06-15,17.97,18.07,17.82,17.91,17.91,5071400,0.0000,1.0
2023-06-14,17.99,18.07,17.71,18.0,18.0,8333100,0.0000,1.0
2023-06-13,17.97,18.01,17.7,17.82,17.82,6090100,0.0000,1.0
2023-06-12,18.22,18.23,17.89,17.93,17.93,4408000,0.0000,1.0
2023-06-09,17.88,18.26,17.74,18.1,18.1,7848200,0.0000,1.0
2023-06-07,18.0,18.08,17.48,17.72,17.72,9787700,0.0000,1.0
2023-06-06,18.14,18.23,17.73,17.88,17.88,8241200,0.0000,1.0
2023-06-05,17.85,18.14,17.84,17.99,17.99,3628200,0.0000,1.0
2023-06-02,17.88,18.33,17.84,18.0,18.0,11042800,0.0000,1.0
2023-06-01,16.92,17.65,16.88,17.65,17.65,10998600,0.0000,1.0
2023-05-31,16.97,16.99,16.74,16.93,16.93,12300700,0.0000,1.0
2023-05-30,17.11,17.24,16.69,16.97,16.97,6388400,0.0000,1.0
2023-05-29,16.89,16.94,16.71,16.93,16.93,4341800,0.0000,1.0
2023-05-26,17.28,17.32,16.61,16.82,16.82,6415900,0.0000,1.0
2023-05-25,17.68,18.02,17.06,17.09,17.09,9244600,0.0000,1.0
2023-05-24,17.1,17.69,16.99,17.44,17.44,9553800,0.0000,1.0
2023-05-23,17.47,17.57,17.22,17.25,17.25,4270300,0.0000,1.0
2023-05-22,17.4,17.72,17.15,17.4,17.4,7025000,0.0000,1.0
2023-05-19,17.76,17.78,17.3,17.52,17.52,9192600,0.0000,1.0
2023-05-18,17.19,17.75,17.19,17.62,17.62,9822300,0.0000,1.0
2023-05-17,16.95,17.31,16.91,17.2,17.2,5549800,0.0000,1.0
2023-05-16,16.96,17.26,16.85,16.91,16.91,6752700,0.0000,1.0
2023-05-15,16.97,17.1,16.8,16.97,16.97,6480900,0.0000,1.0
2023-05-12,16.9,17.01,16.73,16.92,16.92,6214800,0.0000,1.0
2023-05-11,16.51,17.51,16.45,17.21,17.21,11372400,0.0000,1.0
2023-05-10,16.73,16.92,16.47,16.57,16.57,6818000,0.0000,1.0
2023-05-09,16.86,17.14,16.62,16.74,16.74,7039000,0.0000,1.0
